quote_id,customer_id,product_name,session_id,quote_created_at,amount_requested_zar,term_months,monthly_instalment_zar,total_fees_interest_zar,total_repayable_zar,calculator_source
42,1855,FASTA Cash Loan,1065,2025-07-17 20:10:18,11583.11,5,2801.79,2425.82,14008.93,
43,124,FASTA Cash Loan,837,2026-01-27 16:34:46,10179.05,2,6164.09,2149.13,12328.18,website
44,621,FASTA Cash Loan,,2025-01-03 21:56:57,4839.06,2,2920.52,1001.99,5841.05,website
45,1032,,2038,2025-01-29 22:35:16,4871.46,5,1207.85,1167.78,6039.24,partner
46,983,FASTA Cash Loan,3178,2026-02-27 13:09:46,1475.0,4,468.96,400.86,1875.86,agent
47,198,FASTA Cash Loan,3277,2025-05-08 14:41:59,1022.3,5,241.88,187.12,1209.42,app
48,107,FASTA Cash Loan,6785,2025-10-19 14:10:36,1906.4,5,477.73,482.23,2388.63,
49,1111,FASTA Cash Loan,6197,2026-04-22 11:36:38,-1438.35,4,452.67,372.32,1810.67,partner
50,529,FASTA Cash Loan,851,2025-10-15 15:34:51,1020.45,4,321.84,266.92,,agent
51,1093,FASTA Cash Loan,1716,2025-08-30 07:40:31,7618.0,4,2413.19,2034.75,9652.75,partner
52,1890,FASTA Cash Loan,1418,2026-06-16 16:40:07,9848.29,3,3993.72,2132.86,11981.15,
53,1389,FASTA Repeat Customer Loan,5775,2026-01-22 07:10:45,14420.63,1,17956.26,3535.63,17956.26,website
54,856,,,2026-01-28 14:05:15,11655.06,3,4911.49,3079.41,14734.47,website
55,1420,FASTA Repeat Customer Loan,1413,2026-06-05 08:01:13,14295.55,6,,3526.35,17821.9,website
56,796,FASTA Cash Loan,4545,2026-02-16 15:12:27,7772.47,6,,1782.71,,partner
57,310,FASTA Cash Loan,6990,2026-02-26 11:28:04,11698.38,3,4836.6,2811.42,14509.8,partner
58,1350,FASTA Cash Loan,1734,2025-06-25 07:11:56,1922.72,6,396.6,456.85,2379.57,website
59,523,FASTA Cash Loan,6375,2025-02-05 20:54:22,7898.07,6,1630.3,1883.71,9781.78,partner
60,1737,FASTA Repeat Customer Loan,4282,2025-01-25 11:45:06,7963.76,5,1984.11,1956.8,9920.56,partner
61,233,FASTA Repeat Customer Loan,3753,2025-07-12 21:34:40,516.18,1,641.77,125.59,641.77,agent
62,1404,FASTA Cash Loan,1183,2025-11-30 22:23:07,2450.08,5,613.69,618.39,,app
63,660,,5594,2026-01-15 12:32:25,7950.03,2,4859.25,1768.47,9718.5,partner
64,707,FASTA Cash Loan,,2025-10-23 12:12:39,2485.9,6,497.45,498.81,2984.71,website
65,16,FASTA Cash Loan,2214,2025-06-20 08:04:00,515.77,2,310.62,105.47,621.24,
66,369,FASTA Repeat Customer Loan,4069,2025-02-16 08:33:47,9978.04,4,3182.99,2753.91,12731.95,
67,466,,3551,2026-03-13 07:57:45,505.25,5,126.24,125.93,631.18,website
68,942,FASTA Cash Loan,2983,2025-05-20 07:45:56,1004.79,6,200.66,,1203.94,app
69,408,FASTA Cash Loan,2565,2025-04-25 07:14:35,523.25,5,126.6,109.73,632.98,partner
70,254,FASTA Repeat Customer Loan,5353,2025-06-30 13:50:22,11886.04,5,2898.84,2608.16,14494.2,agent
71,140,FASTA Cash Loan,1236,2025-02-28 07:04:43,1915.77,1,2363.87,448.1,2363.87,
72,17,FASTA Repeat Customer Loan,6094,2026-03-13 09:35:08,14989.9,3,6265.31,3806.03,18795.93,agent
73,929,,,2025-02-06 20:23:36,8120.84,3,3287.49,1741.64,9862.48,
74,889,FASTA Repeat Customer Loan,,2025-07-04 08:13:24,2013.17,3,845.12,522.18,2535.35,
75,1663,,3210,2025-02-16 18:20:34,12587.59,3,5356.79,3482.77,16070.36,partner
76,1354,,,2025-02-13 22:26:27,7788.27,1,9266.46,1478.19,9266.46,app
77,853,FASTA Cash Loan,7943,2026-05-30 21:59:34,9631.05,3,3900.8,2071.35,11702.4,website
78,1276,FASTA Cash Loan,2071,2025-01-18 22:01:27,3386.66,2,2010.78,634.91,4021.57,website
79,77,,202,2026-02-13 07:11:04,14549.07,4,4451.25,3255.94,17805.01,
80,1323,FASTA Cash Loan,2049,2025-08-14 20:43:41,3207.83,3,1365.65,889.11,4096.94,agent
81,307,FASTA Cash Loan,,2026-02-24 18:34:24,14543.92,5,3594.42,3428.19,17972.11,app
82,236,FASTA Cash Loan,5637,2025-07-07 16:16:36,10401.35,6,2066.16,1995.64,12396.99,website
83,1115,FASTA Repeat Customer Loan,6543,2026-06-02 10:47:28,9836.24,2,5975.39,2114.54,11950.78,
84,1296,FASTA Repeat Customer Loan,6037,2025-02-03 13:14:19,975.84,3,,,1213.92,partner
85,431,,6876,2025-08-18 22:17:27,14315.37,6,3005.36,3716.81,18032.18,partner
86,237,FASTA Repeat Customer Loan,,2026-05-02 07:45:56,15358.58,1,19141.34,3782.76,19141.34,app
87,1949,FASTA Cash Loan,4859,2025-10-31 11:22:44,501.35,6,,111.31,612.66,website
88,1644,FASTA Cash Loan,3859,2025-04-03 21:21:12,3259.25,2,2079.87,900.5,4159.75,
89,1514,FASTA Repeat Customer Loan,7593,2025-06-28 08:28:46,489.7,2,296.93,104.15,593.85,partner
90,1713,,1371,2025-11-08 10:23:22,11711.25,6,2451.43,2997.33,14708.58,app
91,1548,,3507,2025-07-22 20:43:44,9708.3,2,5947.52,2186.74,11895.04,app
92,1350,,,2025-04-18 14:00:23,5043.15,2,3158.19,1273.23,6316.38,app
93,32,FASTA Repeat Customer Loan,6816,2026-01-21 17:19:21,9638.43,6,2016.0,2457.58,12096.01,app
94,564,,4796,2025-10-10 17:02:17,-503.28,2,315.13,126.99,630.27,
95,1445,,7589,2025-07-16 22:40:39,974.38,1,1217.26,242.88,1217.26,website
96,1896,FASTA Repeat Customer Loan,,2025-08-17 19:49:53,-12542.94,2,7705.37,2867.8,15410.74,app
97,1254,,5319,2025-07-25 19:19:28,15462.45,2,9174.29,2886.13,18348.58,agent
98,922,FASTA Cash Loan,,2025-02-19 11:46:48,4867.66,1,5777.3,909.64,5777.3,
99,153,,234,2025-04-23 22:28:18,1555.01,2,965.76,376.51,1931.52,
100,1153,FASTA Cash Loan,4944,2025-11-22 09:50:41,2080.15,4,627.73,430.77,2510.92,partner
101,711,FASTA Cash Loan,,2025-01-15 16:58:18,1547.98,2,923.13,298.27,1846.25,
102,638,FASTA Cash Loan,3833,2025-12-08 21:46:48,3373.74,3,1437.19,937.84,4311.58,
103,694,,6258,2025-11-06 15:29:11,3313.39,1,4234.09,920.7,4234.09,
104,320,FASTA Cash Loan,2405,2025-08-26 09:10:26,3277.58,4,1039.22,879.29,4156.87,agent
105,1502,,,2026-05-10 11:52:29,5093.39,4,1503.28,919.72,6013.11,agent
106,676,FASTA Repeat Customer Loan,6272,2025-07-05 22:46:36,12573.95,1,15056.64,2482.69,15056.64,
107,186,,4314,2026-02-23 08:59:49,1466.62,6,302.47,348.22,1814.84,website
108,510,FASTA Repeat Customer Loan,3310,2026-06-13 11:59:34,3464.52,5,817.79,624.44,,website
109,462,,1029,2026-02-01 12:48:23,-2429.71,5,617.31,656.83,3086.54,app
110,1046,,,2025-03-17 22:34:07,4989.09,1,6113.32,1124.23,6113.32,website
111,679,FASTA Repeat Customer Loan,6487,2025-08-17 16:54:05,2424.56,5,585.73,504.11,2928.67,partner
112,1870,,7477,2025-08-23 17:22:55,12102.66,1,15444.9,3342.24,15444.9,website
113,1854,FASTA Cash Loan,386,2026-02-12 18:15:08,1574.83,4,488.35,378.57,1953.4,
114,893,FASTA Cash Loan,3632,2025-04-13 14:02:08,-1931.68,2,1208.54,485.4,2417.08,partner
115,1701,,5839,2025-05-04 12:12:33,12590.89,4,3958.62,3243.57,,partner
116,160,FASTA Cash Loan,5189,2025-03-06 19:51:18,1428.41,4,427.2,280.39,1708.8,partner
117,1681,FASTA Cash Loan,1802,2025-03-31 12:59:17,1028.39,4,306.2,196.41,1224.8,agent
118,91,FASTA Repeat Customer Loan,6857,2025-05-29 07:16:00,4906.81,4,1565.4,1354.8,6261.61,
119,148,FASTA Repeat Customer Loan,2489,2025-11-24 14:27:50,1024.72,4,320.62,257.75,1282.47,website
120,1191,FASTA Repeat Customer Loan,990,2025-08-31 12:40:50,4979.49,1,6103.9,1124.41,6103.9,app
121,440,FASTA Cash Loan,3223,2025-12-08 07:10:44,3424.95,3,1369.11,682.38,,website
122,834,,4334,2026-05-19 13:25:12,9871.05,3,3969.99,2038.93,11909.98,agent
123,915,FASTA Repeat Customer Loan,6137,2026-02-24 18:44:59,14393.6,1,17253.23,2859.63,,website
124,1587,,5894,2026-05-15 21:47:27,2590.48,4,778.71,524.34,3114.82,partner
125,1045,FASTA Cash Loan,,2025-08-16 14:08:25,4802.03,4,1531.73,1324.87,6126.9,agent
126,1084,,5691,2025-11-23 15:10:04,8062.45,6,1634.38,1743.84,9806.29,
127,307,FASTA Repeat Customer Loan,3267,2026-02-21 08:04:13,5197.64,1,6394.03,1196.39,6394.03,
128,1071,FASTA Repeat Customer Loan,,2025-11-09 21:48:37,4956.35,3,2072.04,1259.77,6216.12,partner
129,97,FASTA Repeat Customer Loan,1527,2025-04-08 22:32:34,2068.0,6,420.37,454.24,2522.24,
130,732,,4344,2025-06-23 20:40:51,490.6,6,100.42,111.91,602.51,partner
131,725,,1057,2025-05-27 07:36:51,1542.89,3,633.74,358.32,1901.21,app
132,834,FASTA Cash Loan,3002,2025-06-30 10:15:30,1437.4,5,342.04,272.81,1710.21,
133,144,,826,2026-01-09 16:23:13,1471.82,5,361.78,337.09,1808.91,app
134,6,,3779,2025-10-18 13:13:39,12210.76,4,3728.79,2704.39,14915.15,app
135,934,FASTA Cash Loan,1360,2026-06-08 21:32:13,504.91,1,620.46,115.55,620.46,partner
136,920,FASTA Cash Loan,7016,2025-03-17 18:17:08,3166.87,5,769.92,682.73,3849.6,
137,293,FASTA Cash Loan,4241,2025-12-07 10:34:20,1966.21,1,2447.69,481.48,2447.69,
138,87,,4309,2025-10-21 22:13:10,8396.57,2,5213.74,2030.92,,website
139,1789,,3887,2026-02-23 10:36:32,1457.79,4,447.58,332.55,1790.34,website
140,1922,FASTA Cash Loan,3787,2026-05-25 09:51:59,508.01,6,105.74,126.41,634.42,partner
141,570,FASTA Cash Loan,279,2025-03-10 09:03:27,2549.78,6,541.24,697.65,3247.43,agent
142,1818,FASTA Cash Loan,4970,2025-04-21 12:32:59,487.96,5,123.87,131.39,619.35,app
143,863,FASTA Cash Loan,6087,2025-03-03 15:18:20,1042.66,2,617.46,192.26,1234.92,partner
144,1348,FASTA Cash Loan,5337,2026-01-12 17:12:34,10119.65,6,2074.57,2327.79,12447.44,agent
145,1484,,4853,2025-10-26 19:37:18,2476.83,6,496.77,503.77,2980.6,app
146,1549,FASTA Repeat Customer Loan,510,2025-03-01 12:24:38,8331.68,3,3454.44,2031.65,10363.33,partner
147,844,FASTA Repeat Customer Loan,2863,2026-01-25 15:42:55,8255.28,3,3427.73,2027.92,10283.2,
148,1305,FASTA Repeat Customer Loan,1614,2025-09-08 07:08:23,3185.58,6,647.53,699.59,3885.17,
149,417,,817,2025-09-02 11:13:05,3425.95,4,1034.59,712.4,4138.35,website
150,1565,FASTA Repeat Customer Loan,7017,2026-02-06 20:24:18,1430.85,2,846.17,261.5,1692.35,agent
151,981,FASTA Cash Loan,2371,2025-06-27 11:19:52,1497.39,5,363.5,320.11,1817.5,app
152,992,FASTA Repeat Customer Loan,1806,2025-05-26 13:23:31,9539.79,2,5973.25,2406.7,11946.49,website
153,1357,FASTA Cash Loan,5641,2025-12-24 12:44:37,2602.61,2,1569.43,536.25,3138.86,partner
154,775,,1371,2026-02-23 13:12:12,2607.51,2,1600.6,593.69,3201.2,website
155,10,,6679,2026-05-16 21:14:07,5048.0,3,2050.26,1102.77,6150.77,agent
156,1322,FASTA Repeat Customer Loan,7350,2025-03-28 15:16:27,2574.18,5,631.29,,3156.47,
157,295,,5374,2025-01-26 09:55:13,14980.99,4,4688.59,3773.39,18754.38,
158,186,,3537,2026-03-31 09:35:40,12166.12,1,14414.84,2248.72,14414.84,app
159,472,FASTA Repeat Customer Loan,1817,2025-06-23 09:11:41,3164.28,2,1882.29,600.3,3764.58,partner
160,1463,FASTA Cash Loan,5116,2025-09-06 17:40:06,512.05,6,106.1,,636.6,agent
161,1789,FASTA Repeat Customer Loan,5708,2025-12-20 20:33:46,11700.95,4,3600.72,2701.91,14402.86,
162,864,FASTA Repeat Customer Loan,4717,2026-02-04 14:38:03,1966.89,5,485.89,462.54,2429.43,
163,439,FASTA Repeat Customer Loan,,2025-11-04 08:46:19,7706.57,4,2464.43,2151.15,9857.72,app
164,665,,7215,2025-04-25 21:36:07,1473.63,3,602.21,333.01,1806.64,website
165,935,FASTA Repeat Customer Loan,85,2026-02-25 14:33:59,1533.75,2,924.64,315.53,1849.28,website
166,1451,,3231,2025-03-10 15:53:23,3166.66,5,786.4,765.33,3931.99,
167,834,FASTA Repeat Customer Loan,,2025-07-27 17:53:42,2520.28,2,1510.65,501.02,3021.3,website
168,141,FASTA Repeat Customer Loan,2431,2025-12-04 16:40:00,12112.53,3,4909.59,2616.23,14728.76,
169,1066,,7165,2025-10-07 22:09:28,495.28,3,195.96,92.59,587.87,app
170,547,FASTA Repeat Customer Loan,5580,2025-06-10 17:21:25,8222.62,3,3480.0,2217.39,10440.01,agent
171,1778,,1924,2025-03-11 12:19:50,10252.58,6,2039.76,1985.97,12238.55,app
172,928,FASTA Repeat Customer Loan,7984,2025-08-25 11:09:34,487.5,1,618.45,130.95,618.45,
173,799,,4349,2025-12-19 09:56:00,1018.53,4,315.37,242.94,1261.47,agent
174,312,,840,2025-06-07 12:09:43,1488.14,3,590.95,284.7,1772.84,
175,1133,,5022,2025-05-09 11:47:06,15542.2,2,9945.95,4349.69,19891.89,app
176,1471,,,2025-11-15 12:55:24,14627.99,4,4367.39,2841.56,17469.55,website
177,1075,,1876,2025-05-26 09:30:12,1010.66,5,244.62,212.43,1223.09,agent
178,210,,7613,2025-06-25 15:04:59,3162.4,6,647.58,723.07,3885.47,website
179,964,FASTA Repeat Customer Loan,,2025-05-12 22:26:42,497.28,6,104.93,132.29,629.57,agent
180,968,FASTA Cash Loan,3378,2026-03-05 18:22:00,3375.07,6,679.92,704.44,,app
181,177,,2101,2025-10-24 12:58:31,519.53,3,213.28,,639.83,partner
182,1188,FASTA Cash Loan,,2025-11-11 15:07:08,489.18,5,122.08,121.23,610.41,website
183,1154,FASTA Repeat Customer Loan,4453,2025-07-07 12:54:07,3143.28,2,1959.49,775.7,3918.98,agent
184,178,,4054,2025-04-11 10:04:37,12022.91,1,15017.02,2994.11,15017.02,partner
185,1061,FASTA Cash Loan,2429,2025-11-06 12:12:10,10276.72,5,2511.59,2281.21,12557.93,partner
186,1969,FASTA Repeat Customer Loan,3732,2025-07-18 07:22:00,2532.04,2,1600.78,669.53,3201.57,website
187,391,,7948,2025-03-15 16:52:16,5146.46,4,1572.41,1143.17,6289.63,app
188,917,FASTA Cash Loan,2549,2025-08-13 20:18:46,15202.34,3,6459.65,4176.62,19378.96,partner
189,275,,7373,2025-10-26 13:36:19,1495.49,1,1897.03,401.54,1897.03,partner
190,1646,FASTA Cash Loan,2840,2025-04-14 09:26:54,490.02,1,625.33,135.31,625.33,
191,610,,,2026-06-01 08:48:06,1439.74,2,883.77,,1767.53,partner
192,550,FASTA Repeat Customer Loan,1016,2025-12-21 15:07:17,4761.08,5,1189.3,1185.42,5946.5,website
193,885,FASTA Repeat Customer Loan,3001,2026-05-06 17:08:21,4820.02,2,3071.2,1322.39,6142.41,agent
194,1999,FASTA Repeat Customer Loan,6908,2025-12-08 16:53:55,1986.71,1,2388.79,402.08,2388.79,app
195,1313,FASTA Cash Loan,7318,2026-01-08 13:42:25,1958.43,2,1191.49,424.54,2382.97,app
196,723,,965,2025-05-19 09:26:53,3291.46,5,810.14,759.25,4050.71,partner
197,1756,,758,2025-04-18 18:54:16,14886.97,2,8906.14,2925.31,17812.28,
198,859,,312,2026-05-03 17:25:53,503.83,1,616.43,112.6,616.43,
199,1111,FASTA Repeat Customer Loan,7760,2025-06-30 20:48:56,2588.92,4,793.63,585.61,3174.53,app
200,1966,FASTA Repeat Customer Loan,4348,2025-09-05 19:48:06,4775.18,3,2004.18,1237.37,6012.55,app
201,775,FASTA Repeat Customer Loan,3995,2026-02-27 13:58:46,14892.9,3,6079.46,3345.48,18238.38,app
202,1005,FASTA Cash Loan,1307,2026-01-12 21:31:24,12075.03,1,14936.54,2861.51,14936.54,partner
203,115,FASTA Repeat Customer Loan,995,2025-03-22 14:45:51,2435.6,4,751.56,570.63,3006.23,partner
204,1551,,,2025-07-17 15:26:55,1014.4,1,1290.99,276.59,1290.99,agent
205,921,FASTA Repeat Customer Loan,5424,2025-10-15 18:22:18,978.11,6,201.19,229.01,1207.12,partner
206,1071,FASTA Repeat Customer Loan,5190,2025-02-15 07:17:48,1426.8,5,364.09,393.65,1820.45,website
207,1552,FASTA Cash Loan,5323,2025-03-06 19:31:54,1943.86,5,485.46,483.44,2427.3,agent
208,646,FASTA Repeat Customer Loan,4012,2025-01-31 19:56:30,2467.22,6,503.73,555.13,3022.35,app
209,632,FASTA Repeat Customer Loan,4085,2025-06-22 08:25:33,1565.95,6,319.53,,1917.21,website
210,1203,FASTA Repeat Customer Loan,3754,2025-06-26 16:35:44,5039.87,1,6096.32,1056.45,6096.32,
211,1128,FASTA Repeat Customer Loan,3389,2025-11-25 14:26:53,1007.72,5,248.22,233.39,1241.11,app
212,83,FASTA Cash Loan,6587,2025-05-17 10:41:59,12533.4,6,2528.79,2639.37,15172.77,agent
213,1817,FASTA Cash Loan,4768,2025-07-18 12:27:12,12333.02,3,5162.69,3155.06,15488.08,partner
214,488,,7923,2025-11-05 21:41:54,3242.42,5,767.91,597.11,3839.53,website
215,426,FASTA Cash Loan,4365,2026-05-01 09:24:33,1984.98,5,476.32,396.6,2381.58,partner
216,216,FASTA Repeat Customer Loan,6566,2025-09-12 11:01:40,7649.66,1,9035.41,1385.75,9035.41,partner
217,1570,FASTA Cash Loan,,2026-04-18 07:04:07,8034.36,6,1664.51,1952.71,9987.07,agent
218,275,,2208,2026-04-28 14:34:04,5166.08,2,3251.35,1336.62,6502.7,
219,676,FASTA Repeat Customer Loan,4726,2026-05-09 12:06:45,9748.11,1,,1998.0,11746.11,agent
220,1363,FASTA Cash Loan,1063,2025-03-20 20:24:44,1944.89,3,821.79,520.48,2465.37,website
221,1609,,5506,2025-05-21 17:43:06,2467.67,4,,661.42,3129.09,app
222,723,FASTA Cash Loan,3232,2025-07-10 14:08:43,3317.17,3,1389.77,852.14,4169.31,agent
223,100,FASTA Cash Loan,5330,2025-08-11 09:01:18,1544.93,4,,332.41,1877.34,website
224,185,FASTA Cash Loan,7613,2025-12-14 10:51:40,2059.99,3,853.8,501.41,2561.4,partner
225,420,FASTA Cash Loan,2426,2025-07-29 08:10:54,5132.94,5,1229.67,1015.39,6148.33,
226,108,,7943,2026-03-05 20:40:27,1477.9,1,1881.25,403.35,1881.25,agent
227,1545,FASTA Cash Loan,6480,2025-06-07 13:28:51,952.93,1,1169.23,216.3,1169.23,
228,1823,FASTA Repeat Customer Loan,7596,2025-09-20 21:14:56,3396.92,6,689.5,740.06,4136.98,website
229,234,FASTA Cash Loan,2927,2025-11-13 16:26:20,962.28,5,229.9,187.24,1149.52,
230,1409,FASTA Cash Loan,,2025-09-30 20:31:26,14789.39,4,4653.99,3826.57,18615.96,agent
231,260,FASTA Cash Loan,7454,2025-12-27 16:07:56,2559.8,3,1007.66,463.18,3022.98,partner
232,947,FASTA Cash Loan,463,2025-09-23 13:48:11,1442.76,2,899.33,355.9,1798.66,app
233,1654,,3856,2025-04-12 12:19:49,1948.74,3,813.04,490.37,2439.11,partner
234,166,FASTA Repeat Customer Loan,6137,2025-08-13 18:50:04,4856.25,3,2009.13,1171.13,6027.38,agent
235,1970,FASTA Repeat Customer Loan,724,2025-10-11 20:54:33,2597.19,3,1085.99,660.79,3257.98,website
236,30,FASTA Cash Loan,4823,2026-05-08 18:22:37,8082.83,1,10106.35,,10106.35,app
237,266,FASTA Repeat Customer Loan,3729,2026-01-11 18:37:01,983.47,2,581.03,178.58,1162.05,partner
238,1160,,5326,2026-03-16 14:49:25,485.97,3,204.79,128.39,614.36,agent
239,1369,FASTA Repeat Customer Loan,2361,2025-01-31 07:05:36,2051.97,2,1251.39,450.8,2502.77,app
240,304,FASTA Cash Loan,6011,2025-09-28 20:34:15,1438.76,6,,359.77,1798.53,app
241,820,FASTA Cash Loan,4627,2026-04-19 12:09:55,1470.29,4,436.92,277.37,1747.66,
242,1605,,,2026-02-02 16:01:49,12150.63,3,5080.27,3090.19,15240.82,app
243,112,,3070,2025-08-07 19:41:57,1571.81,3,628.38,313.32,1885.13,website
244,1857,FASTA Repeat Customer Loan,,2026-06-13 11:46:23,5150.53,4,,1102.25,6252.78,partner
245,1251,,,2025-12-18 22:17:30,15344.0,2,9618.58,3893.17,,website
246,56,FASTA Cash Loan,,2025-03-21 09:45:56,4895.28,2,2902.35,909.42,5804.7,partner
247,392,FASTA Cash Loan,5720,2025-07-11 17:11:48,8121.04,2,4855.49,1589.94,9710.98,app
248,677,,7320,2025-10-10 22:47:59,1563.06,2,955.02,346.99,1910.05,
249,512,FASTA Repeat Customer Loan,6063,2025-06-07 13:25:53,3259.78,3,1330.49,731.68,3991.46,agent
250,722,FASTA Cash Loan,109,2026-04-06 12:15:17,4757.49,5,1213.79,1311.44,6068.93,
251,452,FASTA Cash Loan,6900,2025-01-18 15:37:40,3158.21,2,2001.3,844.4,4002.61,agent
252,1872,FASTA Repeat Customer Loan,6275,2025-06-30 16:28:53,2454.51,4,727.13,454.02,,partner
253,190,FASTA Repeat Customer Loan,5171,2025-02-16 11:57:33,1495.19,2,894.72,294.25,1789.44,partner
254,393,FASTA Cash Loan,,2025-01-13 07:27:16,15510.16,3,6138.14,2904.25,18414.41,agent
255,1160,FASTA Cash Loan,6602,2026-04-02 20:50:04,5238.96,1,6527.37,1288.41,6527.37,partner
256,347,FASTA Repeat Customer Loan,644,2025-01-25 20:00:08,2075.13,3,819.89,384.53,2459.66,
257,1310,FASTA Repeat Customer Loan,317,2025-10-13 17:13:20,501.8,2,320.66,139.51,641.31,app
258,1740,,4963,2025-07-02 15:02:47,3182.62,1,3926.53,743.91,3926.53,partner
259,742,FASTA Repeat Customer Loan,676,2025-10-25 07:56:18,5169.62,6,1043.07,1088.83,6258.45,
260,1156,,5823,2026-04-30 18:20:41,5116.75,5,1230.55,,6152.75,agent
261,123,FASTA Repeat Customer Loan,,2025-01-19 10:03:41,11625.23,2,7374.57,3123.91,14749.14,app
262,830,FASTA Repeat Customer Loan,7552,2025-06-03 14:01:34,10093.35,6,2147.74,,12886.43,website
263,1875,FASTA Repeat Customer Loan,7476,2025-09-12 10:10:09,2602.05,1,3071.23,469.18,3071.23,app
264,471,,1139,2025-11-27 20:23:03,518.6,3,207.45,,622.34,app
265,781,FASTA Repeat Customer Loan,6974,2026-03-06 14:35:39,485.12,3,203.62,125.75,610.87,website
266,1354,FASTA Cash Loan,,2025-04-23 18:52:23,1466.47,4,450.74,336.49,1802.96,partner
267,1042,FASTA Cash Loan,,2025-10-19 07:41:46,978.38,1,1158.42,180.04,1158.42,
268,1363,FASTA Cash Loan,2296,2025-10-01 09:32:19,7779.87,4,2315.65,1482.74,9262.61,app
