payment_id,loan_id,schedule_id,payment_date,payment_amount_zar,payment_method,payment_status,bank_reference,naedo_run_id
41,583,8999,20250408,267.44,Cash Deposit,PENDING,BANKREF-42828687,NAEDO-110474
42,80,30,2025-10-14,3170.33,Cash Deposit,failed,BANKREF-44839206,
43,1572,137,2025-05-07,2933.88,Debit Order,REVERSED,BANKREF-64403317,NAEDO-827180
44,1400,4276,2025-10-05,1109.91,Manual EFT,FAILED,BANKREF-20646032,
45,563,4062,2025-10-24,2723.46,debit order,REVERSED,,NAEDO-691599
46,1043,8505,2026-04-09,880.34,Debit Order,SUCCESS,BANKREF-82191300,
47,89,3869,2026-01-14,551.06,Debit Order,FAILED,BANKREF-98889515,
48,524,7039,2026-02-05,838.76,Manual EFT,success,BANKREF-66810368,NAEDO-955829
49,815,802,2025-03-21,1950.51,Cash Deposit,REVERSED,BANKREF-31250555,
50,898,7082,2026-01-06,4183.04,Cash Deposit,PENDING,BANKREF-58175459,
51,1244,,2025-02-04,2994.56,Debit Order,success,BANKREF-35457801,
52,345,4336,2026-01-26,1616.01,Card,SUCCESS,BANKREF-39196523,NAEDO-152180
53,1715,3259,2026-02-10,3393.77,Card,SUCCESS,,
54,1672,5526,2025-12-16,1439.56,Cash Deposit,failed,BANKREF-81218279,
55,713,4539,2026-03-30,850.69,Card,SUCCESS,BANKREF-50497421,
56,885,610,2026-07-31,1679.66,debit order,success,BANKREF-18833062,
57,178,1655,2025-06-01,2187.66,Cash Deposit,success,,
58,1196,6154,2026-01-29,4824.28,Cash Deposit,PENDING,BANKREF-77477932,NAEDO-553338
59,1092,1086,2025-09-14,3122.98,debit order,failed,,NAEDO-398603
60,1019,8585,2026-05-14,3462.86,Manual EFT,SUCCESS,BANKREF-86248070,
61,635,3274,2025-04-17,3958.17,debit order,failed,BANKREF-91727960,
62,123,8509,28 Jun 2026,3236.37,debit order,REVERSED,BANKREF-18437926,NAEDO-112747
63,1648,904,2025-06-03,1585.36,Card,SUCCESS,BANKREF-13155870,
64,1751,1789,2026-04-18,2917.85,Debit Order,PENDING,BANKREF-92472545,
65,45,731,2026-03-03,1166.29,Debit Order,SUCCESS,BANKREF-46977960,
66,715,5068,2026-05-28,3676.74,Manual EFT,PENDING,BANKREF-26790273,
67,244,8670,25/12/2026,1639.18,Manual EFT,SUCCESS,BANKREF-35871274,
68,1373,4586,2025-08-16,2522.7,debit order,REVERSED,BANKREF-25489346,NAEDO-342327
69,822,1071,2025-06-27,2053.53,Card,SUCCESS,BANKREF-43836660,
70,188,8266,2026-07-01,1108.44,Cash Deposit,success,BANKREF-29934524,NAEDO-358838
71,416,4992,2026-03-20,-886.36,Manual EFT,PENDING,BANKREF-16815018,
72,281,2034,2026-07-12,4338.79,Card,failed,BANKREF-23446819,NAEDO-442073
73,124,6311,2026-03-22,371.63,debit order,PENDING,BANKREF-13099122,
74,1514,5530,2026-07-23,3675.21,Manual EFT,failed,,
75,1365,,2026-02-07,3167.82,Debit Order,PENDING,BANKREF-31420956,NAEDO-673429
76,575,1530,2025-08-27,4636.66,Debit Order,SUCCESS,BANKREF-67360159,
77,67,1093,2025-05-27,817.67,Manual EFT,failed,BANKREF-63254470,NAEDO-995646
78,42,124,2025-11-05,2315.18,Manual EFT,failed,BANKREF-54497312,
79,755,1799,05-21-2025,2826.3,Manual EFT,REVERSED,BANKREF-02512065,
80,62,4256,2026-01-20,2644.68,Cash Deposit,failed,BANKREF-41638771,NAEDO-471623
81,424,8431,2025-06-07,1706.07,Cash Deposit,failed,BANKREF-26065545,
82,1036,,2026-07-17,2624.94,Manual EFT,failed,BANKREF-31580811,
83,924,8267,2026-02-23,1360.55,Debit Order,REVERSED,,
84,802,6756,2026-02-03,4261.5,Card,success,BANKREF-93982194,
85,885,6804,2026-01-23,4622.56,debit order,PENDING,BANKREF-41689729,
86,1165,,2026-03-18,3333.09,debit order,FAILED,BANKREF-64023287,
87,993,432,2025-08-04,-2777.71,Debit Order,PENDING,BANKREF-19847998,
88,244,,2026-01-31,2572.72,debit order,failed,BANKREF-35388740,
89,1160,4708,2025-10-18,3793.39,Card,REVERSED,BANKREF-76795313,
90,45,762,2026-03-01,1858.5,Cash Deposit,success,BANKREF-06226137,
91,1704,,2025-10-29,1152.28,Debit Order,PENDING,BANKREF-26492591,NAEDO-285918
92,1655,422,2026-04-26,1407.18,Card,failed,BANKREF-48912778,NAEDO-557702
93,971,5266,06-10-2026,231.69,Card,success,BANKREF-79092595,
94,710,459,2025-05-11,4448.53,Debit Order,FAILED,BANKREF-01585939,NAEDO-361880
95,888,4359,2025-12-10,562.02,debit order,FAILED,BANKREF-74188689,
96,1488,1928,2025-12-22,3279.63,Cash Deposit,SUCCESS,BANKREF-88168340,
97,945,6640,2025-03-17,4546.93,Card,FAILED,BANKREF-52129254,
98,609,6920,2026-07-02,2511.8,Cash Deposit,SUCCESS,BANKREF-82585295,
99,28,3975,05/09/2025,4037.46,Card,FAILED,BANKREF-92133051,NAEDO-435164
100,777,990,2025-06-03,703.2,debit order,PENDING,BANKREF-06654871,NAEDO-274658
101,1557,,2025-08-15,1470.92,Cash Deposit,SUCCESS,BANKREF-48521464,NAEDO-628219
102,1761,5446,2026-07-17,2695.56,Debit Order,failed,BANKREF-15035796,NAEDO-616340
103,103,5978,01-26-2026,4839.37,Debit Order,success,,NAEDO-637244
104,32,6529,2025-07-04,3381.33,Manual EFT,success,BANKREF-06237309,
105,1396,3234,2026-03-03,3454.2,Manual EFT,PENDING,BANKREF-95446392,
106,558,3982,2025-11-25,4102.87,debit order,SUCCESS,BANKREF-82202712,NAEDO-387132
107,341,3835,03-08-2025,4625.92,Debit Order,REVERSED,BANKREF-65519842,NAEDO-125856
108,198,930,2025-03-24,4577.73,Card,SUCCESS,BANKREF-66274960,NAEDO-642653
109,1525,1317,2025-04-17,4316.52,Cash Deposit,PENDING,BANKREF-45544824,
110,1019,2329,2026-05-20,4055.79,debit order,success,BANKREF-24337910,NAEDO-362203
111,612,1512,2026-01-05,3603.01,Manual EFT,success,BANKREF-51568980,
112,73,2596,2025-07-02,2331.11,Manual EFT,failed,BANKREF-10029416,
113,915,7235,2026-04-02,3074.38,debit order,PENDING,BANKREF-76516488,
114,1270,3304,2025-06-01,3700.13,Card,FAILED,BANKREF-74536279,NAEDO-110360
115,1233,8072,2026-07-15,2195.16,debit order,success,,NAEDO-413338
116,1540,5489,2026-01-29,446.48,Manual EFT,failed,BANKREF-04160290,
117,1731,8105,2026-07-25,4838.71,Debit Order,failed,BANKREF-29092892,
118,1209,8716,2026-01-31,1406.86,Cash Deposit,REVERSED,BANKREF-83046853,
119,379,6459,2026-05-13,495.8,debit order,REVERSED,BANKREF-39453023,
120,1049,64,2026-10-17,1032.72,Debit Order,PENDING,BANKREF-20100611,
121,785,2042,2025-07-09,2269.14,Debit Order,REVERSED,BANKREF-11368281,
122,334,8431,2025-08-15,1922.55,Card,REVERSED,BANKREF-63814365,NAEDO-525449
123,329,971,2026-03-31,3893.06,Cash Deposit,REVERSED,BANKREF-89506148,NAEDO-454208
124,780,1842,2025-02-04,3789.45,Cash Deposit,PENDING,BANKREF-48199672,
125,1456,7276,2026-02-07,1301.16,Manual EFT,PENDING,BANKREF-41508998,
126,1183,7738,2025-05-25,707.12,debit order,SUCCESS,BANKREF-92341217,NAEDO-457647
127,1775,388,2026-06-27,826.69,Cash Deposit,FAILED,BANKREF-36381711,
128,647,4864,2025-03-28,4009.09,Cash Deposit,FAILED,BANKREF-81011476,
129,1052,2447,20250719,3659.76,Manual EFT,success,BANKREF-05892827,NAEDO-997505
130,1192,,2026-08-24,4063.11,Debit Order,REVERSED,BANKREF-70389643,
131,132,297,2026-05-19,476.18,Debit Order,FAILED,BANKREF-54981456,NAEDO-163714
132,1369,,2026-01-12,2484.54,Manual EFT,PENDING,,
133,1162,7304,2026-01-21,1585.9,debit order,FAILED,,
134,1191,221,2026-01-15,3737.71,Manual EFT,PENDING,,
135,302,4026,2026-02-27,1412.93,Debit Order,SUCCESS,BANKREF-79052446,NAEDO-726632
136,596,8561,2026-01-12,-4080.8,Card,SUCCESS,BANKREF-76332763,
137,544,7930,2025-04-13,860.45,Card,FAILED,,
138,149,183,2025-08-04,1619.86,Card,FAILED,BANKREF-50335015,NAEDO-969593
139,1059,6464,2026-05-11,1785.03,Manual EFT,REVERSED,BANKREF-50190469,
140,1199,8154,2025-07-18,3022.74,Cash Deposit,REVERSED,BANKREF-16727191,
141,1593,8637,2026-05-26,1858.57,Manual EFT,REVERSED,BANKREF-20054686,
142,551,6720,2025-12-16,3333.77,Debit Order,REVERSED,BANKREF-33997739,NAEDO-674029
143,357,6824,2026-04-09,989.42,Cash Deposit,SUCCESS,BANKREF-76771577,NAEDO-672761
144,364,,2025-08-15,1788.65,debit order,SUCCESS,BANKREF-89718864,
145,972,793,2025-06-04,2789.22,Card,REVERSED,,
146,1597,6904,2025-11-24,-2668.47,Cash Deposit,PENDING,BANKREF-93354686,
147,621,5270,2025-12-18,943.45,Debit Order,SUCCESS,BANKREF-15339820,NAEDO-417338
148,1159,3494,2026-06-10,1978.64,debit order,REVERSED,BANKREF-24820924,NAEDO-562700
149,1615,6184,2026-04-02,4193.04,debit order,FAILED,BANKREF-44618529,
150,1753,7280,2025-08-20,834.53,debit order,failed,BANKREF-42205682,
151,1709,7230,2025-08-06,3712.2,Card,FAILED,BANKREF-79220053,
152,1092,3355,2026-07-10,251.73,Manual EFT,success,BANKREF-43819446,NAEDO-644723
153,826,3765,2026-02-04,2198.71,debit order,REVERSED,BANKREF-91063214,
154,845,,2026-06-02,4172.54,Card,failed,BANKREF-77824115,NAEDO-309120
155,1003,4690,2026-05-31,2044.32,Manual EFT,REVERSED,BANKREF-49450250,
156,301,6768,2025-08-08,-2570.42,Manual EFT,REVERSED,BANKREF-60564968,NAEDO-655369
157,560,105,2025-05-28,2462.93,Manual EFT,success,BANKREF-38903758,NAEDO-191408
158,390,6473,2026-05-14,1156.08,Card,failed,BANKREF-51610111,
159,744,26,2025-08-17,4011.85,debit order,REVERSED,BANKREF-40791898,NAEDO-319559
160,242,3334,2025-09-02,4648.23,Card,PENDING,BANKREF-74157327,
161,142,7863,2025-10-26,4027.67,Cash Deposit,success,BANKREF-13678703,
162,1290,4680,2025-07-22,1571.89,Card,failed,BANKREF-63611435,
163,1554,6854,2026-01-06,1557.93,Cash Deposit,PENDING,,
164,158,8486,03-16-2026,758.67,Debit Order,FAILED,BANKREF-28690219,NAEDO-570799
165,309,8933,20260212,3097.2,Debit Order,FAILED,BANKREF-43043601,
166,1740,1894,2026-05-13,2496.4,debit order,FAILED,BANKREF-96580697,
167,1659,1394,2026-05-13,1982.56,Manual EFT,PENDING,BANKREF-88605684,
168,892,4210,2026-01-21,3489.54,debit order,REVERSED,BANKREF-00071512,
169,1125,7546,2026-05-26,2886.89,Cash Deposit,success,BANKREF-75871192,NAEDO-121623
170,114,2811,2025-09-06,4862.14,Card,REVERSED,BANKREF-92695884,
171,431,,2025-10-01,441.05,Debit Order,REVERSED,BANKREF-25270263,NAEDO-941617
172,722,3757,2026-02-13,1380.83,Card,failed,BANKREF-71129691,NAEDO-818175
173,246,4982,26 Aug 2025,4804.43,Manual EFT,PENDING,BANKREF-41616138,
174,582,8937,2026-03-17,4546.33,Card,PENDING,BANKREF-26884949,NAEDO-204995
175,832,4865,2026-06-22,3780.71,Card,FAILED,BANKREF-58115669,
176,1626,4542,2026-07-05,2905.97,Card,success,BANKREF-98230285,
177,2,2710,2025-02-22,2945.53,Cash Deposit,PENDING,BANKREF-15133468,
178,725,5379,2025-08-29,1329.57,Card,FAILED,BANKREF-40615439,
179,116,7384,2026-02-08,3346.24,Debit Order,PENDING,BANKREF-93792136,
180,876,1749,22 Nov 2025,3297.16,debit order,success,BANKREF-52432197,NAEDO-977708
181,1602,3823,2025-08-02,4124.14,debit order,REVERSED,BANKREF-54736673,NAEDO-110226
182,1063,4432,2025-10-24,3230.13,Debit Order,success,BANKREF-25616380,
183,108,2946,2025-03-05,4317.31,debit order,failed,,
184,1630,8785,2026-02-03,961.38,Manual EFT,REVERSED,BANKREF-57566304,
185,685,5797,2026-01-22,3402.11,Debit Order,PENDING,BANKREF-16061992,
186,748,3307,2026-07-08,3238.63,Manual EFT,PENDING,BANKREF-49753553,
187,1670,7448,2025-11-11,407.05,Debit Order,failed,BANKREF-43376830,
188,1600,1270,2026-07-31,-3955.73,Cash Deposit,PENDING,BANKREF-06465433,
189,33,628,2025-04-23,3962.5,Debit Order,SUCCESS,BANKREF-38848765,
190,130,6183,2025-07-28,787.64,debit order,FAILED,BANKREF-02393678,
191,995,4100,2025-07-19,2159.42,Cash Deposit,FAILED,BANKREF-38881331,NAEDO-484851
192,1101,7641,2025-12-22,638.44,Card,SUCCESS,BANKREF-79352252,
193,1543,8959,2025-02-12,3430.53,Debit Order,failed,BANKREF-91261406,
194,1524,6539,2026-10-20,2006.17,Debit Order,SUCCESS,BANKREF-18185885,
195,228,8660,2026-06-07,4473.24,Card,SUCCESS,BANKREF-23525186,
196,1103,6632,2025-11-19,1684.63,Cash Deposit,success,BANKREF-62583849,
197,1511,3768,2025-05-21,2339.08,Debit Order,FAILED,BANKREF-40894723,NAEDO-891801
198,632,,2025-07-01,798.71,Card,FAILED,BANKREF-21761898,
199,792,3681,2025-09-01,3473.55,Cash Deposit,REVERSED,,
200,1779,5357,2025-05-03,3515.31,Debit Order,success,BANKREF-46591375,NAEDO-190872
201,1694,5716,2026-07-14,1353.76,Card,FAILED,BANKREF-41252864,
202,724,6619,2025-03-15,985.71,Debit Order,failed,BANKREF-07013410,NAEDO-952458
203,1679,366,2025-03-29,3452.51,debit order,PENDING,BANKREF-19142426,NAEDO-296889
204,1137,1598,2025-03-02,730.65,Debit Order,PENDING,BANKREF-00671526,
205,607,,2025-04-01,2500.29,Cash Deposit,PENDING,BANKREF-83555783,
206,661,1997,2026-05-28,1089.24,debit order,failed,BANKREF-44215741,NAEDO-971268
207,203,3721,2025-08-08,1320.95,Cash Deposit,SUCCESS,BANKREF-85178773,NAEDO-981638
208,455,6877,2025-04-10,4479.0,Card,PENDING,BANKREF-92239848,
209,90,8675,2025-03-16,-1361.7,Cash Deposit,SUCCESS,BANKREF-19402134,
210,1697,8702,2025-10-28,4673.55,debit order,FAILED,BANKREF-58616511,NAEDO-381285
211,1502,3412,20250507,1742.1,Card,REVERSED,BANKREF-16565711,
212,1408,3641,02/06/2026,4610.56,debit order,PENDING,BANKREF-60405088,
213,1082,,2026-01-18,1377.76,Debit Order,failed,BANKREF-60882529,
214,148,8307,03/01/2026,2068.37,Manual EFT,REVERSED,BANKREF-74349045,NAEDO-255734
215,741,1422,2026-03-13,3919.31,debit order,success,BANKREF-61917020,
216,750,7136,2025-04-19,2231.54,debit order,SUCCESS,BANKREF-13344163,NAEDO-695349
217,12,,2025-05-10,488.56,Cash Deposit,success,BANKREF-69639420,NAEDO-753579
218,991,,2025-10-24,3670.53,Cash Deposit,PENDING,BANKREF-74779505,
219,642,7107,2025-05-31,817.77,Manual EFT,failed,BANKREF-25380472,NAEDO-765884
220,324,1865,2026-01-17,1127.76,Card,REVERSED,BANKREF-40185483,
221,873,6616,2025-07-22,993.25,Card,success,BANKREF-40898377,
222,327,1970,2025-07-03,4607.54,debit order,FAILED,BANKREF-26602125,NAEDO-367154
223,1610,871,20250705,3991.86,Debit Order,failed,,NAEDO-862801
224,222,3985,2026-05-26,2884.64,Card,success,BANKREF-80735379,NAEDO-292896
225,1461,1697,2026-01-24,1027.02,debit order,FAILED,BANKREF-06770549,
226,1573,6699,2026-03-26,1214.63,Card,success,BANKREF-18315706,
227,629,,2025-06-21,-3241.16,Card,PENDING,,NAEDO-600358
228,1139,8019,2025-04-11,4631.81,Debit Order,failed,BANKREF-82637931,NAEDO-708635
229,309,8325,2025-04-19,866.42,debit order,SUCCESS,BANKREF-10231667,
230,1733,8283,2026-03-29,4847.96,debit order,PENDING,BANKREF-22449946,NAEDO-536322
231,1227,1005,2026-06-11,1620.85,Card,REVERSED,BANKREF-93656876,
232,1416,820,2025-06-05,4829.09,Debit Order,success,,
233,90,,2025-05-10,4908.67,debit order,failed,BANKREF-91870715,
234,1746,1607,2026-06-19,2827.08,Card,failed,BANKREF-87756626,NAEDO-373932
235,1179,338,2025-06-25,-1492.29,Debit Order,FAILED,BANKREF-07717005,NAEDO-133496
236,162,,2025-02-09,2748.82,Card,success,BANKREF-18389799,NAEDO-691782
237,617,8262,2026-01-16,2457.27,Manual EFT,FAILED,BANKREF-13182923,
238,985,,2026-11-04,4039.43,Debit Order,REVERSED,BANKREF-05945922,NAEDO-136040
239,669,2297,2025-02-10,679.53,Manual EFT,PENDING,BANKREF-91303341,NAEDO-211953
240,540,3553,2026-05-03,1516.01,debit order,SUCCESS,BANKREF-29911125,NAEDO-250611
241,1481,4235,2026-02-06,479.29,Manual EFT,SUCCESS,BANKREF-40572769,NAEDO-885572
242,1094,5126,2025-08-26,3909.56,debit order,FAILED,BANKREF-96603861,
243,19,7041,2025-04-28,4406.9,Card,SUCCESS,BANKREF-40654156,
244,1037,785,2025-04-15,4333.99,Debit Order,success,BANKREF-74316522,NAEDO-208539
245,335,3987,2025-02-04,4598.67,Card,FAILED,BANKREF-22866850,NAEDO-638146
246,616,4622,2026-07-16,3531.97,Cash Deposit,FAILED,BANKREF-46858988,
247,1746,7202,2025-10-06,4846.49,Card,PENDING,BANKREF-76521847,NAEDO-156461
248,1739,2185,2025-03-24,1082.2,debit order,FAILED,BANKREF-59508802,
249,1634,4124,2026-02-19,2712.34,Debit Order,REVERSED,BANKREF-43175472,NAEDO-659495
250,495,3173,2025-04-28,1451.02,Card,PENDING,BANKREF-45021530,NAEDO-343511
251,1080,1529,2025-07-31,3722.67,debit order,failed,BANKREF-88673625,NAEDO-391920
252,1136,8269,2025-09-09,3385.07,Cash Deposit,SUCCESS,,
253,907,2696,2026-05-22,1079.62,Manual EFT,failed,BANKREF-79592246,
254,627,1403,2025-07-25,1259.81,Card,REVERSED,BANKREF-16416657,
255,1704,620,2025-08-05,4396.31,Card,failed,BANKREF-65768156,
256,366,6864,2025-12-17,1406.74,Card,failed,BANKREF-70386221,NAEDO-886614
257,485,4552,2025-10-20,-3150.02,Card,REVERSED,BANKREF-72459169,NAEDO-106875
258,362,2206,2025-07-30,1274.87,Card,failed,BANKREF-54477649,NAEDO-547402
259,1259,1539,07-25-2025,3947.31,Cash Deposit,PENDING,BANKREF-25581916,
260,724,3336,02-08-2025,2514.55,debit order,success,BANKREF-14157034,
261,967,1467,2026-01-01,3409.41,Debit Order,REVERSED,BANKREF-21438858,NAEDO-948235
262,1271,154,11-03-2025,2594.44,Debit Order,REVERSED,,NAEDO-398034
263,1316,4396,2025-06-19,3025.73,debit order,FAILED,BANKREF-93353726,NAEDO-751534
264,90,2233,2025-03-02,3462.18,Debit Order,SUCCESS,BANKREF-27841180,
265,694,2100,2025-12-07,1631.62,debit order,success,BANKREF-29778542,NAEDO-216298
266,615,7501,2026-07-08,4381.01,Cash Deposit,FAILED,,NAEDO-357791
267,515,7876,2026-04-01,843.26,Debit Order,REVERSED,,
268,204,7390,2025-02-22,2161.9,debit order,failed,BANKREF-89818010,
269,668,3794,2026-04-01,2733.7,Manual EFT,success,BANKREF-51224959,NAEDO-575705
270,1082,6740,2025-05-26,4791.36,Cash Deposit,REVERSED,BANKREF-76822423,NAEDO-313159
271,1171,7063,2025-11-08,2223.41,Manual EFT,PENDING,BANKREF-76844444,
272,1240,7239,2025-08-21,4439.48,Card,PENDING,BANKREF-52167740,NAEDO-542581
273,1526,7,2026-03-30,3515.57,Card,FAILED,BANKREF-67421043,NAEDO-204855
274,689,8629,2026-05-26,4934.21,Debit Order,SUCCESS,BANKREF-65777771,NAEDO-151490
275,123,7459,2025-05-26,3426.92,debit order,REVERSED,BANKREF-19012162,
276,1035,,2025-11-21,3801.87,Card,REVERSED,,
277,453,4341,02 May 2025,4923.7,Debit Order,FAILED,BANKREF-20529664,NAEDO-506311
278,734,4963,2026-04-27,4044.58,Cash Deposit,FAILED,BANKREF-37795898,
279,1572,762,2026-12-13,1743.85,debit order,SUCCESS,BANKREF-19492599,
280,1649,4325,2026-03-26,2093.46,Manual EFT,PENDING,BANKREF-11593537,
281,175,99,2026-07-11,1241.68,Manual EFT,PENDING,BANKREF-74726612,NAEDO-780810
282,740,2806,2026-02-17,4548.33,Debit Order,PENDING,BANKREF-59278810,NAEDO-887046
283,922,7435,2025-10-30,4874.38,debit order,failed,BANKREF-89976040,
284,679,7544,2025-08-18,3470.43,Cash Deposit,PENDING,BANKREF-88677462,NAEDO-708060
285,1799,2814,2026-09-25,1634.74,Cash Deposit,FAILED,BANKREF-72706077,
286,743,,2025-02-26,1697.72,debit order,FAILED,BANKREF-72878337,
287,579,,2025-03-17,2579.01,Card,failed,BANKREF-88999941,NAEDO-806326
288,1313,7501,2026-12-31,-4088.83,Cash Deposit,SUCCESS,BANKREF-93235266,NAEDO-267330
289,846,2748,2025-02-18,3241.96,Cash Deposit,REVERSED,BANKREF-10204644,
290,1419,3685,20260112,2690.47,Cash Deposit,PENDING,BANKREF-75983437,
291,87,5584,2026-05-07,1753.25,debit order,REVERSED,BANKREF-09251241,
292,771,4459,2025-06-14,1705.23,debit order,SUCCESS,,NAEDO-771604
293,368,7703,2026-04-11,3518.58,Cash Deposit,FAILED,BANKREF-55578783,NAEDO-453834
294,470,2490,2025-03-26,3687.12,Card,FAILED,BANKREF-65696798,
295,1636,3400,2026-03-25,3789.29,Card,SUCCESS,,
296,1536,7799,03-03-2025,1065.29,debit order,PENDING,BANKREF-08681816,
297,657,8151,2025-08-11,3916.03,Debit Order,failed,BANKREF-46723757,NAEDO-176480
298,1223,7871,2025-09-27,2509.41,Card,REVERSED,BANKREF-18268945,
299,1055,520,2026-01-16,2275.59,Manual EFT,failed,BANKREF-47900281,NAEDO-564849
300,481,2412,2026-04-03,4931.29,Card,success,BANKREF-68123012,
301,142,717,2025-05-08,1681.89,Debit Order,PENDING,BANKREF-40624844,NAEDO-155603
302,622,2401,2025-02-02,2293.47,Cash Deposit,PENDING,,
303,1524,6168,2025-02-16,984.03,Manual EFT,success,BANKREF-21579369,NAEDO-501400
304,1362,1477,2025-06-06,2410.45,Cash Deposit,FAILED,BANKREF-06946194,
305,1768,8600,2026-03-15,3164.04,Cash Deposit,failed,BANKREF-09283598,
306,1613,4235,2025-11-24,1132.11,debit order,REVERSED,BANKREF-30511707,NAEDO-739933
307,890,1594,2025-08-31,601.69,debit order,FAILED,BANKREF-74175456,NAEDO-648713
308,1583,286,2025-07-24,-2266.67,Debit Order,success,BANKREF-22940167,NAEDO-982889
309,147,1773,2026-01-06,-1032.42,Card,FAILED,BANKREF-54115527,
310,1105,366,2026-03-09,681.13,Debit Order,failed,BANKREF-91967562,
311,575,7493,2025-03-10,4962.62,debit order,success,BANKREF-41475107,
312,1433,8687,2025-09-08,4465.07,Card,success,BANKREF-06920339,
313,1236,5810,2026-06-19,3557.17,debit order,failed,BANKREF-57244576,NAEDO-691009
314,175,3274,2025-05-03,2743.85,debit order,REVERSED,BANKREF-84335948,
315,45,5386,2026-07-28,4924.18,debit order,failed,BANKREF-46648809,
316,517,7491,2025-02-03,4953.61,debit order,PENDING,BANKREF-85387385,
317,1015,1747,2025-09-06,2688.28,Card,SUCCESS,BANKREF-00055026,
318,1310,3645,2025-02-07,1991.49,Card,failed,BANKREF-91126860,
319,1028,4498,2025-07-12,3414.84,Debit Order,PENDING,BANKREF-60339096,
320,920,6580,2025-05-08,3648.55,debit order,SUCCESS,BANKREF-70764846,NAEDO-373005
321,1498,3866,2026-02-20,2970.33,Debit Order,success,BANKREF-97983891,NAEDO-577913
322,266,4890,2025-05-21,4154.75,Cash Deposit,SUCCESS,BANKREF-56466520,NAEDO-493877
323,1424,5251,2025-05-03,3431.38,Manual EFT,SUCCESS,BANKREF-19435548,
324,390,,2026-04-25,596.78,Cash Deposit,failed,BANKREF-52085369,NAEDO-145049
325,1295,3854,04-24-2026,2356.93,Cash Deposit,SUCCESS,BANKREF-57866009,NAEDO-855232
326,715,5237,2025-10-27,-1743.6,Manual EFT,FAILED,BANKREF-91427336,
