credit_check_id,application_id,bureau_name,credit_score,risk_band,enquiry_result,checked_at,adverse_listings_count,total_open_accounts,total_judgements
90,649,,682,LOW,ERROR,2025-12-07 14:32:41,4,,1
91,1054,,792,low,ERROR,2025-03-22 20:10:44,0,10,1
92,1488,Demo Credit Bureau,660,Low,PASS,2026-02-07 11:36:17,2,,1
93,1485,Demo Credit Bureau,530,HIGH,FAIL,2025-01-22 19:28:13,2,13,
94,1265,Demo Credit Bureau,796,low,PASS,2026-01-20 11:51:49,0,8,3
95,2242,Demo Credit Bureau,587,MEDIUM,ERROR,2025-06-26 09:18:25,2,0,
96,1639,TransUnion,606,MEDIUM,pass,2025-09-28 13:53:36,5,12,2
97,126,Compuscan,,,REFER,2025-09-27 22:49:03,,8,3
98,1448,,563,VERY_HIGH,REFER,2025-03-18 14:23:56,3,12,0
99,2700,Demo Credit Bureau,849,Low,PASS,2026-02-12 18:53:45,4,12,0
100,1567,Compuscan,438,VERY_HIGH,ERROR,2025-06-04 14:12:49,2,5,1
101,1770,,783,low,pass,2025-10-18 19:14:21,3,1,3
102,79,,799,Low,ERROR,2025-01-29 11:36:50,0,3,0
103,1855,Demo Credit Bureau,379,VERY_HIGH,Fail,2025-03-10 10:22:24,5,11,3
104,1008,Demo Credit Bureau,318,VERY_HIGH,PASS,2026-02-14 17:06:54,1,2,3
105,650,Demo Credit Bureau,793,low,FAIL,2025-02-16 18:48:40,0,11,2
106,3157,,333,HIGH,REFER,2025-05-03 09:37:48,,12,2
107,2529,,629,MEDIUM,Fail,2025-06-28 17:17:10,3,6,0
108,865,,567,VERY_HIGH,FAIL,2026-01-21 18:09:19,1,0,3
109,312,Experian,660,LOW,REFER,2025-03-05 18:13:05,2,8,0
110,1813,Demo Credit Bureau,,LOW,REFER,2025-11-02 18:17:56,5,,2
111,188,,827,LOW,FAIL,2025-01-12 10:41:28,5,5,0
112,187,Demo Credit Bureau,412,HIGH,Fail,2025-04-18 22:32:09,1,,2
113,489,TransUnion,314,VERY_HIGH,Fail,2025-05-19 12:23:12,2,,1
114,1403,TransUnion,787,Low,REFER,2025-10-14 17:43:56,5,,1
115,2971,,809,LOW,ERROR,2025-08-02 08:41:08,2,14,1
116,235,,790,low,PASS,2025-06-23 13:44:29,0,15,1
117,1652,Experian,328,HIGH,FAIL,2026-03-07 11:16:47,1,8,1
118,3040,Compuscan,367,HIGH,ERROR,2026-01-15 11:27:05,0,10,0
119,2202,Compuscan,320,VERY_HIGH,ERROR,2026-05-08 11:16:12,4,8,0
120,2927,Compuscan,772,low,REFER,2025-02-21 22:01:08,2,13,1
121,1351,Compuscan,475,VERY_HIGH,pass,2025-06-29 18:49:42,3,10,
122,1338,Experian,,VERY_HIGH,FAIL,2026-06-16 09:11:25,2,11,1
123,2785,Experian,407,HIGH,pass,2025-02-21 19:23:46,5,14,
124,2338,TransUnion,740,low,pass,2025-04-04 15:36:29,5,9,0
125,1036,Demo Credit Bureau,313,VERY_HIGH,pass,2026-06-03 13:44:51,4,,1
126,1803,TransUnion,704,low,PASS,2025-10-13 10:35:53,1,5,0
127,2190,TransUnion,746,low,REFER,2025-05-13 10:01:58,0,11,1
128,2471,Experian,426,VERY_HIGH,ERROR,2025-10-15 14:01:19,0,3,
129,428,,,MEDIUM,PASS,2025-01-04 19:09:35,2,15,0
130,918,Experian,801,Low,FAIL,2025-07-22 07:49:55,,,1
131,2786,Experian,754,Low,pass,2026-04-11 17:42:23,2,15,
132,1713,,661,LOW,FAIL,2025-03-27 11:08:52,2,3,1
133,1721,TransUnion,551,HIGH,REFER,2025-02-02 15:45:11,0,4,
134,3105,Demo Credit Bureau,,MEDIUM,pass,2025-11-24 09:23:08,3,12,1
135,3113,,769,low,pass,2026-02-21 15:28:56,5,1,3
136,1273,TransUnion,419,HIGH,pass,2025-09-25 13:10:18,1,6,0
137,1495,Demo Credit Bureau,420,HIGH,REFER,2025-12-01 14:21:08,3,6,
138,1982,Demo Credit Bureau,739,Low,PASS,2026-02-26 11:48:56,3,14,1
139,3088,TransUnion,457,VERY_HIGH,Fail,2025-05-26 20:10:43,,12,3
140,584,Experian,559,HIGH,ERROR,2025-03-02 16:56:54,3,14,
141,2131,,,MEDIUM,FAIL,2025-02-09 19:33:55,2,1,2
142,1873,,,HIGH,PASS,2025-05-11 09:32:26,4,13,0
143,1494,Demo Credit Bureau,,,Fail,2025-10-15 09:17:13,2,14,3
144,2465,Experian,304,VERY_HIGH,PASS,2025-12-27 16:19:54,0,5,3
145,3126,Compuscan,603,MEDIUM,FAIL,2025-10-27 21:42:17,0,3,3
146,1915,TransUnion,328,VERY_HIGH,PASS,2025-05-16 18:14:40,2,10,
147,2738,,734,LOW,Fail,2025-05-17 19:36:08,5,3,1
148,2873,Compuscan,722,LOW,Fail,2026-03-12 13:34:48,2,11,3
149,754,,805,low,ERROR,2025-01-29 14:24:41,4,14,1
150,361,Compuscan,377,HIGH,pass,2025-03-20 09:52:29,,15,1
151,2820,Compuscan,315,VERY_HIGH,ERROR,2025-07-29 10:34:09,5,7,3
152,2715,Demo Credit Bureau,420,VERY_HIGH,REFER,2025-01-26 10:08:17,5,15,3
153,2560,TransUnion,,,ERROR,2025-07-26 15:48:49,1,9,1
154,1342,,682,LOW,REFER,2025-04-14 16:49:42,2,3,
155,3090,Experian,751,LOW,Fail,2025-04-07 22:04:08,5,0,2
156,667,TransUnion,489,VERY_HIGH,FAIL,2026-02-14 12:09:48,2,,2
157,1479,Experian,350,VERY_HIGH,ERROR,2025-01-22 11:03:31,0,4,2
158,2413,,308,HIGH,pass,2026-04-02 18:46:22,4,7,0
159,3126,TransUnion,,,FAIL,2026-03-09 14:44:53,,2,1
160,1334,Demo Credit Bureau,631,MEDIUM,pass,2025-01-17 08:33:59,3,11,
161,1464,Experian,336,VERY_HIGH,PASS,2025-07-16 10:48:51,1,14,2
162,1916,TransUnion,746,Low,ERROR,2025-03-02 19:32:40,4,3,
163,2488,Experian,628,MEDIUM,FAIL,2025-02-18 19:42:01,5,2,0
164,936,TransUnion,784,Low,REFER,2025-12-02 13:50:24,5,8,1
165,513,Compuscan,407,VERY_HIGH,REFER,2025-10-25 15:36:38,1,15,0
166,1779,,302,VERY_HIGH,PASS,2025-07-20 08:00:20,2,14,2
167,447,,346,VERY_HIGH,FAIL,2025-12-12 08:29:54,1,7,1
168,1822,Demo Credit Bureau,639,MEDIUM,pass,2025-01-01 19:11:21,1,1,1
169,3032,,504,HIGH,REFER,2025-09-20 18:29:39,2,7,0
170,2684,,686,LOW,FAIL,2025-01-11 10:57:18,,2,2
171,2436,,701,low,FAIL,2025-10-26 12:56:53,4,4,2
172,1789,Compuscan,736,LOW,pass,2025-11-06 19:44:59,0,,0
173,2463,TransUnion,631,MEDIUM,REFER,2025-01-05 09:44:40,0,6,0
174,181,Compuscan,822,low,REFER,2025-10-22 15:55:48,2,7,0
175,3044,Demo Credit Bureau,563,HIGH,pass,2025-06-16 19:43:01,0,11,1
176,358,TransUnion,368,HIGH,Fail,2025-10-04 10:16:06,2,5,1
177,2746,,844,LOW,Fail,2025-03-23 14:49:26,4,3,
178,2178,,,,PASS,2025-11-14 16:13:13,,3,1
179,2423,Demo Credit Bureau,381,VERY_HIGH,REFER,2025-09-10 15:22:57,5,,1
180,2042,Experian,647,MEDIUM,pass,2026-01-28 12:37:28,2,12,1
181,1958,Compuscan,483,HIGH,REFER,2025-01-25 13:06:37,4,5,0
182,2506,Compuscan,624,MEDIUM,Fail,2025-12-07 10:32:15,,4,2
183,608,TransUnion,360,VERY_HIGH,ERROR,2025-11-25 08:52:11,2,2,1
184,1534,TransUnion,717,Low,FAIL,2025-07-12 16:16:58,1,9,1
185,316,TransUnion,447,VERY_HIGH,PASS,2026-02-07 11:24:38,4,10,3
186,908,Experian,537,VERY_HIGH,PASS,2025-03-30 07:32:00,3,15,3
187,364,Compuscan,304,HIGH,pass,2026-02-05 20:50:29,0,11,3
188,605,TransUnion,821,low,Fail,2026-05-28 08:57:50,2,5,0
189,2517,Experian,480,VERY_HIGH,Fail,2025-07-09 09:30:20,0,14,2
190,2847,,819,Low,pass,2025-11-26 16:30:03,4,6,0
191,2897,Compuscan,844,Low,ERROR,2026-01-27 16:27:33,1,7,0
192,2634,Demo Credit Bureau,,Low,ERROR,2025-01-08 09:45:12,2,6,1
193,667,Compuscan,580,MEDIUM,ERROR,2025-08-07 21:25:53,,9,3
194,2479,Experian,497,VERY_HIGH,pass,2025-06-08 11:23:41,,2,1
195,2195,Experian,347,HIGH,Fail,2025-01-19 11:38:24,2,10,0
196,47,TransUnion,751,Low,ERROR,2026-05-11 08:08:45,5,6,1
197,1523,Experian,654,low,PASS,2025-10-28 12:17:27,5,3,1
198,138,Experian,691,LOW,REFER,2025-12-23 11:53:27,,0,1
199,1379,Experian,,,ERROR,2025-10-31 10:33:24,1,2,2
200,2918,TransUnion,705,LOW,PASS,2026-05-29 22:07:42,2,12,3
201,1779,Compuscan,742,low,ERROR,2025-12-11 14:23:54,2,11,2
202,2667,Demo Credit Bureau,665,Low,PASS,2025-03-27 08:53:33,0,2,3
203,1983,Compuscan,793,Low,REFER,2025-05-04 15:46:05,,7,0
204,2902,,766,LOW,ERROR,2025-01-14 11:16:41,4,6,2
205,1934,TransUnion,548,HIGH,Fail,2025-08-29 16:01:58,0,7,1
206,3021,Experian,,HIGH,pass,2026-02-11 17:42:42,2,4,2
207,3119,Demo Credit Bureau,662,LOW,REFER,2026-02-05 15:25:36,5,3,
208,598,,549,HIGH,Fail,2026-02-23 21:36:00,1,14,2
209,2041,Experian,327,VERY_HIGH,REFER,2026-01-06 12:43:55,3,14,
210,2316,,761,low,FAIL,2025-11-09 17:46:36,3,0,2
211,2646,Compuscan,394,VERY_HIGH,REFER,2025-09-09 07:49:16,2,6,1
212,2780,Experian,619,MEDIUM,REFER,2026-04-26 16:56:07,0,7,1
213,2570,TransUnion,635,MEDIUM,pass,2025-03-26 08:21:37,3,12,2
214,2637,Experian,447,HIGH,Fail,2025-08-15 08:00:43,0,,0
215,696,,575,HIGH,pass,2025-12-11 13:15:28,,6,2
216,1366,,305,HIGH,pass,2026-04-30 11:24:17,5,2,1
217,1653,TransUnion,393,HIGH,REFER,2026-03-17 20:50:56,3,9,2
218,201,Experian,335,VERY_HIGH,ERROR,2025-12-24 11:51:13,0,9,1
219,722,Demo Credit Bureau,409,HIGH,Fail,2025-06-19 09:42:12,2,,2
220,1611,Demo Credit Bureau,452,HIGH,PASS,2025-08-07 13:35:05,4,1,1
221,245,,413,VERY_HIGH,REFER,2025-06-21 07:09:27,4,0,1
222,2018,,847,LOW,REFER,2026-02-07 17:25:48,4,7,0
223,1152,,708,low,FAIL,2025-11-07 13:22:53,5,11,0
224,122,,327,HIGH,REFER,2025-05-16 15:29:44,1,9,
225,1492,Compuscan,422,HIGH,FAIL,2025-08-29 14:21:11,2,14,1
226,2081,TransUnion,737,LOW,ERROR,2025-03-01 19:16:12,2,9,
227,2421,Experian,477,VERY_HIGH,FAIL,2026-02-16 14:24:34,0,0,
228,892,Experian,626,MEDIUM,FAIL,2026-05-10 09:24:02,4,8,2
229,2209,,599,MEDIUM,Fail,2025-03-01 16:51:24,5,12,2
230,778,,477,VERY_HIGH,ERROR,2025-05-16 11:47:40,0,11,
231,2980,Compuscan,424,HIGH,Fail,2025-06-18 11:12:37,0,9,3
232,2819,TransUnion,448,VERY_HIGH,REFER,2025-05-21 12:56:52,1,14,3
233,3109,,580,MEDIUM,FAIL,2025-01-18 10:09:38,2,8,3
234,2626,TransUnion,823,Low,ERROR,2025-05-14 07:06:53,1,13,1
235,1031,Experian,797,LOW,FAIL,2025-11-08 14:31:15,1,0,2
236,849,Experian,715,low,REFER,2026-04-16 08:07:59,5,5,3
237,2573,Demo Credit Bureau,759,low,ERROR,2025-09-20 08:41:19,4,7,2
238,382,Experian,519,HIGH,Fail,2026-05-06 13:47:39,1,8,0
239,1370,Experian,348,HIGH,ERROR,2025-05-10 11:56:32,4,7,3
240,2317,Compuscan,742,LOW,Fail,2025-05-06 16:22:50,0,3,1
241,2194,Demo Credit Bureau,458,HIGH,ERROR,2026-05-18 22:56:46,4,14,2
242,2467,Demo Credit Bureau,398,VERY_HIGH,PASS,2025-07-19 11:10:58,2,15,1
243,1548,,322,VERY_HIGH,PASS,2025-05-04 19:21:34,2,13,0
244,2475,,450,HIGH,REFER,2025-04-17 07:00:31,1,4,3
245,2914,Demo Credit Bureau,,LOW,PASS,2026-06-04 21:03:07,1,10,0
246,986,,399,HIGH,REFER,2025-07-23 12:59:18,0,,0
247,1596,Compuscan,353,HIGH,FAIL,2025-12-30 21:45:04,5,4,
248,2095,Compuscan,549,VERY_HIGH,REFER,2025-08-27 21:18:32,3,9,
249,2299,Demo Credit Bureau,517,HIGH,PASS,2025-03-20 16:38:51,2,13,3
250,1138,,461,HIGH,Fail,2025-12-11 17:17:51,4,6,1
251,7,Compuscan,500,HIGH,Fail,2025-03-03 18:06:12,3,2,2
252,2035,Demo Credit Bureau,550,VERY_HIGH,pass,2026-02-08 14:55:09,2,11,1
253,807,,611,MEDIUM,ERROR,2026-03-10 08:58:45,2,6,0
254,186,Demo Credit Bureau,645,MEDIUM,REFER,2026-01-16 10:53:38,2,14,2
255,3067,,635,MEDIUM,FAIL,2025-12-10 21:21:50,2,0,2
256,2645,TransUnion,828,LOW,ERROR,2025-03-08 16:19:41,5,10,1
257,1613,,696,low,pass,2026-03-22 12:51:20,3,3,3
258,1081,,512,HIGH,ERROR,2025-02-21 14:00:33,2,10,2
259,2078,,728,low,pass,2026-05-02 10:12:53,,13,2
260,273,Demo Credit Bureau,618,MEDIUM,ERROR,2025-02-05 12:18:04,4,,1
261,2370,Demo Credit Bureau,,VERY_HIGH,PASS,2026-04-13 08:00:57,5,6,2
262,224,Experian,572,VERY_HIGH,FAIL,2026-02-20 20:54:53,5,14,
263,1074,Demo Credit Bureau,490,VERY_HIGH,PASS,2025-09-23 22:24:51,3,7,0
264,2516,Compuscan,491,HIGH,pass,2025-11-03 18:22:37,3,15,1
265,985,Compuscan,406,VERY_HIGH,PASS,2026-02-04 22:33:49,4,15,3
266,872,TransUnion,413,HIGH,FAIL,2025-05-19 07:42:18,,13,0
267,1585,,723,LOW,Fail,2026-05-01 11:02:38,1,8,2
268,1388,Demo Credit Bureau,831,LOW,REFER,2025-06-09 07:39:15,3,11,2
269,2022,Experian,489,HIGH,pass,2026-05-11 15:30:03,1,10,0
270,1403,Experian,557,VERY_HIGH,FAIL,2025-06-27 11:31:13,2,1,3
271,591,Experian,728,Low,REFER,2026-04-25 16:05:14,,2,0
272,2434,Experian,,low,Fail,2025-03-24 15:33:39,1,0,1
273,904,,693,Low,ERROR,2025-08-30 07:19:12,0,1,1
274,1616,,502,HIGH,ERROR,2025-05-01 13:25:17,2,0,2
275,41,,737,Low,ERROR,2025-12-02 08:03:53,2,3,1
276,2456,TransUnion,633,MEDIUM,REFER,2025-01-01 18:54:26,,,0
277,1690,Demo Credit Bureau,509,HIGH,ERROR,2025-06-06 08:12:07,2,10,1
278,1401,Compuscan,738,low,pass,2026-02-10 13:07:22,,4,1
279,1295,Demo Credit Bureau,679,low,pass,2025-02-07 10:43:11,3,2,0
280,3008,Demo Credit Bureau,753,low,PASS,2026-06-12 08:57:32,4,15,0
281,1883,TransUnion,774,Low,PASS,2025-08-09 09:02:36,1,6,0
282,2065,,625,MEDIUM,PASS,2025-03-19 11:35:55,3,5,3
283,138,Demo Credit Bureau,414,VERY_HIGH,PASS,2025-01-18 13:22:28,0,10,2
284,1475,Experian,668,Low,pass,2025-10-08 08:46:54,0,0,1
285,1806,,313,HIGH,pass,2026-01-11 16:18:03,0,10,0
286,740,,465,HIGH,pass,2025-07-14 18:09:42,5,,0
287,2303,Experian,707,low,FAIL,2025-08-06 08:50:10,1,15,1
288,69,Experian,411,VERY_HIGH,PASS,2026-03-25 20:29:01,2,13,
289,1509,Demo Credit Bureau,537,HIGH,PASS,2026-04-24 07:40:24,1,7,3
290,566,Compuscan,680,Low,REFER,2025-02-06 20:37:59,2,8,0
291,2761,Demo Credit Bureau,567,HIGH,REFER,2025-05-12 13:19:26,4,12,3
292,1877,Compuscan,543,VERY_HIGH,ERROR,2025-10-22 11:29:05,,15,3
293,962,Compuscan,771,low,REFER,2026-05-08 18:30:44,,,3
294,1987,Compuscan,806,low,pass,2025-10-17 10:15:25,1,,0
295,1574,Compuscan,764,LOW,ERROR,2025-05-19 15:35:14,3,6,1
296,2216,,400,VERY_HIGH,PASS,2025-03-17 17:01:07,5,6,0
297,1901,Experian,454,VERY_HIGH,REFER,2025-06-24 12:07:59,0,4,1
298,105,Demo Credit Bureau,362,VERY_HIGH,Fail,2025-04-18 18:11:09,0,,
299,3112,TransUnion,509,HIGH,FAIL,2025-08-15 07:08:38,2,7,3
300,2210,Experian,349,VERY_HIGH,ERROR,2025-03-06 07:09:28,3,8,0
301,89,TransUnion,406,VERY_HIGH,FAIL,2025-01-21 22:07:22,0,10,2
302,2113,Demo Credit Bureau,325,HIGH,pass,2025-12-19 22:47:58,4,3,2
303,3006,Experian,779,LOW,pass,2026-01-29 15:05:32,2,9,3
304,1791,Compuscan,,low,PASS,2025-09-02 20:20:05,4,12,0
305,384,Experian,440,VERY_HIGH,pass,2026-03-29 18:15:30,3,6,0
306,506,Compuscan,756,LOW,ERROR,2025-07-26 08:00:36,4,,2
307,671,Compuscan,474,HIGH,FAIL,2026-03-30 17:51:13,1,13,1
308,1667,Demo Credit Bureau,,MEDIUM,pass,2026-04-06 15:55:43,4,,1
309,2035,,701,Low,FAIL,2025-11-30 15:20:59,2,14,3
310,1950,Experian,771,LOW,Fail,2025-02-16 17:43:09,,9,2
311,3176,Experian,849,Low,pass,2025-04-01 08:25:09,2,5,1
312,2951,TransUnion,775,LOW,pass,2026-06-12 10:29:32,0,12,
313,2302,,503,HIGH,Fail,2025-01-28 21:46:23,2,,0
314,2980,Experian,845,low,Fail,2025-03-04 14:25:25,,,2
315,1639,Compuscan,602,MEDIUM,Fail,2025-05-30 14:23:55,2,,2
316,958,Compuscan,587,MEDIUM,ERROR,2025-10-27 12:30:34,,,
317,115,TransUnion,324,VERY_HIGH,FAIL,2025-01-14 08:49:01,3,,0
318,694,Experian,344,VERY_HIGH,ERROR,2026-01-18 14:50:20,2,2,3
319,495,Demo Credit Bureau,629,MEDIUM,Fail,2025-08-05 21:27:13,1,3,3
320,876,Compuscan,727,Low,REFER,2025-09-14 12:54:48,2,,
321,1182,Compuscan,605,MEDIUM,REFER,2025-03-23 14:13:43,4,1,0
322,2104,,,MEDIUM,REFER,2025-12-03 13:59:13,1,0,2
323,504,Compuscan,733,Low,PASS,2026-02-11 12:57:47,5,10,3
324,1211,Experian,303,VERY_HIGH,PASS,2026-05-26 14:27:48,4,9,3
325,1591,Compuscan,795,low,PASS,2025-02-01 17:46:26,5,6,1
326,3080,Compuscan,719,low,pass,2026-05-20 07:43:28,5,14,3
327,366,Compuscan,795,low,pass,2025-10-17 07:45:18,2,6,3
328,273,Demo Credit Bureau,579,HIGH,REFER,2025-06-03 18:11:02,5,,
329,3045,Experian,480,VERY_HIGH,ERROR,2026-03-27 12:58:52,2,5,3
330,2948,Demo Credit Bureau,782,LOW,Fail,2025-09-04 14:04:33,2,,1
331,1061,Compuscan,507,HIGH,ERROR,2026-03-28 08:15:43,2,11,0
332,1794,Demo Credit Bureau,465,VERY_HIGH,PASS,2025-02-08 08:16:10,3,3,3
333,1736,Compuscan,536,VERY_HIGH,Fail,2026-01-22 22:36:41,4,,3
334,1549,Compuscan,336,VERY_HIGH,Fail,2025-10-03 08:36:25,4,12,2
335,986,Demo Credit Bureau,650,Low,REFER,2025-09-06 09:51:14,2,14,2
336,616,Compuscan,830,low,PASS,2025-04-02 12:35:46,1,10,1
337,1129,Compuscan,408,VERY_HIGH,FAIL,2025-08-29 22:44:30,3,8,
338,2306,Experian,345,HIGH,FAIL,2025-12-22 13:29:34,2,6,1
339,2589,Compuscan,,Low,REFER,2025-06-19 17:18:22,1,7,3
340,2317,Compuscan,587,MEDIUM,ERROR,2025-01-07 20:43:47,,3,2
341,2746,Experian,786,LOW,PASS,2026-04-05 10:37:21,3,15,3
342,587,TransUnion,732,Low,pass,2025-10-29 21:33:47,0,7,2
343,2567,Compuscan,848,LOW,FAIL,2025-11-06 19:12:47,0,8,1
344,1543,,723,LOW,Fail,2026-04-25 12:52:25,2,15,1
