fee_charge_id,loan_id,fee_type,fee_amount_zar,fee_date,waived_flag
198,1130,Collection Fee,360.37,2025-02-06,0
199,1573,Dishonour Fee,377.85,2025-11-02,0
200,1097,Late Payment Fee,290.29,2025-01-02,0
201,1676,initiation fee,235.35,2025-12-15,0
202,463,Collection Fee,208.66,2026-05-01,0
203,1317,Collection Fee,467.0,2026-05-28,0
204,321,Dishonour Fee,250.11,2025-09-20,1
205,784,Service Fee,261.45,2026-04-02,0
206,514,Initiation Fee,432.28,2026-02-08,0
207,1199,Initiation Fee,285.01,2026-04-25,0
208,320,Service Fee,471.5,2025-08-01,0
209,1384,Collection Fee,122.98,2026-05-15,1
210,875,initiation fee,498.01,2026-03-28,1
211,1263,Collection Fee,306.74,2025-10-06,0
212,260,Service Fee,294.57,2026-03-25,1
213,67,Collection Fee,426.9,2025-09-20,0
214,973,Dishonour Fee,338.32,2025-02-19,0
215,598,initiation fee,42.78,2025-12-10,0
216,146,Initiation Fee,51.5,2025-09-12,0
217,1731,Collection Fee,320.45,2026-03-01,0
218,1345,initiation fee,413.79,2025-10-02,0
219,1498,initiation fee,107.95,2026-01-30,0
220,1456,Late Payment Fee,315.7,2025-01-06,0
221,238,SERVICE FEE,168.48,2025-12-15,0
222,792,Dishonour Fee,78.72,2025-09-26,0
223,155,Initiation Fee,389.02,2025-10-05,0
224,1114,Dishonour Fee,146.53,2025-11-27,1
225,416,SERVICE FEE,376.55,2025-05-06,0
226,463,Service Fee,199.15,2025-08-07,0
227,1630,Late Payment Fee,27.19,2025-04-23,0
228,29,Dishonour Fee,233.49,2025-06-01,1
229,1088,Late Payment Fee,485.14,2025-08-28,1
230,374,Initiation Fee,141.42,20250807,1
231,570,initiation fee,182.96,2025-07-14,0
232,1570,Collection Fee,198.58,2025-02-17,0
233,1159,Service Fee,375.85,2026-06-14,0
234,1418,Service Fee,412.68,2026-02-22,0
235,146,Service Fee,496.3,2025-04-07,0
236,117,Collection Fee,305.31,2025-07-11,0
237,33,Dishonour Fee,106.75,2025-07-12,0
238,776,Service Fee,287.57,2025-04-19,0
239,1527,Collection Fee,192.33,2026-03-04,0
240,1482,Collection Fee,157.58,2025-08-05,1
241,788,SERVICE FEE,-414.89,2025-10-10,1
242,659,initiation fee,440.08,2025-11-14,0
243,1560,SERVICE FEE,283.49,2026-03-28,0
244,1746,SERVICE FEE,405.66,10-14-2025,1
245,400,Collection Fee,401.29,2025-03-20,1
246,647,Late Payment Fee,245.53,2025-03-03,0
247,882,Dishonour Fee,109.5,2025-01-20,1
248,1318,Collection Fee,373.14,2026-02-04,0
249,128,initiation fee,78.34,2025-04-13,0
250,640,Initiation Fee,396.31,2025-06-03,0
251,100,Dishonour Fee,261.1,2026-03-25,0
252,1128,Service Fee,268.58,2026-02-08,1
253,1544,Initiation Fee,391.56,2026-04-17,0
254,461,SERVICE FEE,268.98,2025-01-23,0
255,1573,SERVICE FEE,186.38,2025-07-26,0
256,1403,Late Payment Fee,467.09,2026-03-05,1
257,961,Initiation Fee,300.43,2026-03-15,0
258,898,Initiation Fee,332.98,2026-05-22,0
259,1150,Dishonour Fee,423.93,2026-01-12,0
260,10,Dishonour Fee,48.68,05/05/2026,1
261,1302,initiation fee,109.28,2025-09-02,0
262,1158,initiation fee,416.27,2025-01-06,0
263,954,Late Payment Fee,126.96,2026-04-25,0
264,640,SERVICE FEE,51.7,2025-09-18,0
265,422,Collection Fee,497.28,2025-01-03,0
266,601,Late Payment Fee,-268.79,2026-01-17,1
267,708,Dishonour Fee,449.43,13 May 2025,1
268,586,initiation fee,224.42,2026-04-16,0
269,672,SERVICE FEE,79.96,2026-03-21,0
270,583,Service Fee,282.2,2025-01-30,0
271,1286,Late Payment Fee,167.67,2025-05-14,1
272,34,Collection Fee,48.65,2025-06-15,0
273,275,SERVICE FEE,175.49,30/07/2025,0
274,1650,SERVICE FEE,136.62,2025-03-04,0
275,910,Initiation Fee,134.02,2025-07-25,1
276,1048,Service Fee,36.97,2025-01-07,1
277,1775,SERVICE FEE,28.11,2025-12-21,1
278,294,initiation fee,228.52,2026-02-02,1
279,1441,Collection Fee,168.91,2026-03-09,0
280,328,Dishonour Fee,149.78,2025-09-20,0
281,890,initiation fee,480.8,2026-05-21,1
282,847,initiation fee,315.9,2026-05-11,0
283,1641,SERVICE FEE,422.77,2025-06-28,0
284,1027,initiation fee,29.84,2025-11-13,0
285,449,Initiation Fee,160.37,2026-02-16,0
286,1318,Initiation Fee,-204.21,20250705,0
287,574,Service Fee,48.56,03/01/2026,0
288,252,initiation fee,359.26,2026-01-23,0
289,1691,Service Fee,156.06,2026-04-22,0
290,156,Initiation Fee,406.78,2025-04-03,0
291,588,SERVICE FEE,123.28,2025-04-10,0
292,1328,Dishonour Fee,193.07,2025-08-23,0
293,1314,initiation fee,243.43,2026-02-24,1
294,164,initiation fee,129.3,2025-03-31,1
295,1131,Service Fee,373.16,2025-09-17,0
296,916,SERVICE FEE,121.34,2026-01-01,0
297,887,Late Payment Fee,490.55,2025-06-11,0
298,51,SERVICE FEE,277.8,10 Feb 2026,0
299,49,SERVICE FEE,274.08,2026-03-14,0
300,219,SERVICE FEE,,2026-05-03,0
301,1087,Late Payment Fee,430.94,2025-09-09,0
302,1580,SERVICE FEE,301.24,2025-09-08,1
303,465,initiation fee,36.94,2025-04-10,0
304,750,Collection Fee,255.01,2025-05-05,0
305,780,Late Payment Fee,136.36,20260218,0
306,757,Dishonour Fee,255.55,2025-09-09,1
307,827,SERVICE FEE,72.55,2026-03-15,0
308,1628,Service Fee,287.75,2025-12-29,0
309,1780,SERVICE FEE,450.08,2025-01-21,0
310,1079,SERVICE FEE,83.84,2026-02-01,0
311,1493,Collection Fee,444.39,2025-03-21,1
312,1405,Late Payment Fee,433.0,2026-06-12,0
313,488,Collection Fee,363.67,20260109,0
314,1233,initiation fee,229.79,2026-04-05,0
315,66,Service Fee,57.84,2025-08-19,0
316,918,Initiation Fee,390.78,2026-03-30,0
317,1288,SERVICE FEE,453.7,2026-06-11,0
318,1746,initiation fee,52.43,2026-03-14,1
319,1751,Dishonour Fee,450.74,2025-10-07,0
320,1093,Late Payment Fee,355.76,2026-05-20,0
321,1475,Service Fee,306.38,2025-01-16,0
322,1781,Dishonour Fee,70.22,2026-06-03,0
323,1571,Initiation Fee,234.98,2026-04-05,0
324,996,Service Fee,491.17,2025-08-28,1
325,1553,Late Payment Fee,270.85,2026-04-07,0
326,1130,SERVICE FEE,158.42,2025-05-08,0
327,1600,Dishonour Fee,344.52,2025-08-10,0
328,1759,Late Payment Fee,234.05,2025-09-02,0
329,1125,SERVICE FEE,214.23,2025-10-14,1
330,1507,initiation fee,111.02,2025-09-04,0
331,1580,initiation fee,241.07,2025-01-20,0
332,333,initiation fee,243.83,2025-02-25,0
333,832,Service Fee,346.81,2025-03-17,1
334,811,Service Fee,203.14,2025-10-31,0
335,69,SERVICE FEE,155.32,2025-06-10,0
336,872,Late Payment Fee,-217.69,2026-03-21,0
337,1106,SERVICE FEE,202.99,2025-09-04,0
338,421,SERVICE FEE,448.47,06-03-2025,1
339,444,Service Fee,-244.17,2025-09-15,1
340,1418,Dishonour Fee,192.0,2025-01-28,0
341,255,Service Fee,192.46,2025-12-23,1
342,1560,Late Payment Fee,497.79,2026-01-30,0
343,37,Dishonour Fee,84.77,2025-02-28,0
344,790,SERVICE FEE,52.89,2025-04-29,0
345,380,SERVICE FEE,494.45,2025-12-26,0
346,1372,Collection Fee,170.71,2026-05-29,0
347,1532,Dishonour Fee,197.37,2025-09-22,1
348,1325,Collection Fee,-288.07,2025-01-01,0
349,1742,initiation fee,116.87,2025-04-06,0
350,1374,Dishonour Fee,,25 Apr 2025,1
351,716,Collection Fee,322.76,2026-04-08,1
352,858,Dishonour Fee,62.16,2025-07-01,0
353,1206,Initiation Fee,385.17,24/03/2026,0
354,330,Late Payment Fee,211.81,2026-03-12,0
355,1736,SERVICE FEE,,2025-03-03,0
356,583,Collection Fee,429.59,2026-03-19,1
357,412,Initiation Fee,462.11,2025-01-30,0
358,395,Late Payment Fee,140.1,2026-03-31,0
359,276,SERVICE FEE,113.19,2025-08-12,0
360,526,SERVICE FEE,105.15,2025-08-13,1
361,717,initiation fee,26.17,2026-05-21,0
362,1502,initiation fee,57.08,2025-05-28,0
363,206,Late Payment Fee,207.78,2025-10-23,0
364,1104,SERVICE FEE,329.22,2026-02-24,0
365,96,Dishonour Fee,443.89,2026-04-08,0
366,1456,Initiation Fee,328.14,2025-08-07,0
367,322,SERVICE FEE,171.52,2025-11-24,0
368,1056,Dishonour Fee,367.9,2026-02-20,1
369,383,Late Payment Fee,144.63,2026-03-19,0
370,481,SERVICE FEE,,2026-04-18,0
371,631,Dishonour Fee,485.58,2025-11-11,0
372,469,SERVICE FEE,313.76,2025-06-14,1
373,1655,Late Payment Fee,179.56,2025-05-25,0
374,1122,Initiation Fee,216.94,2025-12-19,1
375,1702,Service Fee,162.87,2025-03-06,0
376,992,Collection Fee,56.33,2025-10-07,0
377,561,Initiation Fee,144.83,2026-04-29,0
378,1256,Late Payment Fee,271.76,2026-01-24,0
379,698,SERVICE FEE,-190.63,2025-01-08,1
380,181,Collection Fee,218.78,2025-07-23,0
381,1759,initiation fee,298.91,2025-06-03,1
382,468,Initiation Fee,91.69,2025-11-21,0
383,1661,initiation fee,295.76,06-28-2025,0
384,719,Dishonour Fee,166.3,03-11-2026,0
385,999,SERVICE FEE,298.06,2025-07-28,1
386,277,SERVICE FEE,288.94,2026-05-02,0
387,1544,Collection Fee,181.81,2025-01-04,0
388,1586,Late Payment Fee,331.83,2026-06-16,1
389,870,Dishonour Fee,456.5,2025-05-18,1
390,543,Collection Fee,311.32,2025-07-16,0
391,896,Dishonour Fee,87.52,2025-06-17,0
392,32,Service Fee,,2026-02-02,0
393,1266,SERVICE FEE,292.23,07-18-2025,0
394,979,initiation fee,442.18,2025-03-11,0
395,1659,Initiation Fee,348.41,2025-04-15,0
396,135,SERVICE FEE,159.01,2026-05-02,1
397,261,Dishonour Fee,317.9,2025-02-13,0
398,1123,SERVICE FEE,154.83,2026-06-05,0
399,546,Dishonour Fee,138.14,20250619,0
400,707,Late Payment Fee,330.65,2025-10-13,0
401,691,Late Payment Fee,144.1,2025-04-05,0
402,1706,SERVICE FEE,135.04,2025-11-08,0
403,795,Dishonour Fee,398.0,2026-04-24,0
404,453,SERVICE FEE,202.82,2026-02-14,0
405,120,Initiation Fee,272.97,03/05/2026,0
406,503,SERVICE FEE,122.23,2026-04-08,0
407,1471,Dishonour Fee,27.54,2025-04-16,0
408,1054,initiation fee,288.52,2026-02-27,0
409,107,Late Payment Fee,330.27,20251118,0
410,1425,Dishonour Fee,69.86,2025-03-25,0
411,53,Initiation Fee,235.37,2026-02-03,0
412,1603,Late Payment Fee,416.45,2026-03-15,0
413,1018,SERVICE FEE,164.64,28 Oct 2025,0
414,1640,Service Fee,432.27,20250408,0
415,1395,Collection Fee,337.68,2025-08-11,0
416,1070,Initiation Fee,397.09,2025-01-08,0
417,1045,Initiation Fee,108.79,2025-01-09,1
418,610,Initiation Fee,90.92,2026-04-29,0
419,1339,SERVICE FEE,130.33,11-07-2025,0
420,512,Collection Fee,160.9,2026-05-01,1
421,280,Initiation Fee,414.56,2025-03-01,1
422,1393,Service Fee,434.46,2025-10-02,0
423,1567,Initiation Fee,70.99,2025-09-23,0
424,594,Dishonour Fee,91.58,12/06/2025,0
425,349,Late Payment Fee,98.39,2026-05-11,0
426,1590,Late Payment Fee,185.26,2025-10-08,0
427,1687,SERVICE FEE,172.66,2025-02-18,1
428,1164,Dishonour Fee,220.43,2025-08-12,0
429,191,Collection Fee,133.37,2025-01-14,0
430,878,Dishonour Fee,486.16,14/06/2026,1
431,1414,initiation fee,213.27,2025-02-28,0
432,917,initiation fee,441.36,2025-04-18,1
433,184,Collection Fee,49.83,2025-06-17,0
434,1232,Collection Fee,346.69,2025-12-15,1
435,192,Late Payment Fee,132.72,2025-10-01,1
436,643,Dishonour Fee,196.09,2026-01-17,0
437,1369,SERVICE FEE,121.65,2025-05-09,0
438,1477,Late Payment Fee,185.89,20260329,0
439,691,Late Payment Fee,31.43,2025-09-22,0
440,346,Service Fee,85.07,2025-01-25,0
441,1505,Late Payment Fee,34.72,2025-11-12,0
442,1161,initiation fee,295.08,2025-04-22,0
443,1695,Dishonour Fee,72.64,25 Apr 2025,1
444,210,Dishonour Fee,81.73,02-26-2026,0
445,231,Initiation Fee,344.03,2026-05-29,1
446,1387,Collection Fee,128.03,2025-04-11,0
447,530,Service Fee,440.21,2025-05-01,0
448,1590,initiation fee,463.31,2025-09-12,0
449,1229,SERVICE FEE,300.48,2026-01-24,0
450,1325,Collection Fee,347.96,2026-05-07,0
451,637,Collection Fee,149.5,2025-08-23,0
452,665,Dishonour Fee,64.35,2025-01-17,0
453,1064,Initiation Fee,375.89,2025-09-11,0
454,1573,Initiation Fee,364.78,2025-10-16,0
455,1348,Initiation Fee,236.96,2025-03-19,1
456,768,Collection Fee,381.18,2025-02-22,0
457,52,Dishonour Fee,183.99,2025-11-17,0
458,343,SERVICE FEE,,2025-01-11,0
459,708,Dishonour Fee,103.31,2025-07-22,1
460,1186,Collection Fee,410.13,2025-01-11,0
461,888,initiation fee,418.54,2026-04-12,1
462,1523,Dishonour Fee,420.0,2026-04-16,0
463,1449,Service Fee,64.2,2026-02-24,0
464,368,SERVICE FEE,243.72,2025-10-27,0
465,1471,Initiation Fee,26.85,2025-09-25,0
466,1396,SERVICE FEE,,2025-01-01,1
467,1276,initiation fee,184.66,2025-02-15,0
468,438,SERVICE FEE,167.34,2025-01-08,1
469,1169,Initiation Fee,322.35,2025-05-20,0
470,490,SERVICE FEE,88.5,2025-01-30,0
471,1093,Dishonour Fee,144.72,2025-02-20,0
472,1648,Service Fee,180.31,2025-07-25,0
473,1263,Collection Fee,409.5,2025-04-05,0
474,31,Service Fee,61.52,2026-03-23,0
475,1304,Collection Fee,183.59,2025-11-20,1
476,279,initiation fee,127.04,2025-04-09,0
477,969,SERVICE FEE,437.15,2025-03-26,0
478,1272,Service Fee,379.95,2025-10-31,0
479,669,Service Fee,302.78,2025-04-04,0
480,629,Dishonour Fee,448.27,2026-04-21,1
481,487,Initiation Fee,48.12,2026-03-26,1
482,1761,Dishonour Fee,313.48,2025-03-17,0
483,1096,Collection Fee,156.26,2026-06-14,0
484,1265,Service Fee,431.77,2025-08-12,0
485,215,Collection Fee,252.38,2026-04-24,0
486,1389,Late Payment Fee,185.15,2025-07-25,0
487,570,Service Fee,462.16,2025-01-24,0
488,1614,Dishonour Fee,119.15,2025-04-24,0
489,1054,initiation fee,324.23,2025-03-31,1
490,383,initiation fee,286.7,2025-07-27,0
491,57,initiation fee,460.07,2025-04-03,0
492,1486,Late Payment Fee,-148.24,2025-06-18,0
493,150,Late Payment Fee,,2025-03-08,1
494,693,SERVICE FEE,267.17,2026-04-08,0
495,1589,initiation fee,458.13,2026-01-21,1
496,1642,Initiation Fee,174.11,2026-05-11,0
497,1436,Initiation Fee,285.84,2026-04-11,1
498,898,SERVICE FEE,134.41,2025-02-01,0
499,67,Collection Fee,94.03,2025-11-29,1
500,993,Dishonour Fee,311.63,2025-11-23,1
501,523,Collection Fee,380.09,2025-09-16,1
502,1648,SERVICE FEE,358.92,2025-11-03,0
503,1724,Service Fee,335.41,2026-04-14,1
504,1139,Collection Fee,408.56,2026-04-23,0
505,1259,Service Fee,144.82,2025-04-11,0
506,1608,Collection Fee,248.65,2025-09-15,0
507,1439,Initiation Fee,211.82,2026-01-08,1
508,967,SERVICE FEE,372.86,2025-06-07,0
509,1564,Collection Fee,416.37,2025-03-23,0
510,1109,SERVICE FEE,451.12,2025-10-30,0
511,1437,Initiation Fee,88.59,2026-04-05,0
512,1579,Initiation Fee,289.93,2026-05-03,0
513,1016,initiation fee,278.5,16 Jun 2026,1
514,520,initiation fee,439.24,12-22-2025,0
515,1646,Late Payment Fee,475.8,2025-03-25,0
516,1091,Dishonour Fee,42.36,2025-03-26,0
517,409,initiation fee,144.64,2025-02-07,0
518,1762,Collection Fee,-171.85,2026-04-14,1
519,269,Late Payment Fee,73.44,2025-06-02,1
520,1155,SERVICE FEE,321.33,2025-10-09,0
521,714,Service Fee,290.07,2025-10-08,0
522,1088,Collection Fee,136.25,2025-12-12,0
523,154,initiation fee,429.86,2026-01-08,0
524,370,initiation fee,,2026-04-01,0
525,1219,Service Fee,137.58,2026-01-19,0
526,1340,Initiation Fee,376.94,2025-02-09,0
527,1377,Initiation Fee,376.79,2025-02-25,0
528,933,Dishonour Fee,366.92,2025-02-04,1
529,1057,Service Fee,406.95,2026-03-13,0
530,648,Dishonour Fee,309.57,2025-08-07,0
531,1407,initiation fee,36.88,2026-01-14,0
532,1556,initiation fee,424.25,2025-07-18,1
533,395,Dishonour Fee,492.86,2025-05-12,1
534,1362,Dishonour Fee,479.68,2025-03-21,1
535,1402,Late Payment Fee,172.06,2025-09-28,1
536,182,Late Payment Fee,265.98,2025-10-22,0
537,1345,Late Payment Fee,431.81,2026-04-03,1
538,753,initiation fee,335.07,2026-03-18,1
539,59,Dishonour Fee,94.02,2025-01-26,0
540,1660,SERVICE FEE,163.82,2026-05-16,1
541,1221,SERVICE FEE,490.77,2025-05-26,0
542,1543,initiation fee,455.34,2025-10-20,0
543,910,Initiation Fee,272.47,09-10-2025,0
544,304,initiation fee,298.62,2025-10-01,0
545,847,Initiation Fee,305.31,15/09/2025,1
546,1666,Collection Fee,267.54,2026-02-26,0
547,335,Late Payment Fee,116.32,2025-09-24,0
548,174,initiation fee,379.52,2026-01-03,1
549,16,Service Fee,283.77,2025-09-26,0
550,447,Initiation Fee,-206.47,2026-04-21,0
551,363,initiation fee,346.34,08/06/2026,0
552,70,SERVICE FEE,342.25,2025-06-12,0
