loan_id,application_id,customer_id,contract_number,principal_amount_zar,term_months,disbursed_amount_zar,total_repayable_zar,disbursement_date,loan_status,nca_compliant_flag,interest_rate_pct
23,1108,1283,FAST-20250417-00023,11632.12,1,11331.24,14493.05,2025-04-17,ARREARS,1,3.6896
24,1744,1741,FAST-20250826-00024,4995.65,6,4942.48,6284.7,2025-08-26,ACTIVE,1,3.7828
25,2158,363,FAST-20250101-00025,4783.63,1,4557.94,5763.36,2025-01-01,CANCELLED,0,3.9473
26,2459,700,FAST-20260316-00026,3164.9,4,3079.05,3799.78,16/03/2026,settled,0,4.9807
27,291,1700,FAST-20251004-00027,7729.58,3,7398.34,9506.45,2025-10-04,ACTIVE,1,4.2375
28,1932,219,FAST-20260331-00028,481.41,1,476.09,584.78,2026-03-31,ACTIVE,1,3.8882
29,1698,1628,FAST-20250727-00029,4841.64,2,4675.79,5982.59,2025-07-27,ACTIVE,1,4.878
30,1812,1969,FAST-20250628-00030,1475.79,3,1418.27,1848.31,2025-06-28,SETTLED,1,4.6765
31,2608,667,FAST-20260322-00031,11469.67,4,10919.15,14296.81,2026-03-22,WRITTEN_OFF,0,4.4422
32,939,804,FAST-20250521-00032,14347.27,4,14224.38,18354.71,2025-05-21,WRITTEN_OFF,1,4.2723
33,150,31,FAST-20251022-00033,1941.59,1,1846.72,2319.42,2025-10-22,settled,1,3.1694
34,678,1415,FAST-20250719-00034,9628.72,4,9530.59,11515.32,07-19-2025,settled,1,4.173
35,199,1257,FAST-20250205-00035,7752.9,4,7508.28,9729.26,2025-02-05,CANCELLED,1,3.7431
36,2638,930,FAST-20250806-00036,11839.93,1,11473.64,15124.46,2025-08-06,SETTLED,1,4.766
37,47,114,FAST-20250705-00037,7735.87,4,7458.66,9611.51,2025-07-05,SETTLED,0,4.5417
38,1144,1811,FAST-20250811-00038,1491.79,6,1425.12,1774.71,2025-08-11,active,0,4.2179
39,1344,824,FAST-20250927-00039,3170.12,3,3058.38,3823.31,2025-09-27,CANCELLED,1,3.5242
40,973,1216,FAST-20251021-00040,477.15,6,460.38,563.46,2025-10-21,ACTIVE,0,4.1733
41,2273,1181,FAST-20250821-00041,7684.19,6,7598.75,9493.62,2025-08-21,Active,1,4.3772
42,149,368,FAST-20260111-00042,4829.18,4,4645.58,5946.74,2026-01-11,WRITTEN_OFF,1,3.1046
43,1923,1723,FAST-20250328-00043,7960.6,6,7771.66,9454.08,2025-03-28,CANCELLED,0,4.2738
44,2854,767,FAST-20250325-00044,7721.41,6,7513.44,9310.47,2025-03-25,SETTLED,1,3.8925
45,2573,836,FAST-20250620-00045,4982.44,5,4846.65,5971.59,2025-06-20,ACTIVE,1,3.5922
46,2484,39,FAST-20251123-00046,11692.48,5,11302.86,14442.65,2025-11-23,SETTLED,1,3.1536
47,3048,715,FAST-20260527-00047,3270.73,2,3149.95,3893.3,2026-05-27,Active,1,3.8474
48,1384,1737,FAST-20251101-00048,11664.99,6,11211.48,13850.9,2025-11-01,ARREARS,1,4.5238
49,1136,947,FAST-20250927-00049,476.3,3,472.74,564.67,2025-09-27,SETTLED,1,4.4386
50,1279,307,FAST-20250121-00050,9961.97,4,9866.98,12030.11,2025-01-21,settled,1,4.9591
51,732,1613,FAST-20250705-00051,3142.83,4,3100.04,3793.59,2025-07-05,ARREARS,1,3.598
52,2418,114,FAST-20251017-00052,1930.08,3,1879.95,2302.76,2025-10-17,SETTLED,1,
53,250,679,FAST-20250423-00053,475.33,3,471.03,606.51,2025-04-23,WRITTEN_OFF,1,4.9549
54,2833,1928,FAST-20250613-00054,14471.32,3,14137.76,17661.3,2025-06-13,Active,1,3.6963
55,1074,292,FAST-20250513-00055,4903.49,5,4752.64,6081.35,2025-05-13,ACTIVE,1,4.7734
56,2501,324,FAST-20250131-00056,3167.37,3,3135.01,3850.47,2025-01-31,WRITTEN_OFF,1,4.2528
57,1413,534,FAST-20250617-00057,3295.74,4,3207.66,4082.72,2025-06-17,WRITTEN_OFF,1,3.8843
58,1627,1088,FAST-20251225-00058,957.38,4,928.96,1161.45,2025-12-25,active,1,4.0549
59,2635,892,FAST-20250310-00059,11648.22,5,11360.72,13816.33,2025-03-10,SETTLED,1,3.1931
60,811,802,FAST-20251231-00060,11581.32,1,11305.15,13883.18,2025-12-31,Active,0,4.6258
61,996,1454,FAST-20251104-00061,11835.59,3,11823.81,14404.77,2025-11-04,CANCELLED,0,3.2767
62,2422,311,FAST-20260126-00062,1921.0,5,1895.95,2275.86,26 Jan 2026,CANCELLED,0,3.4097
63,2141,1997,FAST-20250422-00063,989.69,3,952.63,1186.93,2025-04-22,Active,1,4.1773
64,790,1907,FAST-20250225-00064,4853.5,5,4797.34,5942.22,2025-02-25,WRITTEN_OFF,0,3.7552
65,495,233,FAST-20251216-00065,492.73,1,476.17,614.36,2025-12-16,CANCELLED,1,3.2541
66,2407,1836,FAST-20250410-00066,497.05,5,485.38,606.93,2025-04-10,CANCELLED,0,4.1186
67,2120,192,FAST-20250203-00067,487.14,1,474.5,576.16,2025-02-03,SETTLED,1,3.8243
68,151,1487,FAST-20250807-00068,3219.67,2,3163.65,3832.82,2025-08-07,settled,1,3.7911
69,3089,201,FAST-20250314-00069,4980.0,2,4947.89,6298.82,2025-03-14,active,0,4.0388
70,2093,1070,FAST-20260417-00070,490.89,3,488.55,605.45,20260417,CANCELLED,0,
71,2252,1111,FAST-20251113-00071,4907.34,1,4768.22,6053.85,2025-11-13,ACTIVE,0,3.0343
72,838,513,FAST-20251113-00072,9556.21,3,9487.09,11803.67,2025-11-13,SETTLED,0,3.9502
73,568,1659,FAST-20260408-00073,11942.25,1,11450.31,14540.58,2026-04-08,active,1,4.7621
74,957,1303,FAST-20250824-00074,11675.47,5,11605.49,14585.81,2025-08-24,ACTIVE,1,3.7076
75,2682,1996,FAST-20260314-00075,9840.01,2,9405.9,12081.93,2026-03-14,SETTLED,1,3.0691
76,2412,81,FAST-20260314-00076,9818.92,6,9535.55,11971.97,2026-03-14,settled,1,4.1372
77,1442,1782,FAST-20250914-00077,1966.56,1,1873.37,2427.5,2025-09-14,SETTLED,1,4.3319
78,2351,1668,FAST-20250218-00078,11830.11,5,11816.61,14781.34,2025-02-18,SETTLED,1,
79,2583,579,FAST-20260302-00079,1987.0,5,1966.16,2437.36,03-02-2026,CANCELLED,0,
80,2895,1352,FAST-20251018-00080,954.27,2,915.55,,2025-10-18,ARREARS,0,
81,2588,480,FAST-20251018-00081,4778.48,6,4625.32,5850.07,2025-10-18,Active,1,3.1853
82,469,162,FAST-20251008-00082,14610.5,6,14114.2,17630.25,2025-10-08,settled,1,3.2269
83,2053,688,FAST-20250724-00083,11945.2,5,11796.19,14332.42,2025-07-24,active,0,3.4148
84,218,1462,FAST-20250617-00084,4759.18,4,4589.78,5993.67,2025-06-17,WRITTEN_OFF,0,4.7823
85,212,859,FAST-20250731-00085,482.72,3,474.36,610.58,2025-07-31,active,1,3.8844
86,2116,1195,FAST-20250916-00086,496.38,5,492.18,586.25,09-16-2025,Active,0,4.0605
87,500,1153,FAST-20250616-00087,4987.43,2,4818.61,6111.55,2025-06-16,settled,0,4.0273
88,2155,1311,FAST-20250609-00088,959.42,1,912.61,1187.89,2025-06-09,active,1,4.3475
89,2974,37,FAST-20250222-00089,1923.59,2,1918.31,2349.06,2025-02-22,WRITTEN_OFF,1,3.6819
90,2657,1318,FAST-20260120-00090,9674.93,5,9429.83,12195.09,2026-01-20,WRITTEN_OFF,1,3.5367
91,223,1306,FAST-20260206-00091,1951.78,5,1941.51,2377.63,2026-02-06,ARREARS,1,3.1862
92,2679,1367,FAST-20250504-00092,9897.67,3,9468.88,11876.67,2025-05-04,active,1,4.1502
93,2460,1820,FAST-20250627-00093,4904.36,5,4887.34,6099.54,2025-06-27,SETTLED,1,4.7359
94,2099,750,FAST-20251221-00094,1437.2,2,1393.15,1817.03,2025-12-21,ARREARS,1,3.4136
95,1879,1817,FAST-20250121-00095,7898.57,2,7542.14,9509.36,2025-01-21,WRITTEN_OFF,1,4.4616
96,2745,641,FAST-20260612-00096,1491.61,4,1468.66,1858.64,20260612,Active,1,3.5785
97,2804,735,FAST-20260611-00097,3185.65,1,3107.07,3821.61,2026-06-11,CANCELLED,1,3.849
98,2477,1275,FAST-20251109-00098,3149.92,4,3128.25,3835.55,2025-11-09,CANCELLED,1,3.4581
99,2791,1306,FAST-20250715-00099,9509.23,3,9291.48,11851.64,2025-07-15,active,1,3.6991
100,2791,521,FAST-20250801-00100,7644.28,4,7368.33,9255.5,2025-08-01,Active,0,
101,728,1510,FAST-20250717-00101,11964.13,1,11879.13,15121.27,2025-07-17,Active,1,4.3878
102,3071,1334,FAST-20250507-00102,3241.89,6,3133.98,3894.13,2025-05-07,SETTLED,1,4.961
103,2721,92,FAST-20250115-00103,4842.83,1,4615.96,5829.04,2025-01-15,Active,1,3.6987
104,97,94,FAST-20250803-00104,-974.12,2,930.0,1234.52,2025-08-03,CANCELLED,1,4.6509
105,185,1980,FAST-20250211-00105,483.24,2,478.35,616.52,2025-02-11,active,1,3.2175
106,797,885,FAST-20260126-00106,481.27,1,465.41,579.75,2026-01-26,ACTIVE,1,3.7202
107,2661,410,FAST-20250310-00107,7822.25,3,7762.97,9756.36,2025-03-10,WRITTEN_OFF,1,3.0075
108,1317,1649,FAST-20260111-00108,3217.1,4,3197.83,4110.26,2026-01-11,settled,0,4.1662
109,179,676,FAST-20250430-00109,11418.5,4,11045.27,13957.74,2025-04-30,ARREARS,0,4.4829
110,2115,479,FAST-20260104-00110,11626.53,1,11348.98,14250.57,2026-01-04,settled,1,3.4589
111,1746,997,FAST-20260210-00111,3255.52,2,3182.66,3896.07,2026-02-10,SETTLED,0,4.4396
112,3195,1289,FAST-20251009-00112,1967.78,4,1898.16,2459.58,2025-10-09,SETTLED,0,4.354
113,2538,253,FAST-20250304-00113,3256.76,3,3244.2,3895.18,2025-03-04,active,1,4.0136
114,2451,1416,FAST-20260217-00114,7791.93,2,7697.88,9587.38,2026-02-17,ACTIVE,1,3.8584
115,1152,337,FAST-20251026-00115,496.24,6,472.15,615.52,26/10/2025,ARREARS,0,4.6776
116,1173,1585,FAST-20251112-00116,498.83,5,474.08,626.69,2025-11-12,CANCELLED,0,4.2732
117,1336,1644,FAST-20250305-00117,14814.14,6,14601.56,17622.88,2025-03-05,settled,1,3.4928
118,2975,273,FAST-20250131-00118,476.36,2,470.56,595.54,2025-01-31,CANCELLED,1,4.623
119,3026,1501,FAST-20250225-00119,11505.26,3,11392.05,14029.52,2025-02-25,ACTIVE,1,4.736
120,1176,848,FAST-20250521-00120,977.47,2,962.59,1195.18,2025-05-21,ARREARS,0,4.2637
121,2717,1663,FAST-20250804-00121,9937.25,1,9780.81,11831.42,2025-08-04,ACTIVE,1,4.6915
122,1166,1730,FAST-20250302-00122,9738.31,4,9632.1,12408.3,2025-03-02,CANCELLED,1,3.249
123,760,1187,FAST-20250613-00123,490.71,5,481.16,579.76,13 Jun 2025,CANCELLED,1,4.7153
124,1753,268,FAST-20250224-00124,488.37,4,480.88,580.25,2025-02-24,settled,1,4.9286
125,2947,650,FAST-20250705-00125,1485.7,4,1465.27,1898.31,2025-07-05,settled,0,4.8618
126,2850,1664,FAST-20251211-00126,4863.75,5,4848.21,5899.73,2025-12-11,settled,1,4.305
127,2838,1291,FAST-20251126-00127,3150.28,2,3083.09,4006.26,2025-11-26,SETTLED,1,4.5069
128,1867,1168,FAST-20260325-00128,1930.0,5,1879.74,2429.26,03-25-2026,ARREARS,1,4.4509
129,759,194,FAST-20260112-00129,497.17,4,493.08,590.64,2026-01-12,settled,0,4.1308
130,1406,1405,FAST-20260416-00130,3188.58,1,3149.28,4053.43,2026-04-16,ACTIVE,0,4.7889
131,2728,516,FAST-20250324-00131,977.01,6,973.41,1167.59,2025-03-24,settled,0,4.9318
132,2832,489,FAST-20251016-00132,11734.88,3,11304.1,14140.82,2025-10-16,WRITTEN_OFF,0,3.0542
133,3107,1514,FAST-20250306-00133,9943.58,4,9616.03,,2025-03-06,Active,1,4.4539
134,1954,1410,FAST-20250419-00134,1455.33,3,1443.59,1797.12,2025-04-19,ARREARS,1,4.1314
135,507,1833,FAST-20250508-00135,3183.23,1,3146.68,3938.16,2025-05-08,WRITTEN_OFF,1,4.803
136,2906,710,FAST-20250319-00136,4943.7,5,4836.17,5839.48,2025-03-19,active,1,3.3814
137,2400,1212,FAST-20260322-00137,9633.13,2,9304.93,11849.14,2026-03-22,Active,0,4.4869
138,290,975,FAST-20251211-00138,9993.41,1,9664.17,12303.03,2025-12-11,CANCELLED,1,3.7956
139,2090,1475,FAST-20260203-00139,488.98,5,486.72,624.22,2026-02-03,active,1,3.1863
140,265,494,FAST-20250616-00140,484.16,5,478.45,604.17,2025-06-16,Active,1,3.1786
141,448,1054,FAST-20250403-00141,9558.61,3,9528.45,12006.49,2025-04-03,ACTIVE,1,3.4539
142,3054,1996,FAST-20260206-00142,972.25,6,926.91,1187.15,2026-02-06,SETTLED,1,3.0406
143,442,919,FAST-20250402-00143,485.36,3,478.44,587.23,2025-04-02,active,1,3.8537
144,647,1311,FAST-20250125-00144,9670.35,3,9656.98,11916.77,2025-01-25,Active,0,3.907
145,2617,982,FAST-20260321-00145,7957.08,3,7729.43,10163.8,2026-03-21,SETTLED,0,3.5977
146,338,599,FAST-20250803-00146,1427.87,4,1402.96,1814.89,08-03-2025,Active,0,4.4212
147,2479,1208,FAST-20250627-00147,475.13,1,466.36,603.18,2025-06-27,Active,1,3.9424
148,1722,1550,FAST-20250409-00148,1457.71,1,1427.52,1860.55,2025-04-09,active,1,3.6748
149,2389,1054,FAST-20250417-00149,4761.87,1,,6035.3,2025-04-17,ACTIVE,1,3.4748
150,2215,772,FAST-20251019-00150,496.01,3,474.97,614.41,2025-10-19,SETTLED,1,4.4532
151,568,271,FAST-20260611-00151,989.73,3,975.03,1257.22,06-11-2026,Active,0,3.0406
152,8,877,FAST-20260213-00152,11957.62,5,11889.29,14740.06,2026-02-13,CANCELLED,1,4.7744
153,2014,161,FAST-20250124-00153,11808.64,5,11755.26,14289.06,2025-01-24,active,1,4.9533
154,1015,1180,FAST-20250112-00154,4943.39,4,4820.12,5856.22,2025-01-12,ARREARS,0,3.089
155,2357,583,FAST-20250820-00155,1952.44,1,1910.75,2445.91,20 Aug 2025,active,0,3.0792
156,971,245,FAST-20260325-00156,9859.82,4,9732.96,12065.52,2026-03-25,active,1,4.3995
157,1095,848,FAST-20250207-00157,3249.31,2,3227.6,3867.07,2025-02-07,SETTLED,0,4.5285
158,2740,1277,FAST-20260409-00158,1906.77,3,1818.53,2270.39,2026-04-09,active,0,3.3963
159,2448,1375,FAST-20260605-00159,14270.32,1,13663.97,18171.3,2026-06-05,CANCELLED,1,4.2471
160,3023,1638,FAST-20250613-00160,1957.87,4,1860.2,2419.9,2025-06-13,settled,1,3.178
161,320,1716,FAST-20250319-00161,11581.36,2,11410.1,14019.56,2025-03-19,SETTLED,1,3.4738
162,746,686,FAST-20260306-00162,4803.77,2,4610.35,6024.77,2026-03-06,Active,1,3.727
163,2355,1657,FAST-20260606-00163,11920.61,6,11896.62,14904.88,2026-06-06,Active,0,4.4653
164,2540,681,FAST-20260513-00164,4929.06,1,4834.97,6021.65,2026-05-13,SETTLED,1,4.6201
165,1170,1483,FAST-20250313-00165,3281.91,6,3214.2,4161.84,2025-03-13,ARREARS,1,
166,508,108,FAST-20260413-00166,7971.96,5,7904.55,9703.34,2026-04-13,SETTLED,0,3.0554
167,1523,889,FAST-20250806-00167,3273.62,4,3202.89,4050.69,2025-08-06,active,1,3.5568
168,1906,1048,FAST-20250525-00168,-14994.82,5,14270.8,18787.16,2025-05-25,ARREARS,1,4.5962
169,314,344,FAST-20250113-00169,14346.75,6,13729.4,17809.46,2025-01-13,ACTIVE,1,4.8816
170,2617,1212,FAST-20260425-00170,11707.88,6,11609.08,14531.65,2026-04-25,settled,1,3.8548
171,2780,1727,FAST-20260406-00171,476.72,3,453.43,589.2,2026-04-06,CANCELLED,0,
172,2610,88,FAST-20250218-00172,1475.74,5,1433.46,1832.26,2025-02-18,settled,0,4.9011
173,1261,950,FAST-20250108-00173,11579.02,6,11518.64,14792.98,2025-01-08,settled,1,3.1178
174,2002,795,FAST-20250708-00174,3244.45,5,3173.81,4062.11,07-08-2025,Active,1,
175,2646,394,FAST-20250618-00175,987.62,2,987.11,1178.48,2025-06-18,ACTIVE,1,4.6697
176,5,685,FAST-20250302-00176,487.79,1,484.77,623.31,2025-03-02,CANCELLED,1,3.6936
177,2842,630,FAST-20250804-00177,7934.27,5,7678.93,9860.3,08-04-2025,active,1,3.7824
178,3071,1357,FAST-20250315-00178,9828.31,3,9754.11,11648.19,2025-03-15,Active,1,4.0949
179,128,1680,FAST-20250709-00179,1956.2,1,1912.36,2398.8,2025-07-09,SETTLED,0,3.3129
180,2237,527,FAST-20250720-00180,11479.18,4,10993.45,14187.97,2025-07-20,active,1,3.8845
181,829,1264,FAST-20250718-00181,11822.18,6,11361.78,14950.45,2025-07-18,active,0,4.7899
182,1916,527,FAST-20250926-00182,1926.75,1,1906.47,2391.55,2025-09-26,SETTLED,1,3.446
183,324,770,FAST-20260507-00183,11715.69,1,11274.29,14543.27,2026-05-07,CANCELLED,0,
184,1690,144,FAST-20260327-00184,7849.29,6,7626.15,9836.93,2026-03-27,settled,1,3.871
185,579,1884,FAST-20250527-00185,3259.31,6,3163.61,4126.06,2025-05-27,active,1,3.9988
186,2225,1955,FAST-20260413-00186,1477.11,4,1460.24,1765.0,2026-04-13,ACTIVE,1,3.6785
187,2385,24,FAST-20251119-00187,992.77,4,963.67,1247.34,2025-11-19,ARREARS,1,4.5114
188,2964,204,FAST-20250908-00188,14676.29,3,14357.91,18783.91,2025-09-08,Active,1,3.5669
189,2992,332,FAST-20250114-00189,7816.52,5,7567.97,9503.34,01-14-2025,CANCELLED,1,3.3358
190,895,1810,FAST-20251017-00190,3223.05,2,3162.26,3852.26,17/10/2025,Active,0,
191,1439,1647,FAST-20250215-00191,4895.9,3,4821.83,6232.89,20250215,active,1,4.6779
192,1150,1290,FAST-20250727-00192,11478.23,1,11065.32,13891.25,2025-07-27,active,1,4.5105
193,2864,124,FAST-20250324-00193,1904.66,6,,2259.55,2025-03-24,ACTIVE,0,3.9203
194,1642,523,FAST-20250302-00194,1911.28,5,1867.1,2257.58,2025-03-02,active,1,4.6664
195,2932,1343,FAST-20260214-00195,953.96,3,913.08,1145.58,14/02/2026,ARREARS,1,3.5779
196,1519,366,FAST-20250815-00196,9780.9,3,9480.06,12432.26,2025-08-15,ACTIVE,1,4.0155
197,1914,1920,FAST-20250811-00197,7618.1,5,7591.67,9465.87,2025-08-11,ACTIVE,1,3.1284
198,583,1750,FAST-20260412-00198,9582.7,2,9552.98,11682.75,2026-04-12,Active,1,4.4705
199,402,805,FAST-20260604-00199,3218.38,6,3113.51,3901.9,2026-06-04,WRITTEN_OFF,0,3.3887
200,1698,1516,FAST-20251205-00200,11727.99,5,11144.78,14659.79,2025-12-05,active,1,3.2782
201,824,846,FAST-20250705-00201,1972.98,4,1914.39,2494.21,2025-07-05,Active,1,4.0515
202,867,1455,FAST-20260207-00202,4855.29,4,4739.05,5905.59,2026-02-07,CANCELLED,0,4.6646
203,150,1310,FAST-20250509-00203,7729.43,4,7595.93,9832.02,2025-05-09,SETTLED,1,4.1254
204,2572,114,FAST-20250914-00204,14833.98,6,14667.57,18120.81,2025-09-14,ARREARS,1,3.923
205,1915,964,FAST-20260529-00205,488.68,2,481.52,617.08,2026-05-29,active,1,3.5371
206,2403,834,FAST-20260401-00206,966.98,1,958.54,1175.7,2026-04-01,ARREARS,1,
207,394,181,FAST-20251202-00207,11922.39,5,11802.02,14820.66,2025-12-02,settled,0,3.2101
208,456,1379,FAST-20250416-00208,4994.7,1,4753.91,5948.74,2025-04-16,CANCELLED,1,4.6945
209,1726,507,FAST-20250416-00209,1474.76,5,1406.56,1773.84,2025-04-16,ARREARS,1,4.9711
210,2268,1750,FAST-20251226-00210,3209.34,6,3082.36,3900.39,2025-12-26,active,1,4.0119
211,2999,1451,FAST-20250124-00211,9564.88,5,9482.25,11817.24,2025-01-24,SETTLED,1,3.7553
212,2169,296,FAST-20250606-00212,-7766.26,3,7722.29,9432.6,2025-06-06,CANCELLED,1,3.7746
213,1602,1677,FAST-20250604-00213,7776.52,6,7561.67,9416.21,2025-06-04,active,1,3.1454
214,1528,54,FAST-20260214-00214,14738.32,4,14230.81,17911.65,14 Feb 2026,ARREARS,1,4.0446
215,1838,210,FAST-20250717-00215,1492.6,4,1445.03,1904.11,2025-07-17,settled,1,3.9362
216,1482,1574,FAST-20250514-00216,7760.03,4,7601.13,9199.46,2025-05-14,WRITTEN_OFF,1,3.6126
217,1084,1791,FAST-20250226-00217,11431.64,3,11319.77,13779.85,2025-02-26,ACTIVE,1,4.2375
218,3015,845,FAST-20250619-00218,14275.64,4,14121.58,17351.24,2025-06-19,SETTLED,1,3.5004
219,2788,1159,FAST-20250806-00219,9933.12,6,9867.51,11933.78,2025-08-06,CANCELLED,0,4.2591
220,576,582,FAST-20250904-00220,14772.76,4,14178.54,18304.97,2025-09-04,SETTLED,0,4.8233
221,541,1509,FAST-20260412-00221,985.77,1,937.16,1193.03,2026-04-12,settled,1,3.9311
222,346,1045,FAST-20250419-00222,7609.26,5,7259.62,9683.52,2025-04-19,SETTLED,1,4.2605
223,2808,707,FAST-20250903-00223,14882.54,2,14734.73,18453.11,2025-09-03,Active,0,3.4186
224,1258,269,FAST-20260503-00224,967.77,6,955.74,1220.73,2026-05-03,CANCELLED,0,4.5384
225,2152,258,FAST-20250322-00225,11682.09,4,11673.69,13825.82,2025-03-22,Active,1,3.5231
226,2219,542,FAST-20260212-00226,3177.31,5,3104.13,3877.95,2026-02-12,SETTLED,1,4.789
227,1069,1796,FAST-20250928-00227,7618.02,6,7300.66,9735.87,2025-09-28,Active,0,4.598
228,2848,863,FAST-20250511-00228,4996.67,3,4960.44,6086.62,2025-05-11,ACTIVE,1,
229,513,118,FAST-20250509-00229,963.09,2,939.92,1187.84,2025-05-09,WRITTEN_OFF,1,4.5153
230,2366,969,FAST-20250521-00230,11432.52,5,11165.7,14581.14,2025-05-21,active,1,4.6081
231,2621,327,FAST-20260612-00231,1498.29,6,1468.8,1838.78,2026-06-12,CANCELLED,1,
232,563,181,FAST-20250521-00232,14818.58,3,14592.68,17770.27,2025-05-21,settled,1,4.211
233,2243,1586,FAST-20250915-00233,1919.89,2,1907.47,2395.41,2025-09-15,active,1,
234,1462,147,FAST-20251206-00234,7946.39,2,7712.53,9865.69,2025-12-06,CANCELLED,1,4.0998
235,2588,1634,FAST-20250315-00235,3284.15,2,3136.95,3885.59,2025-03-15,ACTIVE,1,3.8004
236,2730,636,FAST-20251026-00236,969.43,1,958.53,1204.46,2025-10-26,SETTLED,0,
237,1621,797,FAST-20251121-00237,14857.04,2,14359.09,18136.32,2025-11-21,ARREARS,0,4.2335
238,1158,208,FAST-20250426-00238,3148.02,3,3136.89,3804.16,2025-04-26,settled,1,4.7499
239,2759,865,FAST-20250519-00239,11600.28,4,11036.91,14789.23,2025-05-19,settled,0,3.1985
240,1916,1605,FAST-20260205-00240,7887.26,5,7661.42,9512.94,2026-02-05,ACTIVE,1,
241,905,912,FAST-20250618-00241,11581.87,5,11101.01,13699.72,2025-06-18,CANCELLED,1,4.9085
242,1571,184,FAST-20250502-00242,-974.99,1,928.91,1210.92,2025-05-02,active,1,4.2117
243,32,880,FAST-20250314-00243,11405.9,6,10937.24,14450.5,2025-03-14,CANCELLED,1,4.0637
244,895,904,FAST-20260207-00244,475.76,1,467.64,581.11,2026-02-07,Active,1,
245,2419,181,FAST-20260524-00245,4885.24,6,4840.26,5991.3,2026-05-24,WRITTEN_OFF,1,
246,2571,582,FAST-20260329-00246,9714.39,4,9677.67,11993.9,2026-03-29,WRITTEN_OFF,1,3.0079
247,956,8,FAST-20260301-00247,,3,3197.7,4067.23,2026-03-01,ARREARS,1,3.4067
248,2889,1450,FAST-20250327-00248,476.34,2,464.04,607.84,2025-03-27,WRITTEN_OFF,0,3.4594
249,1199,622,FAST-20250211-00249,,5,11555.53,15051.92,2025-02-11,ACTIVE,0,4.0153
250,1316,1175,FAST-20251202-00250,491.8,6,490.61,591.85,2025-12-02,CANCELLED,1,4.4828
251,634,1806,FAST-20250119-00251,4780.14,4,4600.68,6064.32,2025-01-19,ACTIVE,1,3.8014
252,3154,96,FAST-20250503-00252,1946.16,4,1891.95,2348.11,2025-05-03,WRITTEN_OFF,1,4.8206
253,1992,1717,FAST-20250220-00253,1481.84,5,1461.99,1850.2,2025-02-20,settled,1,3.3849
254,1861,1134,FAST-20250924-00254,14345.47,1,14086.4,17464.99,09-24-2025,ACTIVE,1,3.6014
255,280,246,FAST-20260125-00255,1963.71,1,1939.6,,2026-01-25,ARREARS,0,4.0288
256,1134,1901,FAST-20260102-00256,966.41,5,938.6,1196.69,2026-01-02,SETTLED,1,4.1287
257,2898,306,FAST-20250929-00257,9924.84,4,9635.1,11772.88,2025-09-29,settled,1,4.1906
258,2618,1870,FAST-20251206-00258,7993.04,2,7690.36,10216.82,2025-12-06,CANCELLED,1,4.1412
