application_id,quote_id,customer_id,application_submitted_at,application_status,sa_id_captured_flag,mobile_captured_flag,online_banking_captured_flag,decline_reason,channel_name,agent_code,processing_minutes
68,2302,1349,2026-01-27 12:11:00,WITHDRAWN,1,1,1,,Direct,,2
69,2893,764,2026-02-12 10:29:24,APPROVED,1,0,1,,Email,,48
70,3975,871,2025-07-09 14:08:25,submitted,1,1,1,,unknown,AGT166,46
71,3729,980,2025-02-05 20:05:23,APPROVED,1,0,1,,WhatsApp,AGT147,37
72,2961,611,2025-08-02 14:44:07,WITHDRAWN,1,0,1,,WhatsApp,,9
73,2289,346,2025-12-27 07:55:44,APPROVED,1,1,1,,Facebook,,89
74,2016,298,2025-02-26 22:56:35,submitted,1,0,1,,unknown,AGT812,64
75,1790,61,2026-01-01 19:51:44,Approved,1,1,1,,Email,,
76,2395,492,2026-03-06 10:14:13,WITHDRAWN,0,1,0,,,,53
77,3831,642,2026-02-01 20:33:34,DECLINED,0,0,1,NCA compliance block,unknown,,
78,1768,1647,2025-11-05 13:31:37,Approved,1,1,1,,Google Sponsored Search,AGT248,67
79,1694,10,2025-09-29 19:52:12,submitted,1,1,0,,Facebook,,
80,2645,1283,2025-09-06 09:35:23,APPROVED,1,1,1,,,AGT504,
81,1288,1018,2026-01-23 18:50:05,SUBMITTED,1,0,1,,,AGT373,111
82,2668,720,2025-08-14 13:02:10,DECLINED,1,1,1,Income verification failed,Facebook,,85
83,62,1462,2025-09-24 14:50:36,WITHDRAWN,0,1,1,,Email,AGT161,103
84,3212,1690,2025-02-26 21:50:33,DISBURSED,1,1,1,,Direct,,2
85,34,1917,2025-07-15 21:57:18,submitted,0,1,0,,unknown,,
86,1478,16,2025-10-14 17:04:12,submitted,1,0,1,,Organic Search,,154
87,996,266,2025-08-12 14:26:32,APPROVED,1,1,1,,Direct,AGT470,2
88,3432,87,2025-04-19 07:42:24,DISBURSED,1,1,1,,WhatsApp,,101
89,3717,903,2025-03-08 14:20:47,STARTED,1,1,0,,Direct,,45
90,1157,757,2025-05-11 18:38:35,STARTED,1,1,1,,unknown,AGT954,
91,930,999,2026-04-01 22:49:38,SUBMITTED,1,0,1,,Google Sponsored Search,AGT185,72
92,3465,808,2025-03-05 18:52:05,submitted,1,1,1,,Direct,,46
93,728,381,2026-04-30 15:18:53,APPROVED,1,1,1,,unknown,,173
94,2325,1737,2025-06-20 22:28:02,submitted,1,1,1,,Facebook,,157
95,309,186,2025-03-16 12:13:49,APPROVED,1,1,1,,Email,AGT959,86
96,344,1125,2026-05-22 13:06:02,APPROVED,1,1,1,,Facebook,AGT614,89
97,3884,1131,2025-03-27 10:32:34,submitted,1,1,1,,Email,,136
98,2594,957,2026-03-11 20:04:04,APPROVED,1,1,1,,Organic Search,,11
99,770,1768,2025-03-08 21:45:16,Approved,0,0,1,,unknown,,54
100,1239,275,2025-05-30 12:11:08,APPROVED,1,0,0,,Google Sponsored Search,AGT521,82
101,1620,1411,2026-04-24 19:26:36,submitted,1,1,1,,Organic Search,,1
102,1920,137,2025-07-13 17:37:34,SUBMITTED,1,1,1,,WhatsApp,,
103,2882,1249,2025-10-02 21:06:25,submitted,1,1,1,,Facebook,,61
104,2870,1352,2025-03-29 10:46:03,WITHDRAWN,1,0,1,,,,172
105,3262,1215,2026-01-30 13:58:00,submitted,1,1,1,,,AGT734,84
106,1137,372,2025-11-21 11:48:00,Approved,0,1,0,,Facebook,,30
107,3461,1479,2026-03-01 21:44:23,WITHDRAWN,1,1,1,,Email,,127
108,2620,882,2025-04-24 19:57:46,DECLINED,1,1,1,Income verification failed,Organic Search,,81
109,2023,1413,2025-05-07 16:23:33,submitted,1,1,0,,WhatsApp,,132
110,894,1538,2025-04-15 21:24:07,STARTED,1,1,1,,Direct,,175
111,955,1285,2025-10-13 15:17:42,SUBMITTED,1,1,1,,Direct,,104
112,2516,521,2026-04-06 13:07:44,WITHDRAWN,1,1,1,,,,92
113,209,1857,2025-08-05 20:00:31,STARTED,1,1,1,,Facebook,AGT257,171
114,1175,1430,2025-06-23 10:23:12,APPROVED,1,0,1,,Google Sponsored Search,,106
115,2014,20,2025-04-12 15:35:22,Approved,1,1,1,,Organic Search,,66
116,1721,1662,2026-05-19 17:19:32,DISBURSED,1,1,0,,Direct,AGT102,165
117,1267,425,2026-05-19 07:20:06,DECLINED,1,1,1,,Google Sponsored Search,,21
118,2770,1022,2026-01-18 10:30:29,SUBMITTED,1,1,0,,WhatsApp,,20
119,1454,820,2025-02-19 17:32:59,SUBMITTED,0,0,0,,Google Sponsored Search,,110
120,164,989,2025-02-14 22:45:34,Approved,1,1,1,,Google Sponsored Search,,82
121,2795,1788,2026-03-09 20:06:23,DECLINED,1,0,1,Income verification failed,WhatsApp,AGT371,101
122,2113,1701,2025-09-03 10:26:19,submitted,1,1,1,,Organic Search,,55
123,605,641,2025-01-31 16:35:13,APPROVED,1,1,1,,,AGT802,147
124,1647,1995,2025-12-17 12:18:32,submitted,0,1,1,,,,74
125,2750,317,2025-10-01 17:47:56,APPROVED,1,1,1,,Organic Search,,60
126,2712,918,2025-02-06 11:30:16,STARTED,1,0,1,,Google Sponsored Search,,56
127,3353,1181,2025-01-18 10:28:55,SUBMITTED,0,1,0,,,,122
128,3295,634,2026-02-27 11:24:05,STARTED,0,1,0,,Google Sponsored Search,AGT909,
129,2867,1853,2025-11-15 17:23:31,DISBURSED,0,1,1,,Organic Search,,97
130,1929,806,2025-11-13 21:21:46,STARTED,1,1,1,,Google Sponsored Search,AGT231,151
131,3485,912,2026-01-08 15:24:53,SUBMITTED,1,1,1,,Google Sponsored Search,,62
132,1994,1287,2026-02-11 18:03:53,DECLINED,0,0,0,Credit score below threshold,,AGT417,5
133,132,149,2025-03-22 18:42:53,WITHDRAWN,0,0,1,,Direct,AGT420,159
134,627,499,2025-01-12 21:58:36,WITHDRAWN,1,1,0,,Direct,,110
135,3586,1963,2025-08-26 15:11:02,DECLINED,1,0,0,NCA compliance block,Email,,91
136,807,189,2026-02-15 19:10:12,DISBURSED,1,1,1,,Direct,,26
137,2752,75,2026-04-01 18:23:28,STARTED,1,0,0,,WhatsApp,AGT370,132
138,2649,1152,2025-02-23 13:03:19,DECLINED,1,1,1,Income verification failed,WhatsApp,,58
139,3683,1439,2026-04-30 13:47:46,WITHDRAWN,1,1,1,,WhatsApp,,75
140,56,1644,2025-12-19 16:07:05,DECLINED,1,1,1,,Organic Search,AGT828,153
141,373,1290,2026-06-12 20:13:35,submitted,1,1,1,,Direct,,132
142,414,477,2026-05-01 10:20:53,DECLINED,0,1,0,Adverse credit listing,Email,,
143,3370,791,2025-12-27 18:08:33,SUBMITTED,1,0,1,,unknown,AGT670,
144,1383,1291,2026-02-26 15:59:08,APPROVED,1,0,1,,Organic Search,AGT142,44
145,2456,564,2025-10-06 15:07:45,submitted,0,1,0,,Direct,,151
146,3146,1867,2025-05-21 21:05:45,WITHDRAWN,1,1,1,,,,
147,3512,661,2025-05-08 17:53:41,SUBMITTED,1,1,1,,Google Sponsored Search,,5
148,576,85,2025-09-27 07:36:00,submitted,1,0,1,,,,138
149,2818,1292,2025-08-25 15:34:35,APPROVED,1,1,0,,,,126
150,540,1177,2025-05-13 08:58:57,Approved,1,1,1,,unknown,,17
151,2354,1866,2025-10-24 10:00:50,Approved,1,1,0,,Google Sponsored Search,AGT946,81
152,171,1840,2026-04-27 07:54:33,APPROVED,1,1,1,,,AGT659,
153,3649,1058,2025-06-04 10:39:20,WITHDRAWN,0,1,1,,,,108
154,833,73,2026-01-22 10:18:20,Approved,1,1,1,,,,89
155,3121,802,2025-10-31 21:45:44,STARTED,1,0,0,,Facebook,AGT773,79
156,3979,36,2025-11-26 19:10:11,DECLINED,1,0,0,Credit score below threshold,unknown,,161
157,1969,1486,2025-08-12 09:00:12,WITHDRAWN,1,1,1,,Email,,10
158,105,1676,2025-11-01 15:02:22,WITHDRAWN,1,0,1,,Google Sponsored Search,,138
159,1978,1602,2026-03-21 16:24:34,STARTED,0,1,1,,Google Sponsored Search,,136
160,911,586,2026-05-25 10:13:39,DECLINED,1,0,1,NCA compliance block,Direct,,166
161,2047,628,2026-01-08 14:02:08,Approved,1,1,1,,Google Sponsored Search,AGT216,105
162,1039,506,2025-03-11 12:49:17,STARTED,0,1,1,,Facebook,,168
163,1756,365,2025-05-12 19:33:39,APPROVED,1,1,1,,unknown,,179
164,465,276,2025-10-11 07:12:55,APPROVED,0,0,1,,,AGT415,37
165,3727,1564,2026-01-25 10:30:50,APPROVED,1,0,1,,Facebook,,81
166,2474,1555,2026-02-15 15:29:42,DECLINED,1,1,1,Duplicate application,Google Sponsored Search,,44
167,2046,1341,2025-09-21 16:00:59,DECLINED,1,1,0,NCA compliance block,Direct,,63
168,3587,707,2025-11-28 17:48:42,Approved,1,1,1,,,AGT359,113
169,3578,101,2026-04-09 09:10:53,Approved,0,1,1,,,,26
170,2215,343,2025-11-19 19:34:01,APPROVED,1,1,0,,Google Sponsored Search,AGT354,13
171,3190,573,2025-12-14 10:32:09,DISBURSED,1,0,0,,Organic Search,AGT481,178
172,5,1760,2025-12-05 22:22:20,DISBURSED,1,1,1,,Direct,AGT738,110
173,3434,236,2026-06-11 07:19:06,DISBURSED,0,1,1,,unknown,AGT392,12
174,2018,1345,2025-08-30 22:42:15,APPROVED,1,1,0,,,,81
175,376,464,2025-04-30 08:04:45,DISBURSED,0,1,0,,WhatsApp,AGT923,30
176,3500,1019,2026-04-02 14:07:34,APPROVED,1,1,1,,Email,,8
177,3086,1597,2025-11-04 08:28:44,STARTED,1,1,1,,,,
178,1217,1460,2025-08-19 22:22:16,Approved,1,1,1,,Direct,,76
179,1003,1498,2025-10-05 08:39:24,WITHDRAWN,1,1,1,,Google Sponsored Search,AGT606,
180,2554,462,2026-05-27 14:45:28,WITHDRAWN,1,1,1,,WhatsApp,AGT690,94
181,1954,509,2025-04-04 07:55:53,APPROVED,1,1,0,,WhatsApp,AGT228,93
182,3535,834,2026-05-21 19:39:54,DISBURSED,1,0,1,,,,24
183,468,1837,2026-02-11 09:49:52,APPROVED,0,0,0,,unknown,,173
184,14,958,2025-12-29 13:30:15,submitted,0,0,1,,,,159
185,3852,1266,2025-05-03 18:26:02,DISBURSED,1,1,0,,Direct,,166
186,1696,1906,2025-08-23 08:33:34,STARTED,0,1,0,,,AGT967,104
187,1553,619,2026-03-24 22:22:44,SUBMITTED,1,1,1,,Direct,,97
188,3945,1426,2025-02-28 07:50:17,WITHDRAWN,0,0,0,,Organic Search,,49
189,434,1512,2026-02-07 13:15:14,DISBURSED,1,1,0,,Google Sponsored Search,,42
190,3193,1172,2025-07-29 08:41:06,DECLINED,0,1,1,Adverse credit listing,Email,,173
191,676,380,2025-10-04 16:04:10,submitted,1,0,0,,Email,,2
192,2073,1509,2025-08-31 14:24:41,submitted,0,1,0,,Google Sponsored Search,,
193,1344,1099,2026-02-19 15:55:23,DISBURSED,1,1,0,,Organic Search,,35
194,3810,959,2026-02-22 07:11:13,submitted,1,0,1,,Organic Search,,123
195,1217,136,2026-04-08 15:15:13,WITHDRAWN,0,1,1,,Direct,AGT909,120
196,2182,428,2025-06-27 07:23:45,DECLINED,1,1,0,NCA compliance block,Direct,,146
197,1315,1286,2025-09-02 16:00:01,DECLINED,1,1,1,,Facebook,,28
198,3584,1493,2025-12-17 09:36:02,DISBURSED,0,1,1,,Organic Search,AGT404,84
199,730,1579,2025-09-02 13:17:41,Approved,1,1,1,,,,156
200,3750,1198,2025-04-16 09:55:44,APPROVED,1,1,0,,Google Sponsored Search,,133
201,220,1474,2025-02-07 09:08:26,DISBURSED,1,1,0,,,,99
202,48,1711,2026-01-10 11:09:00,submitted,1,0,1,,Facebook,,47
203,3665,449,2025-07-16 14:30:15,DECLINED,1,1,1,NCA compliance block,,,13
204,3791,1192,2025-07-03 20:24:04,submitted,1,1,0,,unknown,,
205,3581,1527,2025-02-11 09:45:25,Approved,1,1,1,,Organic Search,,82
206,1478,1038,2025-12-06 09:34:33,DECLINED,1,0,1,NCA compliance block,Google Sponsored Search,,72
207,721,1429,2025-04-07 15:03:25,submitted,1,0,0,,Email,,43
208,1814,1882,2026-03-09 07:38:33,SUBMITTED,1,1,1,,Facebook,AGT198,7
209,993,1772,2025-09-06 14:19:02,STARTED,0,1,1,,WhatsApp,,116
210,122,1840,2026-06-15 14:50:27,STARTED,1,1,1,,,AGT438,85
211,3917,370,2026-06-16 09:36:10,DISBURSED,1,1,1,,Organic Search,,119
212,275,1467,2026-02-03 08:05:55,STARTED,0,1,0,,Google Sponsored Search,,8
213,2088,201,2025-10-24 11:47:58,STARTED,1,1,1,,,,57
214,2537,214,2025-04-23 09:22:07,Approved,1,1,1,,,,99
215,1743,240,2026-04-21 14:29:34,Approved,1,0,1,,Facebook,AGT439,37
216,3955,94,2026-02-19 12:12:11,submitted,1,0,0,,Facebook,,58
217,1406,1653,2025-02-02 21:29:56,DECLINED,1,0,0,Adverse credit listing,Google Sponsored Search,,128
218,772,371,2025-07-06 19:46:06,submitted,1,0,0,,WhatsApp,AGT970,10
219,624,924,2026-01-04 18:18:32,DISBURSED,0,1,0,,Email,,123
220,3003,1344,2025-02-03 10:04:43,APPROVED,1,1,0,,Direct,,26
221,2762,1718,2025-07-29 08:25:54,DECLINED,1,1,1,Credit score below threshold,Direct,,89
222,303,1189,2025-06-10 22:34:16,submitted,1,1,1,,Google Sponsored Search,AGT874,46
223,88,981,2025-09-22 20:44:15,submitted,0,0,0,,,,140
224,2677,132,2025-01-14 22:58:34,DISBURSED,1,1,0,,unknown,AGT720,154
225,3416,127,2026-05-14 18:52:26,STARTED,1,1,0,,Email,,49
226,1336,578,2025-03-23 22:01:58,SUBMITTED,1,1,1,,WhatsApp,,92
227,1144,591,2025-09-07 15:54:06,Approved,1,1,0,,WhatsApp,,39
228,2344,1463,2026-03-02 11:23:44,DECLINED,1,1,1,,unknown,,87
229,3185,1328,2025-11-26 15:51:59,submitted,0,1,1,,,,118
230,3754,438,2026-06-16 09:33:17,APPROVED,0,1,1,,Email,,54
231,3658,1886,2026-05-01 12:00:21,DISBURSED,0,0,1,,unknown,,30
232,865,773,2026-01-31 16:04:27,DISBURSED,1,1,0,,unknown,,99
233,774,1603,2025-06-19 22:00:14,DECLINED,1,0,0,NCA compliance block,Google Sponsored Search,,159
234,2529,1016,2025-10-13 13:07:30,Approved,1,0,0,,unknown,,177
235,3606,1804,2025-03-18 14:18:20,SUBMITTED,1,0,1,,WhatsApp,,98
236,2398,1164,2025-10-08 12:13:59,DISBURSED,1,1,1,,Google Sponsored Search,,68
237,248,993,2026-06-07 08:45:32,DECLINED,1,1,1,Adverse credit listing,Email,,17
238,1470,1432,2026-01-31 20:44:12,DECLINED,1,1,1,NCA compliance block,WhatsApp,AGT858,87
239,2371,947,2025-04-20 09:26:27,WITHDRAWN,1,0,1,,,,117
240,290,1547,2025-03-05 20:39:37,submitted,0,1,0,,unknown,,
241,551,46,2026-02-18 20:38:58,WITHDRAWN,0,1,1,,,,8
242,742,1333,2025-07-08 18:48:15,SUBMITTED,1,1,1,,unknown,,160
243,3641,1968,2025-07-02 17:26:40,Approved,1,1,1,,Organic Search,,
244,2983,780,2026-01-14 20:50:18,WITHDRAWN,1,1,1,,Google Sponsored Search,,127
245,1033,1148,2026-02-12 11:09:28,DISBURSED,0,1,1,,Email,,28
246,3952,1647,2025-02-02 19:58:39,Approved,1,1,1,,Facebook,AGT929,137
247,3798,1558,2025-06-22 13:58:45,Approved,0,1,0,,Facebook,,130
248,3854,1532,2026-01-26 09:58:00,DECLINED,1,0,1,Credit score below threshold,unknown,,28
249,3501,969,2025-01-23 11:43:35,STARTED,1,1,1,,WhatsApp,,97
250,3219,807,2025-11-10 14:40:51,WITHDRAWN,1,1,1,,Facebook,,45
251,3504,1863,2026-02-05 10:34:12,Approved,1,1,0,,Organic Search,AGT487,81
252,196,1726,2025-06-12 08:03:51,STARTED,1,1,1,,unknown,,169
253,3106,549,2025-11-22 09:19:11,STARTED,0,1,1,,Google Sponsored Search,,148
254,1068,1554,2025-03-21 20:31:08,WITHDRAWN,1,0,1,,unknown,AGT164,48
255,3159,1628,2026-03-12 16:03:15,Approved,0,0,0,,Organic Search,,20
256,3875,1743,2025-07-19 13:52:32,submitted,1,1,1,,Direct,AGT381,76
257,2399,884,2025-09-03 12:39:22,WITHDRAWN,1,1,0,,Email,AGT860,70
258,1569,1918,2026-05-20 16:18:51,DECLINED,0,1,1,Adverse credit listing,Organic Search,AGT925,126
259,1646,1657,2025-09-21 22:16:12,APPROVED,0,1,1,,,,1
260,2390,1215,2025-02-24 11:09:34,WITHDRAWN,1,1,1,,Email,AGT599,120
261,1625,1044,2025-11-05 12:42:08,DISBURSED,1,1,0,,WhatsApp,,48
262,3430,1225,2025-01-06 11:37:41,STARTED,1,1,1,,unknown,,117
263,1935,1432,2025-05-31 13:07:04,DECLINED,0,1,0,Duplicate application,unknown,,149
264,2355,1606,2025-08-29 16:17:22,APPROVED,0,1,0,,Organic Search,,5
265,3472,1973,2025-01-26 12:53:09,DISBURSED,0,1,1,,Email,AGT564,157
266,2944,1456,2025-09-19 08:20:04,APPROVED,0,0,1,,WhatsApp,AGT824,100
267,2245,1342,2026-04-07 16:14:47,submitted,1,1,0,,Direct,,147
268,3750,677,2026-05-29 18:04:05,SUBMITTED,1,1,1,,,AGT183,149
269,3376,398,2026-06-10 12:29:45,Approved,0,1,1,,Email,,
270,168,876,2026-03-01 14:15:34,Approved,1,1,1,,WhatsApp,,153
271,377,891,2025-02-10 09:39:29,DECLINED,1,1,1,,Google Sponsored Search,,19
272,1531,560,2025-06-16 11:16:41,SUBMITTED,1,0,1,,,,49
273,916,925,2025-07-07 20:09:10,STARTED,1,1,1,,Organic Search,,76
274,3527,1257,2025-01-24 14:42:30,STARTED,0,1,1,,WhatsApp,AGT723,143
275,112,741,2025-05-20 20:43:28,WITHDRAWN,0,1,1,,unknown,,18
276,2915,357,2025-10-15 07:10:45,submitted,1,1,1,,Direct,AGT918,
277,219,1850,2025-02-12 13:15:10,DECLINED,1,1,1,Adverse credit listing,Facebook,,55
278,1633,29,2026-05-24 19:15:49,SUBMITTED,1,1,1,,unknown,,119
279,460,769,2025-03-14 17:53:49,STARTED,0,1,1,,,,
280,2252,714,2025-03-21 10:09:35,APPROVED,1,1,0,,,,49
281,1517,192,2025-07-05 22:09:04,DECLINED,1,1,1,Credit score below threshold,Email,,103
282,3627,728,2025-08-19 08:37:59,Approved,1,0,0,,,AGT614,113
283,3935,495,2026-05-31 09:20:30,Approved,1,0,1,,,,109
284,1536,560,2026-03-12 17:14:18,STARTED,1,1,1,,,,146
285,205,839,2025-08-30 12:34:16,DISBURSED,1,1,1,,,,86
286,1665,164,2025-10-17 13:12:16,DECLINED,1,1,1,Affordability failed,,,155
287,2496,801,2025-03-03 13:31:03,SUBMITTED,1,0,0,,Email,,144
288,3643,550,2025-08-31 20:29:32,submitted,1,1,1,,Email,AGT968,97
289,2136,1001,2025-02-15 07:23:45,submitted,1,1,1,,,AGT432,156
290,1743,262,2025-03-25 13:44:48,DISBURSED,1,0,0,,Organic Search,,65
291,830,703,2025-07-08 10:25:40,submitted,1,1,1,,Facebook,,
292,2067,1624,2025-12-06 14:58:56,DISBURSED,0,1,0,,Email,,79
293,1846,1390,2025-09-23 10:05:55,WITHDRAWN,1,1,0,,,AGT901,179
294,2486,35,2025-03-29 19:45:53,STARTED,0,1,1,,WhatsApp,AGT860,3
295,1695,514,2026-01-26 11:53:03,SUBMITTED,0,1,0,,,,137
296,3695,1387,2025-06-06 20:06:25,DISBURSED,1,0,1,,Google Sponsored Search,,140
297,3917,1697,2025-11-22 13:39:28,submitted,1,1,1,,WhatsApp,,50
298,3743,1330,2026-01-15 12:05:15,submitted,0,1,1,,Facebook,AGT722,145
299,684,151,2025-05-11 10:03:41,WITHDRAWN,1,0,0,,,AGT375,83
300,1435,853,2026-02-03 17:44:31,APPROVED,1,1,0,,Email,,164
301,303,1372,2025-09-26 07:52:46,WITHDRAWN,1,1,1,,unknown,,8
302,1032,1872,2026-03-30 19:37:27,DISBURSED,1,1,1,,Email,AGT250,131
303,1367,1247,2025-04-24 20:19:47,APPROVED,0,1,1,,Google Sponsored Search,,167
304,126,955,2025-09-30 12:57:54,STARTED,1,1,1,,Direct,,174
305,710,4,2026-03-20 11:11:02,DECLINED,1,0,1,Credit score below threshold,Direct,,118
306,136,112,2025-08-16 21:51:36,WITHDRAWN,1,1,0,,,AGT111,94
307,2997,1861,2025-06-19 11:46:17,APPROVED,1,0,1,,WhatsApp,,142
308,1315,1634,2025-08-16 21:39:06,submitted,1,1,1,,,,6
309,3361,423,2025-10-19 21:41:05,WITHDRAWN,0,1,0,,Direct,,95
310,1913,19,2025-10-08 20:58:34,SUBMITTED,1,1,1,,Direct,AGT440,27
311,2052,911,2025-06-18 14:38:49,WITHDRAWN,0,1,0,,,AGT859,174
312,419,1894,2025-10-04 11:03:58,submitted,0,1,1,,,AGT970,180
313,1047,180,2025-05-12 08:06:49,submitted,1,1,0,,unknown,AGT548,
314,2597,561,2026-03-15 21:56:21,Approved,1,1,1,,Facebook,,161
315,3166,1669,2025-03-13 12:29:10,STARTED,1,1,1,,Direct,,158
316,399,1003,2026-04-07 11:13:40,DISBURSED,1,0,0,,Organic Search,AGT534,164
317,2335,632,2026-02-16 14:50:21,submitted,1,0,1,,WhatsApp,AGT514,
318,2914,1908,2026-06-11 15:30:09,DECLINED,1,0,1,Affordability failed,Email,,153
319,2678,633,2025-09-26 22:43:34,Approved,0,1,0,,,,16
320,2666,222,2025-06-12 08:04:08,DECLINED,1,1,1,Income verification failed,Google Sponsored Search,,78
321,1226,944,2025-09-22 16:31:49,Approved,1,1,1,,WhatsApp,,100
322,29,810,2026-05-09 11:58:14,submitted,1,1,1,,Direct,,44
323,1010,226,2025-03-02 17:39:15,SUBMITTED,1,1,1,,Facebook,,78
