ticket_id,customer_id,brand_name,channel_name,opened_at,closed_at,topic,priority,ticket_status,first_response_minutes,csat_score,nps_score
46,898,JustMoney,Facebook,2025-09-18 22:55:00,2025-09-20 21:20:00,Application Help,Low,OPEN,5,4.7,
47,,JustMoney,Facebook,2026-01-15 09:41:53,2026-01-18 05:10:53,Payment Query,Critical,Closed,,,2
48,1847,FASTA,Phone,2025-02-23 07:09:28,2025-02-24 09:26:28,Technical Issue,low,OPEN,114,4.6,
49,,JustMoney,Chat,2025-01-09 18:54:10,2025-01-11 11:14:10,Fraud Report,High,open,33,1.6,
50,1325,DebtBusters,Chat,2025-12-09 18:39:56,,Decline Explanation,HIGH,Closed,130,,5
51,787,FASTA,WhatsApp,2026-06-07 17:25:24,,Fee Dispute,HIGH,PENDING_CUSTOMER,172,1.7,7
52,299,DebtBusters,WhatsApp,2026-03-27 17:03:28,,Application Help,Medium,Closed,231,2.1,7
53,1971,FASTA,Phone,2026-05-02 22:02:59,2026-05-04 16:15:59,Financial Health Query,High,Closed,153,4.1,
54,946,JustMoney,WhatsApp,2025-09-06 21:09:10,2025-09-06 22:49:10,Fee Dispute,High,open,,,
55,1340,JustMoney,Phone,2026-03-29 09:32:07,2026-03-31 06:51:07,Statement Request,Critical,Closed,55,2.4,1
56,281,JustMoney,Facebook,2025-08-20 09:04:25,2025-08-23 04:24:25,Statement Request,Medium,RESOLVED,196,,10
57,152,JustMoney,Phone,2025-08-31 09:32:54,2025-08-31 14:41:54,Complaint,Low,Closed,58,3.2,10
58,241,FASTA,Phone,2026-02-08 07:59:49,,Fee Dispute,Critical,open,188,,6
59,1692,FASTA,Chat,2025-01-28 20:38:22,2025-01-29 04:32:22,Decline Explanation,High,CLOSED,110,,9
60,90,FASTA,Chat,2026-03-30 07:31:04,2026-04-01 13:43:04,Complaint,Critical,Closed,,1.5,
61,1650,FASTA,WhatsApp,2026-02-11 16:24:32,2026-02-11 22:48:32,Application Help,High,CLOSED,133,3.2,
62,535,DebtBusters,WhatsApp,2025-11-12 10:23:46,2025-11-14 17:02:46,Statement Request,Low,RESOLVED,148,2.3,
63,1418,JustMoney,Phone,2025-02-07 13:27:29,,Financial Health Query,low,Closed,136,2.0,
64,528,DebtBusters,Chat,2025-05-10 09:38:47,,Fraud Report,Medium,open,62,,
65,64,DebtBusters,Facebook,2025-01-15 20:54:53,2025-01-18 15:20:53,Application Help,Critical,PENDING_CUSTOMER,158,4.6,
66,314,FASTA,Phone,2025-05-03 17:21:28,2025-05-04 23:18:28,Statement Request,Critical,RESOLVED,193,,8
67,1179,FASTA,Facebook,2025-12-26 14:09:35,2025-12-28 05:08:35,Application Help,Low,Closed,,1.1,1
68,1112,DebtBusters,WhatsApp,2025-06-18 21:11:58,,Fraud Report,High,CLOSED,201,2.2,
69,650,DebtBusters,Facebook,2025-12-10 18:48:51,2025-12-13 02:07:51,Fraud Report,low,PENDING_CUSTOMER,,,
70,1963,JustMoney,Email,2025-07-28 15:33:15,2025-07-30 03:39:15,Decline Explanation,High,CLOSED,132,,4
71,1352,DebtBusters,WhatsApp,2026-01-31 17:39:34,2026-02-01 15:46:34,Payment Query,Critical,OPEN,140,1.9,10
72,1437,DebtBusters,WhatsApp,2025-09-11 08:27:45,,Statement Request,Medium,open,7,1.2,5
73,905,JustMoney,Phone,2025-05-14 12:52:55,2025-05-14 23:58:55,Financial Health Query,Low,Closed,113,3.7,
74,1868,JustMoney,Email,2025-12-27 21:03:45,,Financial Health Query,HIGH,OPEN,182,1.3,
75,663,FASTA,Facebook,2025-03-28 21:21:13,2025-03-31 16:01:13,Technical Issue,High,OPEN,119,,1
76,1421,JustMoney,Chat,2025-03-28 16:10:30,2025-03-29 18:29:30,Complaint,HIGH,open,1,2.6,
77,1832,DebtBusters,Email,2025-11-29 09:30:29,,Payment Query,Critical,Closed,177,3.1,10
78,830,FASTA,WhatsApp,2025-06-23 22:47:48,2025-06-24 16:19:48,Complaint,Low,RESOLVED,,,8
79,544,JustMoney,WhatsApp,2025-04-17 15:19:41,,Fee Dispute,High,Closed,61,,9
80,1765,JustMoney,Chat,2026-06-06 11:04:46,2026-06-08 17:18:46,Statement Request,HIGH,PENDING_CUSTOMER,74,4.6,5
81,847,DebtBusters,Phone,2025-01-14 21:04:15,,Decline Explanation,HIGH,open,211,3.8,3
82,,DebtBusters,Phone,2026-01-07 10:34:10,,Statement Request,low,OPEN,123,,1
83,717,FASTA,WhatsApp,2025-04-26 20:52:40,2025-04-28 23:43:40,Technical Issue,Low,CLOSED,,1.7,7
84,1856,DebtBusters,WhatsApp,2025-10-23 19:24:16,,Fee Dispute,HIGH,Closed,123,1.6,
85,1288,FASTA,Facebook,2025-02-28 14:10:53,,Technical Issue,Low,OPEN,8,,4
86,1894,FASTA,Phone,2025-10-24 14:37:29,2025-10-25 19:31:29,Financial Health Query,High,RESOLVED,153,3.7,
87,69,JustMoney,Chat,2025-03-15 09:26:08,2025-03-16 10:16:08,Statement Request,High,open,219,4.2,8
88,1661,JustMoney,Phone,2025-10-21 07:04:39,2025-10-22 13:48:39,Statement Request,low,open,148,3.7,
89,1884,DebtBusters,Facebook,2025-12-31 16:51:48,2025-12-31 21:39:48,Fee Dispute,Low,open,234,,2
90,1221,FASTA,Facebook,2026-03-30 11:49:28,,Financial Health Query,Medium,PENDING_CUSTOMER,54,2.6,
91,1911,FASTA,Chat,2025-01-04 21:47:19,2025-01-06 19:09:19,Statement Request,HIGH,OPEN,114,,0
92,1539,FASTA,Email,2025-11-25 11:19:47,,Application Help,HIGH,RESOLVED,87,,9
93,556,JustMoney,Phone,2026-03-20 17:52:24,2026-03-21 23:18:24,Fraud Report,High,open,194,1.1,7
94,435,DebtBusters,Email,2026-05-06 07:52:58,,Technical Issue,Critical,open,130,3.2,
95,1192,JustMoney,Facebook,2025-05-01 21:07:04,,Statement Request,Medium,open,148,4.7,1
96,1100,FASTA,Email,2026-03-10 08:40:08,2026-03-12 05:19:08,Payment Query,Low,CLOSED,91,,7
97,522,JustMoney,Facebook,2025-07-15 09:45:34,,Financial Health Query,Critical,open,52,2.5,10
98,1309,FASTA,Chat,2026-01-04 21:45:09,2026-01-05 00:19:09,Complaint,Critical,RESOLVED,9,4.3,
99,543,FASTA,WhatsApp,2025-03-10 14:14:25,2025-03-13 12:14:25,Financial Health Query,HIGH,CLOSED,44,4.2,
100,298,JustMoney,WhatsApp,2025-10-29 20:24:05,2025-10-31 21:25:05,Application Help,Medium,Closed,3,,7
101,50,JustMoney,Phone,2025-02-01 07:56:16,2025-02-03 17:42:16,Complaint,low,Closed,234,,
102,644,JustMoney,WhatsApp,2025-04-18 18:48:20,2025-04-21 00:32:20,Fee Dispute,High,CLOSED,195,1.2,
103,538,JustMoney,Phone,2025-06-20 16:26:05,2025-06-22 06:36:05,Application Help,HIGH,OPEN,1,5.0,
104,1932,DebtBusters,Phone,2025-03-28 17:57:54,,Payment Query,Critical,PENDING_CUSTOMER,88,3.6,
105,1220,FASTA,Phone,2026-06-03 12:26:24,2026-06-05 18:18:24,Fee Dispute,Low,RESOLVED,49,3.3,
106,78,DebtBusters,Facebook,2025-09-06 08:53:34,,Technical Issue,HIGH,Closed,21,2.8,9
107,1246,JustMoney,Email,2026-03-27 11:50:47,2026-03-28 09:40:47,Application Help,Low,open,188,3.5,5
108,1288,FASTA,Chat,2025-06-15 19:02:30,2025-06-16 19:29:30,Application Help,HIGH,Closed,12,3.7,0
109,191,FASTA,Chat,2026-04-21 17:44:18,2026-04-23 14:08:18,Technical Issue,High,open,74,4.0,9
110,1420,FASTA,Email,2025-01-14 21:24:45,2025-01-14 21:36:45,Financial Health Query,Critical,Closed,135,,4
111,1371,JustMoney,Chat,2026-01-27 19:15:29,2026-01-28 07:37:29,Financial Health Query,low,Closed,114,2.2,4
112,1468,DebtBusters,Chat,2025-04-19 21:15:35,2025-04-20 23:22:35,Fee Dispute,HIGH,Closed,199,,3
113,1944,FASTA,WhatsApp,2025-08-20 07:20:59,2025-08-22 22:58:59,Application Help,low,Closed,215,3.4,
114,626,JustMoney,Email,2025-01-20 08:31:58,2025-01-20 20:09:58,Statement Request,low,PENDING_CUSTOMER,9,4.9,5
115,669,FASTA,Chat,2025-05-05 07:17:02,2025-05-06 13:27:02,Financial Health Query,HIGH,CLOSED,135,,5
116,1396,DebtBusters,Facebook,2026-02-05 09:32:45,,Decline Explanation,Medium,CLOSED,202,1.0,0
117,172,FASTA,Chat,2025-10-22 16:59:25,2025-10-24 15:02:25,Fee Dispute,Critical,Closed,146,4.3,1
118,116,JustMoney,Email,2025-06-16 20:46:37,2025-06-18 03:18:37,Application Help,Critical,open,,4.5,0
119,375,JustMoney,Facebook,2026-05-25 18:58:52,2026-05-27 18:07:52,Fee Dispute,HIGH,CLOSED,207,4.6,0
120,1430,DebtBusters,WhatsApp,2025-06-04 18:27:45,2025-06-07 04:01:45,Payment Query,High,RESOLVED,,,
121,1125,FASTA,Email,2025-03-16 11:13:52,,Decline Explanation,HIGH,PENDING_CUSTOMER,36,,
122,738,DebtBusters,Facebook,2026-04-22 22:52:21,2026-04-23 09:09:21,Complaint,Medium,CLOSED,155,,
123,1876,JustMoney,Email,2025-02-04 13:34:21,2025-02-06 02:45:21,Statement Request,Low,CLOSED,181,,9
124,227,DebtBusters,Facebook,2025-12-01 10:22:33,2025-12-01 14:45:33,Statement Request,HIGH,PENDING_CUSTOMER,60,2.1,9
125,1091,DebtBusters,Chat,2025-05-01 22:55:35,,Application Help,Low,open,115,1.8,
126,1073,DebtBusters,Facebook,2026-04-03 18:34:34,2026-04-06 10:43:34,Application Help,low,CLOSED,209,4.6,
127,1186,DebtBusters,Chat,2026-04-11 16:01:56,,Application Help,Critical,PENDING_CUSTOMER,135,,
128,99,DebtBusters,Email,2025-07-05 07:30:24,2025-07-05 10:36:24,Payment Query,low,Closed,69,1.4,9
129,459,DebtBusters,Email,2025-11-04 19:30:09,,Fee Dispute,HIGH,CLOSED,62,,
130,45,DebtBusters,Email,2025-12-02 07:21:46,2025-12-04 10:34:46,Decline Explanation,High,CLOSED,223,3.3,0
131,1545,FASTA,WhatsApp,2025-11-02 20:50:08,2025-11-03 00:10:08,Technical Issue,High,Closed,113,4.8,5
132,1342,DebtBusters,Email,2026-03-28 16:03:18,2026-03-29 17:41:18,Fee Dispute,HIGH,OPEN,156,4.6,
133,511,FASTA,Facebook,2025-04-30 10:58:12,2025-05-02 01:11:12,Technical Issue,Medium,open,132,3.1,
134,208,FASTA,Facebook,2025-01-09 07:07:26,2025-01-11 08:58:26,Fee Dispute,Medium,RESOLVED,228,,
135,55,JustMoney,Facebook,2025-04-06 18:35:59,2025-04-08 23:26:59,Payment Query,Critical,CLOSED,224,4.4,
136,1803,FASTA,Phone,2025-04-01 19:50:54,2025-04-02 18:26:54,Decline Explanation,High,PENDING_CUSTOMER,239,2.8,5
137,1924,FASTA,Facebook,2026-02-10 14:28:16,2026-02-10 14:45:16,Fraud Report,Low,CLOSED,137,4.2,5
138,1869,FASTA,Phone,2025-05-06 11:57:20,2025-05-08 16:26:20,Technical Issue,low,OPEN,35,,
139,307,DebtBusters,WhatsApp,2025-07-03 12:53:11,2025-07-06 05:45:11,Decline Explanation,High,CLOSED,132,,
140,1332,FASTA,Phone,2025-10-16 14:22:17,2025-10-18 11:41:17,Fraud Report,Low,RESOLVED,147,1.3,
141,,DebtBusters,Phone,2026-02-17 20:17:57,2026-02-18 18:07:57,Fee Dispute,High,PENDING_CUSTOMER,140,2.8,10
142,655,DebtBusters,WhatsApp,2026-02-13 15:32:43,,Decline Explanation,Low,RESOLVED,,3.9,
143,177,DebtBusters,Chat,2026-01-22 08:06:37,2026-01-23 16:59:37,Payment Query,Critical,PENDING_CUSTOMER,,,9
144,292,FASTA,Email,2025-02-16 07:23:32,2025-02-17 11:41:32,Financial Health Query,Low,OPEN,52,2.6,0
145,578,FASTA,WhatsApp,2025-03-08 18:22:55,,Fee Dispute,Low,PENDING_CUSTOMER,32,,6
146,3,JustMoney,Chat,2025-01-08 12:54:12,,Technical Issue,HIGH,CLOSED,6,1.4,
147,1535,FASTA,Facebook,2025-08-29 20:39:07,,Complaint,High,Closed,,,
148,769,FASTA,Chat,2025-10-25 19:09:53,2025-10-26 09:48:53,Fraud Report,Medium,OPEN,7,4.7,4
149,393,JustMoney,Chat,2026-04-19 10:15:20,,Application Help,Critical,OPEN,180,3.0,4
150,936,DebtBusters,Chat,2025-11-29 08:24:30,2025-12-01 14:31:30,Financial Health Query,Medium,PENDING_CUSTOMER,94,,6
151,457,FASTA,Phone,2026-05-10 15:16:26,2026-05-12 13:52:26,Fee Dispute,HIGH,OPEN,163,1.6,
152,1774,FASTA,WhatsApp,2025-02-05 12:59:49,2025-02-07 21:31:49,Technical Issue,HIGH,CLOSED,233,4.2,10
153,1139,JustMoney,WhatsApp,2026-06-09 21:02:01,2026-06-10 09:18:01,Statement Request,Medium,Closed,235,4.3,5
154,925,DebtBusters,Phone,2025-12-12 18:27:02,,Decline Explanation,HIGH,open,159,1.0,
155,975,DebtBusters,Phone,2026-01-26 08:39:23,,Decline Explanation,low,Closed,220,4.7,1
156,6,FASTA,Facebook,2025-07-03 12:45:51,2025-07-04 23:15:51,Statement Request,Critical,open,136,3.8,0
157,1850,FASTA,Chat,2025-05-31 21:49:12,2025-06-01 19:40:12,Technical Issue,Critical,CLOSED,40,,8
158,935,JustMoney,Email,2025-12-05 20:21:26,2025-12-08 08:02:26,Decline Explanation,High,CLOSED,65,3.4,0
159,1173,FASTA,Phone,2025-02-26 17:53:24,,Payment Query,HIGH,CLOSED,112,2.0,
160,744,FASTA,Phone,2026-03-25 08:05:59,2026-03-26 10:19:59,Payment Query,High,open,97,5.0,
161,209,JustMoney,Chat,2026-01-27 14:32:09,2026-01-29 19:30:09,Application Help,Critical,PENDING_CUSTOMER,36,,0
162,1809,JustMoney,WhatsApp,2025-06-25 07:19:51,2025-06-25 20:45:51,Complaint,HIGH,open,202,3.7,
163,1984,DebtBusters,WhatsApp,2025-03-19 18:18:07,2025-03-22 13:51:07,Statement Request,Medium,OPEN,77,,
164,967,FASTA,Email,2025-01-12 16:49:51,2025-01-13 15:57:51,Financial Health Query,HIGH,open,61,,
165,1726,DebtBusters,WhatsApp,2026-06-02 07:20:22,,Fee Dispute,Low,PENDING_CUSTOMER,82,3.3,
166,1214,FASTA,Email,2025-12-08 07:03:07,,Technical Issue,High,CLOSED,,,
167,19,DebtBusters,Facebook,2026-05-06 19:43:49,2026-05-09 04:42:49,Application Help,Critical,open,116,,7
168,1601,JustMoney,Email,2025-05-12 11:14:10,2025-05-15 00:35:10,Financial Health Query,Critical,Closed,188,,8
169,681,FASTA,WhatsApp,2026-03-17 19:08:51,,Complaint,HIGH,RESOLVED,190,,7
170,724,DebtBusters,WhatsApp,2025-11-05 13:23:52,2025-11-07 17:18:52,Financial Health Query,High,RESOLVED,177,4.8,7
171,110,JustMoney,Chat,2025-02-12 17:56:15,2025-02-13 15:01:15,Statement Request,Medium,CLOSED,119,1.3,8
172,534,DebtBusters,WhatsApp,2026-01-16 09:31:48,2026-01-18 13:03:48,Statement Request,low,open,,,
173,1803,JustMoney,WhatsApp,2025-04-08 22:28:59,2025-04-11 19:05:59,Statement Request,Low,RESOLVED,231,3.4,
174,1330,FASTA,WhatsApp,2026-04-02 19:52:37,,Fee Dispute,low,open,222,,8
175,1498,FASTA,WhatsApp,2025-07-13 08:01:39,,Financial Health Query,low,Closed,156,,3
176,453,FASTA,WhatsApp,2025-12-12 12:06:12,2025-12-13 01:53:12,Statement Request,Medium,RESOLVED,,1.5,
177,1134,FASTA,WhatsApp,2026-04-11 11:57:45,2026-04-13 21:27:45,Fee Dispute,Low,OPEN,86,1.6,
178,,DebtBusters,WhatsApp,2025-09-19 15:38:48,2025-09-22 06:39:48,Fraud Report,HIGH,OPEN,58,4.2,
179,583,DebtBusters,WhatsApp,2025-09-06 18:59:46,,Statement Request,Medium,Closed,85,3.6,6
180,661,JustMoney,Phone,2026-03-22 21:14:59,2026-03-24 06:20:59,Decline Explanation,Critical,RESOLVED,29,1.4,
181,1768,DebtBusters,Facebook,2025-03-01 10:15:12,2025-03-03 19:18:12,Decline Explanation,Low,open,195,,6
182,56,DebtBusters,Email,2025-01-10 09:23:26,2025-01-11 03:07:26,Fee Dispute,Low,Closed,52,1.1,1
183,1761,JustMoney,Facebook,2026-02-21 11:14:25,2026-02-23 18:37:25,Decline Explanation,low,open,76,,8
184,1103,FASTA,Email,2026-03-25 18:20:10,2026-03-27 13:32:10,Fraud Report,Medium,Closed,,3.9,6
185,,DebtBusters,WhatsApp,2025-05-28 20:43:38,2025-05-30 16:06:38,Technical Issue,Critical,CLOSED,150,1.9,
186,1809,JustMoney,WhatsApp,2025-06-28 15:52:24,,Statement Request,Medium,CLOSED,178,4.1,4
187,903,DebtBusters,Phone,2025-05-13 15:46:14,2025-05-13 19:32:14,Payment Query,HIGH,OPEN,13,,
188,318,JustMoney,Email,2026-02-18 11:33:49,,Financial Health Query,low,PENDING_CUSTOMER,46,3.4,9
189,1783,JustMoney,Facebook,2025-03-10 21:06:31,,Fraud Report,HIGH,RESOLVED,15,4.5,6
190,1164,FASTA,WhatsApp,2025-05-28 13:07:27,2025-05-29 06:59:27,Payment Query,Critical,open,78,,
191,1142,JustMoney,Chat,2026-02-04 11:42:55,2026-02-06 04:17:55,Financial Health Query,Low,PENDING_CUSTOMER,225,2.4,
192,520,JustMoney,Facebook,2025-03-24 19:53:45,2025-03-27 17:47:45,Fraud Report,low,PENDING_CUSTOMER,213,,8
193,1489,FASTA,WhatsApp,2025-09-21 16:44:41,,Fee Dispute,High,PENDING_CUSTOMER,174,5.0,
194,738,FASTA,WhatsApp,2025-10-05 19:09:21,2025-10-07 10:10:21,Application Help,low,open,,2.1,
195,1288,JustMoney,WhatsApp,2026-03-12 18:10:48,2026-03-15 11:50:48,Fraud Report,Critical,OPEN,151,1.8,6
196,961,FASTA,Email,2026-02-08 12:03:51,2026-02-10 02:19:51,Payment Query,High,Closed,10,1.1,8
197,665,DebtBusters,Email,2025-07-16 16:36:49,2025-07-19 03:28:49,Application Help,Low,Closed,93,1.8,
198,1428,FASTA,Chat,2026-02-15 16:16:05,2026-02-17 11:27:05,Fraud Report,HIGH,RESOLVED,144,,
199,1538,DebtBusters,Chat,2025-05-02 19:07:27,2025-05-03 23:23:27,Financial Health Query,low,CLOSED,116,2.3,
200,1870,JustMoney,Facebook,2025-12-07 19:23:35,,Financial Health Query,low,open,140,,6
201,914,DebtBusters,Email,2025-10-30 12:22:23,2025-10-31 21:41:23,Fraud Report,low,Closed,197,1.6,
202,1639,DebtBusters,Chat,2026-03-20 20:26:31,2026-03-23 05:05:31,Complaint,Low,Closed,217,3.0,0
203,1364,DebtBusters,Chat,2026-05-04 22:02:34,2026-05-05 23:45:34,Payment Query,HIGH,OPEN,63,3.9,
204,62,JustMoney,Email,2025-09-28 21:35:36,2025-10-01 20:33:36,Payment Query,Medium,OPEN,146,3.2,0
205,180,JustMoney,Phone,2025-08-18 12:36:48,2025-08-21 04:12:48,Fraud Report,Low,PENDING_CUSTOMER,113,2.2,
206,1454,FASTA,Email,2025-08-30 10:33:17,2025-08-30 23:41:17,Fee Dispute,Medium,Closed,186,1.6,
207,845,JustMoney,Email,2026-06-04 15:29:01,2026-06-05 19:24:01,Technical Issue,Low,CLOSED,153,1.1,2
208,1693,FASTA,Email,2026-04-02 18:01:09,2026-04-05 08:47:09,Statement Request,Low,Closed,107,4.0,7
209,1214,FASTA,Phone,2025-12-19 22:32:22,2025-12-20 23:58:22,Complaint,Medium,PENDING_CUSTOMER,204,1.4,10
210,1580,JustMoney,Email,2025-10-10 18:07:48,2025-10-11 23:41:48,Technical Issue,Low,Closed,,4.5,8
211,,FASTA,Email,2026-01-01 18:41:19,2026-01-02 23:45:19,Technical Issue,low,RESOLVED,,,
212,,FASTA,Facebook,2025-10-23 10:31:49,2025-10-25 13:38:49,Statement Request,Medium,open,4,,
213,1714,FASTA,Email,2025-01-02 11:36:40,2025-01-03 07:30:40,Decline Explanation,High,CLOSED,110,3.4,
214,,DebtBusters,Facebook,2025-08-09 15:14:39,2025-08-10 21:23:39,Decline Explanation,Low,PENDING_CUSTOMER,39,2.1,10
215,1531,DebtBusters,Chat,2025-10-16 15:13:09,2025-10-17 02:06:09,Complaint,HIGH,RESOLVED,18,3.6,
216,1287,DebtBusters,WhatsApp,2025-08-25 08:30:56,2025-08-27 03:32:56,Fraud Report,HIGH,open,69,,1
217,78,DebtBusters,WhatsApp,2025-09-20 11:07:28,,Payment Query,Medium,CLOSED,10,1.7,6
218,1147,JustMoney,Email,2025-10-27 14:45:56,2025-10-27 21:41:56,Application Help,HIGH,RESOLVED,69,2.7,10
219,1850,JustMoney,Email,2025-04-01 07:20:12,,Application Help,High,PENDING_CUSTOMER,42,2.5,1
220,958,DebtBusters,Chat,2025-07-11 14:39:36,2025-07-13 02:17:36,Fraud Report,High,OPEN,,,
221,1331,FASTA,WhatsApp,2025-01-21 07:49:48,,Complaint,Critical,Closed,107,1.1,5
222,308,FASTA,Facebook,2025-11-09 22:55:51,,Payment Query,Medium,CLOSED,219,1.3,
223,1832,DebtBusters,Email,2026-03-09 18:05:15,2026-03-11 03:07:15,Fee Dispute,Medium,open,201,,
224,832,DebtBusters,Email,2026-06-05 08:33:57,2026-06-05 16:24:57,Technical Issue,High,OPEN,49,1.0,8
225,150,FASTA,Chat,2026-02-10 15:58:18,2026-02-11 08:16:18,Payment Query,Medium,CLOSED,229,,3
226,1936,DebtBusters,Phone,2025-10-30 12:02:20,,Complaint,HIGH,RESOLVED,14,,
227,,DebtBusters,Phone,2025-05-21 10:43:04,2025-05-22 07:07:04,Fraud Report,Low,CLOSED,,,10
228,630,FASTA,Chat,2026-03-06 19:28:34,2026-03-07 20:17:34,Technical Issue,Critical,CLOSED,13,2.3,
229,255,DebtBusters,Phone,2025-11-13 17:13:00,2025-11-14 21:05:00,Technical Issue,HIGH,Closed,9,1.9,10
