schedule_id,loan_id,instalment_number,due_date,instalment_amount_zar,principal_component_zar,fee_interest_component_zar,schedule_status
45,12,1,2026-03-14,3035.49,,910.65,paid
46,12,2,2026-04-13,3035.49,2124.84,910.65,PART_PAID
47,13,1,2025-10-30,2619.26,,785.78,paid
48,13,2,2025-11-29,2619.26,1833.48,785.78,OVERDUE
49,13,3,12-29-2025,2619.26,1833.48,785.78,Overdue
50,13,4,2026-01-28,2619.26,1833.48,785.78,paid
51,13,5,2026-02-27,2619.26,1833.48,785.78,Overdue
52,13,6,2026-03-29,2619.26,1833.48,785.78,PENDING
53,14,1,2026-06-21,2214.49,1550.14,664.35,PAID
54,15,1,2025-06-21,2730.6,1911.42,819.18,Overdue
55,16,1,2025-08-09,1841.87,1289.31,552.56,Overdue
56,17,1,2026-03-10,2132.65,1492.86,639.79,OVERDUE
57,17,2,2026-04-09,2132.65,1492.86,639.79,PENDING
58,17,3,2026-05-09,2132.65,1492.86,639.79,OVERDUE
59,18,1,2025-03-20,1335.52,934.86,400.66,PENDING
60,18,2,2025-04-19,1335.52,934.86,400.66,OVERDUE
61,19,1,2026-01-28,1970.14,1379.1,591.04,OVERDUE
62,19,2,2026-02-27,1970.14,1379.1,591.04,paid
63,19,3,2026-03-29,1970.14,1379.1,591.04,OVERDUE
64,19,4,2026-04-28,1970.14,1379.1,591.04,PENDING
65,20,1,2026-02-24,1594.02,1115.81,478.21,Overdue
66,20,2,2026-03-26,1594.02,1115.81,478.21,PART_PAID
67,20,3,2026-04-25,1594.02,,478.21,paid
68,20,4,2026-05-25,1594.02,1115.81,478.21,PENDING
69,20,5,2026-06-24,1594.02,1115.81,478.21,PENDING
70,21,1,2025-05-27,1351.94,946.36,405.58,PAID
71,21,2,2025-06-26,1351.94,946.36,405.58,OVERDUE
72,22,1,2025-03-26,1712.68,1198.88,513.8,PENDING
73,22,2,20250425,1712.68,1198.88,513.8,PAID
74,22,3,2025-05-25,1712.68,1198.88,513.8,PENDING
75,22,4,2025-06-24,1712.68,1198.88,513.8,OVERDUE
76,22,5,2025-07-24,1712.68,1198.88,513.8,paid
77,23,1,2026-04-30,3662.81,2563.97,1098.84,PAID
78,23,2,2026-05-30,3662.81,2563.97,1098.84,OVERDUE
79,23,3,2026-06-29,3662.81,2563.97,1098.84,OVERDUE
80,23,4,2026-07-29,3662.81,2563.97,1098.84,PAID
81,23,5,20260828,3662.81,2563.97,1098.84,OVERDUE
82,23,6,2026-09-27,3662.81,,1098.84,Overdue
83,24,1,2025-05-20,2871.15,2009.8,861.35,OVERDUE
84,24,2,2025-06-19,2871.15,2009.8,861.35,PART_PAID
85,24,3,2025-07-19,2871.15,2009.8,861.35,Overdue
86,24,4,2025-08-18,2871.15,2009.8,861.35,Overdue
87,24,5,2025-09-17,2871.15,2009.8,861.35,Overdue
88,25,1,2026-01-07,2382.8,1667.96,714.84,Overdue
89,25,2,2026-02-06,2382.8,1667.96,714.84,OVERDUE
90,25,3,2026-03-08,2382.8,1667.96,714.84,PART_PAID
91,25,4,2026-04-07,2382.8,1667.96,714.84,PART_PAID
92,25,5,2026-05-07,2382.8,1667.96,714.84,
93,25,6,2026-06-06,2382.8,1667.96,714.84,OVERDUE
94,26,1,2026-02-23,1911.38,1337.97,573.41,
95,26,2,2026-03-25,1911.38,1337.97,,paid
96,26,3,2026-04-24,1911.38,1337.97,573.41,Overdue
97,26,4,2026-05-24,1911.38,1337.97,573.41,PART_PAID
98,26,5,2026-06-23,1911.38,1337.97,573.41,PAID
99,27,1,2026-04-08,1586.57,1110.6,475.97,paid
100,27,2,2026-05-08,1586.57,1110.6,475.97,paid
101,27,3,2026-06-07,1586.57,1110.6,475.97,PART_PAID
102,27,4,2026-07-07,1586.57,1110.6,475.97,PENDING
103,27,5,2026-08-06,1586.57,1110.6,,paid
104,28,1,2025-09-28,2070.58,1449.41,621.17,paid
105,28,2,28 Oct 2025,2070.58,1449.41,621.17,PAID
106,28,3,2025-11-27,2070.58,1449.41,621.17,OVERDUE
107,28,4,2025-12-27,2070.58,1449.41,621.17,paid
108,28,5,2026-01-26,2070.58,1449.41,621.17,paid
109,28,6,2026-02-25,2070.58,,621.17,PART_PAID
110,29,1,2025-04-15,2744.05,1920.84,823.22,PART_PAID
111,29,2,2025-05-15,2744.05,1920.84,823.22,Overdue
112,29,3,2025-06-14,2744.05,1920.84,823.22,PAID
113,30,1,2026-07-13,2428.21,1699.75,728.46,PENDING
114,31,1,2026-02-28,2244.84,1571.39,673.45,PAID
115,31,2,2026-03-30,2244.84,,673.45,paid
116,31,3,2026-04-29,2244.84,1571.39,673.45,PAID
117,31,4,2026-05-29,2244.84,1571.39,673.45,PAID
118,31,5,2026-06-28,2244.84,1571.39,673.45,OVERDUE
119,32,1,2025-03-24,-3185.36,2229.75,955.61,Overdue
120,32,2,2025-04-23,3185.36,2229.75,955.61,
121,32,3,23/05/2025,3185.36,2229.75,955.61,paid
122,32,4,2025-06-22,3185.36,2229.75,955.61,PAID
123,32,5,2025-07-22,3185.36,2229.75,955.61,PENDING
124,32,6,2025-08-21,3185.36,2229.75,955.61,PART_PAID
125,33,1,2026-05-21,1052.77,736.94,315.83,OVERDUE
126,33,2,2026-06-20,1052.77,736.94,315.83,PENDING
127,33,3,2026-07-20,1052.77,736.94,315.83,
128,34,1,2026-07-17,-3173.65,2221.55,,paid
129,34,2,2026-08-16,3173.65,2221.55,952.1,paid
130,35,1,2026-04-26,,2026.57,868.53,PAID
131,35,2,2026-05-26,2895.1,2026.57,868.53,OVERDUE
132,35,3,2026-06-25,2895.1,2026.57,868.53,OVERDUE
133,35,4,2026-07-25,2895.1,2026.57,868.53,OVERDUE
134,35,5,2026-08-24,2895.1,2026.57,868.53,paid
135,36,1,2026-05-03,3613.25,2529.27,1083.97,PAID
136,37,1,2026-05-07,3757.75,2630.42,1127.33,PAID
137,37,2,2026-06-06,3757.75,2630.42,1127.33,PENDING
138,37,3,2026-07-06,3757.75,2630.42,1127.33,OVERDUE
139,37,4,2026-08-05,3757.75,2630.42,1127.33,PART_PAID
140,37,5,2026-09-04,3757.75,2630.42,1127.33,PENDING
141,37,6,2026-10-04,3757.75,2630.42,1127.33,PAID
142,38,1,2025-11-19,1058.21,740.75,317.46,PENDING
143,38,2,2025-12-19,1058.21,740.75,317.46,PART_PAID
144,39,1,2025-04-02,3032.09,2122.46,909.63,paid
145,39,2,2025-05-02,3032.09,2122.46,,paid
146,39,3,2025-06-01,3032.09,2122.46,909.63,PART_PAID
147,39,4,2025-07-01,3032.09,2122.46,909.63,PENDING
148,39,5,2025-07-31,3032.09,2122.46,909.63,paid
149,39,6,2025-08-30,3032.09,2122.46,909.63,PART_PAID
150,40,1,2026-05-31,1824.18,1276.93,547.25,PENDING
151,40,2,2026-06-30,1824.18,1276.93,547.25,PENDING
152,40,3,2026-07-30,1824.18,1276.93,547.25,PART_PAID
153,40,4,29 Aug 2026,1824.18,1276.93,547.25,PART_PAID
154,40,5,2026-09-28,1824.18,1276.93,547.25,Overdue
155,41,1,2025-06-13,1991.11,1393.78,597.33,PART_PAID
156,41,2,2025-07-13,1991.11,1393.78,597.33,OVERDUE
157,41,3,2025-08-12,1991.11,1393.78,597.33,PART_PAID
158,42,1,2025-06-22,1789.06,1252.34,536.72,PENDING
159,42,2,2025-07-22,1789.06,1252.34,536.72,PAID
160,42,3,2025-08-21,1789.06,1252.34,536.72,paid
161,42,4,2025-09-20,1789.06,1252.34,536.72,PAID
162,42,5,20251020,-1789.06,1252.34,536.72,Overdue
163,42,6,2025-11-19,1789.06,1252.34,536.72,Overdue
164,43,1,2025-03-09,1552.49,1086.74,465.75,paid
165,43,2,08/04/2025,1552.49,1086.74,465.75,Overdue
166,43,3,2025-05-08,1552.49,1086.74,465.75,paid
167,43,4,2025-06-07,1552.49,1086.74,465.75,Overdue
168,43,5,2025-07-07,1552.49,1086.74,465.75,Overdue
169,44,1,2025-11-09,1036.11,725.28,310.83,PART_PAID
170,45,1,2025-04-28,1893.11,1325.18,567.93,PAID
171,45,2,28 May 2025,1893.11,1325.18,567.93,Overdue
172,46,1,2026-04-04,3090.36,2163.25,927.11,PART_PAID
173,46,2,2026-05-04,3090.36,2163.25,927.11,PART_PAID
174,46,3,06-03-2026,3090.36,2163.25,927.11,PAID
175,46,4,07-03-2026,3090.36,2163.25,927.11,Overdue
176,47,1,2026-03-15,1346.0,942.2,403.8,PENDING
177,47,2,2026-04-14,1346.0,942.2,403.8,Overdue
178,47,3,2026-05-14,1346.0,942.2,403.8,Overdue
179,47,4,2026-06-13,1346.0,,403.8,OVERDUE
180,47,5,2026-07-13,1346.0,942.2,,PART_PAID
181,48,1,2026-03-09,3241.4,2268.98,972.42,OVERDUE
182,48,2,2026-04-08,3241.4,2268.98,972.42,Overdue
183,48,3,2026-05-08,3241.4,2268.98,972.42,Overdue
184,48,4,2026-06-07,3241.4,2268.98,972.42,PENDING
185,48,5,2026-07-07,3241.4,2268.98,972.42,PART_PAID
186,48,6,2026-08-06,,2268.98,972.42,PAID
187,49,1,05-30-2026,1097.23,768.06,329.17,PART_PAID
188,50,1,2025-03-03,1205.13,843.59,361.54,paid
189,50,2,2025-04-02,1205.13,843.59,361.54,PENDING
190,50,3,2025-05-02,1205.13,843.59,361.54,OVERDUE
191,51,1,2025-08-05,1336.68,935.68,401.0,PART_PAID
192,51,2,2025-09-04,1336.68,935.68,401.0,Overdue
193,51,3,2025-10-04,1336.68,935.68,401.0,OVERDUE
194,51,4,2025-11-03,1336.68,935.68,401.0,
195,51,5,2025-12-03,1336.68,935.68,401.0,PART_PAID
196,52,1,2026-06-20,1093.81,765.67,,Overdue
197,53,1,2025-08-17,1097.33,768.13,329.2,OVERDUE
198,53,2,16 Sep 2025,1097.33,768.13,329.2,PART_PAID
199,53,3,2025-10-16,1097.33,768.13,329.2,OVERDUE
200,53,4,2025-11-15,1097.33,768.13,329.2,OVERDUE
201,53,5,2025-12-15,1097.33,768.13,329.2,OVERDUE
202,53,6,2026-01-14,1097.33,768.13,329.2,OVERDUE
203,54,1,31/03/2026,3469.99,2428.99,1041.0,PENDING
204,54,2,2026-04-30,3469.99,2428.99,1041.0,OVERDUE
205,54,3,2026-05-30,3469.99,2428.99,1041.0,Overdue
206,54,4,2026-06-29,3469.99,2428.99,1041.0,Overdue
207,54,5,2026-07-29,3469.99,2428.99,1041.0,OVERDUE
208,54,6,2026-08-28,3469.99,2428.99,1041.0,paid
209,55,1,2025-06-28,3490.16,2443.11,1047.05,paid
210,55,2,2025-07-28,3490.16,2443.11,1047.05,PENDING
211,55,3,2025-08-27,3490.16,2443.11,1047.05,PART_PAID
212,55,4,2025-09-26,3490.16,2443.11,1047.05,PENDING
213,56,1,2025-11-30,1909.69,1336.78,572.91,PART_PAID
214,56,2,12-30-2025,1909.69,1336.78,572.91,paid
215,56,3,2026-01-29,1909.69,1336.78,572.91,paid
216,56,4,2026-02-28,1909.69,1336.78,572.91,PAID
217,56,5,2026-03-30,1909.69,1336.78,572.91,Overdue
218,56,6,2026-04-29,1909.69,1336.78,572.91,PENDING
219,57,1,04-08-2026,2565.05,1795.54,769.51,Overdue
220,58,1,2026-02-20,3181.55,2227.09,954.47,PENDING
221,58,2,2026-03-22,3181.55,2227.09,954.47,Overdue
222,58,3,2026-04-21,3181.55,2227.09,954.47,Overdue
223,58,4,2026-05-21,3181.55,2227.09,954.47,PAID
224,59,1,2025-10-31,3930.82,2751.57,1179.25,PAID
225,59,2,2025-11-30,3930.82,2751.57,1179.25,PART_PAID
226,59,3,2025-12-30,3930.82,2751.57,1179.25,Overdue
227,59,4,2026-01-29,3930.82,,1179.25,Overdue
228,59,5,2026-02-28,3930.82,2751.57,,PENDING
229,60,1,2026-05-12,2834.71,1984.3,850.41,PAID
230,61,1,2025-08-25,1923.38,1346.37,577.01,PAID
231,61,2,2025-09-24,1923.38,1346.37,577.01,PENDING
232,61,3,2025-10-24,1923.38,1346.37,577.01,PAID
233,61,4,2025-11-23,1923.38,1346.37,577.01,paid
234,61,5,2025-12-23,1923.38,1346.37,577.01,PART_PAID
235,62,1,2026-03-06,1197.99,838.59,359.4,Overdue
236,63,1,2026-07-28,1303.3,912.31,390.99,Overdue
237,63,2,2026-08-27,1303.3,912.31,390.99,Overdue
238,63,3,26/09/2026,1303.3,,390.99,PENDING
239,64,1,2025-05-07,3096.44,2167.51,928.93,PAID
240,65,1,2025-10-22,3702.74,2591.92,1110.82,PART_PAID
241,65,2,2025-11-21,3702.74,2591.92,1110.82,OVERDUE
242,66,1,2026-06-15,3918.73,2743.11,1175.62,Overdue
243,66,2,15 Jul 2026,-3918.73,2743.11,1175.62,OVERDUE
244,66,3,2026-08-14,3918.73,2743.11,1175.62,Overdue
245,66,4,2026-09-13,-3918.73,2743.11,1175.62,Overdue
246,66,5,2026-10-13,3918.73,2743.11,1175.62,PART_PAID
247,67,1,2026-04-26,2413.19,1689.23,723.96,paid
248,67,2,2026-05-26,2413.19,1689.23,723.96,PENDING
249,67,3,2026-06-25,2413.19,1689.23,723.96,Overdue
250,68,1,2025-09-22,3373.92,2361.74,1012.18,PART_PAID
251,69,1,2025-11-21,1333.52,933.46,400.06,Overdue
252,70,1,20260422,1651.2,1155.84,495.36,PART_PAID
253,70,2,2026-05-22,1651.2,1155.84,495.36,PART_PAID
254,70,3,2026-06-21,1651.2,1155.84,495.36,OVERDUE
255,71,1,2026-01-05,3803.46,2662.42,1141.04,Overdue
256,71,2,02-04-2026,3803.46,2662.42,1141.04,PENDING
257,71,3,2026-03-06,3803.46,2662.42,1141.04,PART_PAID
258,71,4,2026-04-05,3803.46,2662.42,1141.04,PENDING
259,71,5,2026-05-05,3803.46,2662.42,1141.04,paid
260,71,6,2026-06-04,3803.46,2662.42,1141.04,OVERDUE
261,72,1,2026-02-09,3165.76,2216.03,949.73,Overdue
262,72,2,2026-03-11,3165.76,2216.03,949.73,Overdue
263,72,3,2026-04-10,3165.76,2216.03,949.73,paid
264,72,4,2026-05-10,3165.76,2216.03,949.73,PART_PAID
265,72,5,2026-06-09,3165.76,2216.03,949.73,PART_PAID
266,72,6,20260709,3165.76,2216.03,949.73,PAID
267,73,1,06/09/2025,1844.09,1290.86,553.23,OVERDUE
268,73,2,2025-10-06,1844.09,1290.86,553.23,PENDING
269,74,1,2026-07-23,3724.59,2607.21,1117.38,PAID
270,75,1,2026-05-10,2421.19,1694.83,726.36,OVERDUE
271,75,2,2026-06-09,2421.19,1694.83,726.36,Overdue
272,75,3,2026-07-09,2421.19,1694.83,726.36,Overdue
273,75,4,2026-08-08,2421.19,1694.83,726.36,OVERDUE
274,75,5,2026-09-07,2421.19,1694.83,726.36,paid
275,76,1,2025-05-20,1757.28,1230.1,527.18,OVERDUE
276,76,2,2025-06-19,1757.28,1230.1,527.18,PENDING
277,76,3,2025-07-19,1757.28,1230.1,527.18,PAID
278,77,1,2025-12-04,2241.83,1569.28,672.55,PART_PAID
279,77,2,2026-01-03,2241.83,1569.28,672.55,paid
280,78,1,2025-12-31,2475.96,1733.17,742.79,
281,78,2,01-30-2026,,1733.17,742.79,PART_PAID
282,79,1,2025-03-30,2920.98,2044.69,876.29,PART_PAID
283,79,2,2025-04-29,2920.98,,876.29,PART_PAID
284,80,1,2026-06-20,1161.06,,348.32,paid
285,80,2,2026-07-20,1161.06,,,Overdue
286,81,1,10/07/2025,3562.18,2493.53,1068.65,paid
287,82,1,2025-06-26,3984.6,2789.22,1195.38,PART_PAID
288,82,2,2025-07-26,3984.6,2789.22,,PENDING
289,82,3,2025-08-25,3984.6,,1195.38,paid
290,82,4,2025-09-24,3984.6,2789.22,1195.38,OVERDUE
291,83,1,2025-12-08,3858.14,2700.7,1157.44,paid
292,83,2,2026-01-07,3858.14,2700.7,1157.44,PAID
293,83,3,2026-02-06,3858.14,2700.7,1157.44,PENDING
294,84,1,2025-03-04,2351.33,1645.93,,PAID
295,84,2,2025-04-03,2351.33,1645.93,705.4,PART_PAID
296,84,3,2025-05-03,2351.33,1645.93,705.4,PAID
297,84,4,2025-06-02,2351.33,1645.93,705.4,PART_PAID
298,84,5,2025-07-02,2351.33,1645.93,705.4,PART_PAID
299,84,6,2025-08-01,2351.33,1645.93,705.4,PENDING
300,85,1,2026-02-07,3228.44,2259.91,968.53,PAID
301,85,2,2026-03-09,-3228.44,2259.91,968.53,PENDING
302,85,3,2026-04-08,3228.44,,968.53,PART_PAID
303,85,4,2026-05-08,3228.44,2259.91,968.53,Overdue
304,85,5,2026-06-07,3228.44,2259.91,968.53,OVERDUE
305,86,1,2025-09-26,3125.48,2187.84,937.64,PAID
306,86,2,2025-10-26,3125.48,2187.84,937.64,OVERDUE
307,86,3,2025-11-25,3125.48,2187.84,937.64,PART_PAID
308,87,1,05-26-2025,3249.67,2274.77,974.9,PART_PAID
309,87,2,2025-06-25,-3249.67,2274.77,974.9,PAID
310,87,3,25 Jul 2025,3249.67,2274.77,974.9,PENDING
311,87,4,2025-08-24,3249.67,2274.77,974.9,PENDING
312,87,5,2025-09-23,3249.67,2274.77,974.9,PENDING
313,87,6,2025-10-23,3249.67,2274.77,974.9,OVERDUE
314,88,1,2025-04-07,935.42,654.79,280.63,paid
315,88,2,2025-05-07,935.42,654.79,280.63,OVERDUE
316,88,3,2025-06-06,935.42,654.79,280.63,Overdue
317,88,4,2025-07-06,935.42,654.79,280.63,PAID
318,88,5,05 Aug 2025,935.42,654.79,280.63,PENDING
319,88,6,2025-09-04,935.42,654.79,280.63,PAID
320,89,1,2025-04-13,1305.96,914.17,391.79,PART_PAID
321,89,2,2025-05-13,1305.96,914.17,391.79,PART_PAID
322,90,1,2025-03-17,-2984.84,2089.39,895.45,PART_PAID
323,90,2,2025-04-16,-2984.84,2089.39,895.45,Overdue
324,90,3,2025-05-16,2984.84,2089.39,895.45,PAID
325,90,4,2025-06-15,2984.84,2089.39,895.45,PAID
326,90,5,2025-07-15,2984.84,2089.39,895.45,PART_PAID
327,90,6,2025-08-14,2984.84,2089.39,895.45,PART_PAID
328,91,1,03-18-2026,3122.39,2185.67,936.72,PART_PAID
329,91,2,2026-04-17,3122.39,2185.67,936.72,Overdue
330,92,1,2025-06-13,1840.79,1288.55,552.24,PENDING
331,92,2,2025-07-13,1840.79,1288.55,552.24,paid
332,92,3,2025-08-12,1840.79,1288.55,552.24,paid
333,92,4,20250911,1840.79,1288.55,552.24,paid
334,92,5,2025-10-11,1840.79,1288.55,552.24,PAID
335,93,1,2025-08-30,1783.39,1248.37,535.02,PAID
336,94,1,2025-03-29,2719.66,1903.76,815.9,PART_PAID
337,95,1,2025-11-26,3909.28,2736.5,1172.78,PART_PAID
338,95,2,2025-12-26,3909.28,2736.5,1172.78,PAID
339,95,3,2026-01-25,3909.28,2736.5,1172.78,OVERDUE
340,95,4,2026-02-24,3909.28,2736.5,1172.78,PENDING
341,95,5,2026-03-26,3909.28,2736.5,1172.78,PENDING
342,95,6,2026-04-25,3909.28,2736.5,,paid
343,96,1,2026-03-13,-2251.82,1576.27,675.55,PAID
344,96,2,12/04/2026,2251.82,1576.27,675.55,OVERDUE
345,96,3,2026-05-12,2251.82,1576.27,675.55,PART_PAID
346,96,4,2026-06-11,2251.82,1576.27,675.55,Overdue
347,96,5,2026-07-11,2251.82,1576.27,675.55,OVERDUE
348,96,6,2026-08-10,2251.82,1576.27,675.55,PAID
349,97,1,2025-12-04,2749.4,1924.58,824.82,paid
350,97,2,2026-01-03,2749.4,1924.58,824.82,PENDING
351,97,3,2026-02-02,2749.4,1924.58,824.82,OVERDUE
352,97,4,2026-03-04,2749.4,1924.58,824.82,PAID
353,97,5,2026-04-03,2749.4,1924.58,824.82,OVERDUE
354,97,6,2026-05-03,2749.4,,824.82,Overdue
355,98,1,2025-05-20,2902.93,2032.05,870.88,PAID
356,98,2,2025-06-19,2902.93,2032.05,870.88,Overdue
357,99,1,2026-01-20,2321.79,1625.25,696.54,PENDING
358,100,1,2025-08-31,1386.59,970.61,415.98,PART_PAID
359,101,1,2025-04-01,2860.9,2002.63,,PENDING
360,102,1,20250321,3617.08,2531.96,1085.12,paid
361,102,2,2025-04-20,3617.08,2531.96,1085.12,PAID
362,102,3,20250520,3617.08,2531.96,1085.12,paid
363,102,4,2025-06-19,3617.08,2531.96,1085.12,PENDING
364,102,5,2025-07-19,3617.08,,1085.12,paid
365,102,6,2025-08-18,3617.08,2531.96,1085.12,PAID
366,103,1,2026-05-30,3907.98,2735.59,1172.39,PART_PAID
367,104,1,2026-05-09,1110.11,777.08,333.03,
368,104,2,2026-06-08,1110.11,777.08,333.03,PENDING
369,104,3,07-08-2026,1110.11,777.08,333.03,OVERDUE
370,105,1,2025-04-07,2360.06,1652.04,708.02,PAID
371,105,2,2025-05-07,2360.06,1652.04,708.02,paid
372,105,3,2025-06-06,2360.06,1652.04,708.02,PART_PAID
373,105,4,2025-07-06,2360.06,1652.04,708.02,PART_PAID
374,106,1,2025-11-02,3179.25,2225.47,953.77,PENDING
375,106,2,2025-12-02,3179.25,2225.47,953.77,PART_PAID
376,106,3,2026-01-01,3179.25,2225.47,953.77,PART_PAID
377,106,4,2026-01-31,3179.25,2225.47,953.77,PAID
378,106,5,2026-03-02,3179.25,2225.47,953.77,Overdue
379,107,1,2025-09-28,3819.96,2673.97,1145.99,PENDING
380,107,2,2025-10-28,3819.96,2673.97,1145.99,PENDING
381,107,3,2025-11-27,3819.96,2673.97,1145.99,paid
382,107,4,2025-12-27,3819.96,2673.97,1145.99,PART_PAID
383,108,1,2025-04-19,1596.84,1117.79,479.05,PART_PAID
384,108,2,2025-05-19,1596.84,1117.79,479.05,PENDING
385,108,3,2025-06-18,1596.84,1117.79,479.05,OVERDUE
386,108,4,2025-07-18,1596.84,1117.79,479.05,paid
387,109,1,2026-04-08,2950.22,2065.15,,OVERDUE
388,109,2,2026-05-08,2950.22,2065.15,885.07,Overdue
389,109,3,2026-06-07,2950.22,2065.15,885.07,OVERDUE
390,109,4,2026-07-07,2950.22,2065.15,885.07,Overdue
391,110,1,2025-12-21,1845.46,,553.64,PART_PAID
392,110,2,01-20-2026,1845.46,1291.82,553.64,PAID
393,111,1,2026-03-18,2124.61,1487.23,637.38,PENDING
394,111,2,2026-04-17,2124.61,1487.23,637.38,PAID
395,111,3,2026-05-17,2124.61,1487.23,637.38,PAID
396,111,4,2026-06-16,2124.61,1487.23,637.38,Overdue
397,111,5,2026-07-16,2124.61,1487.23,637.38,Overdue
398,111,6,2026-08-15,2124.61,1487.23,637.38,PAID
399,112,1,2025-03-15,2992.65,2094.86,897.79,PENDING
400,112,2,2025-04-14,2992.65,2094.86,,paid
401,112,3,2025-05-14,2992.65,,897.79,OVERDUE
402,113,1,2025-10-20,2411.49,1688.04,723.45,PENDING
403,113,2,2025-11-19,,1688.04,723.45,PAID
404,114,1,2025-08-23,2000.04,1400.03,600.01,paid
405,114,2,2025-09-22,2000.04,1400.03,600.01,OVERDUE
406,115,1,2025-09-23,3865.98,2706.19,1159.79,OVERDUE
407,115,2,10-23-2025,3865.98,2706.19,1159.79,OVERDUE
408,115,3,2025-11-22,3865.98,2706.19,1159.79,paid
409,115,4,2025-12-22,3865.98,2706.19,1159.79,PENDING
410,115,5,2026-01-21,3865.98,2706.19,1159.79,PAID
411,115,6,2026-02-20,3865.98,2706.19,1159.79,PAID
412,116,1,2025-03-27,3501.82,2451.27,1050.55,PART_PAID
413,116,2,2025-04-26,3501.82,2451.27,,PART_PAID
414,117,1,2025-12-15,-3821.72,2675.2,1146.52,PENDING
415,117,2,2026-01-14,3821.72,2675.2,1146.52,PART_PAID
416,117,3,2026-02-13,3821.72,2675.2,1146.52,PENDING
417,117,4,2026-03-15,3821.72,2675.2,1146.52,PART_PAID
418,117,5,2026-04-14,3821.72,2675.2,1146.52,paid
419,118,1,2025-05-31,841.36,588.95,252.41,paid
420,118,2,2025-06-30,-841.36,588.95,252.41,paid
421,118,3,30 Jul 2025,841.36,588.95,252.41,Overdue
422,118,4,2025-08-29,841.36,588.95,252.41,paid
423,119,1,2025-03-20,1239.19,867.43,371.76,PENDING
424,119,2,2025-04-19,1239.19,867.43,371.76,PENDING
425,120,1,30/09/2025,1074.85,752.39,322.45,Overdue
426,121,1,2025-07-11,1581.74,1107.22,474.52,
427,122,1,2025-06-08,1131.38,791.97,339.41,Overdue
428,123,1,2025-12-08,3680.07,2576.05,1104.02,OVERDUE
429,123,2,2026-01-07,3680.07,2576.05,1104.02,PART_PAID
430,123,3,2026-02-06,3680.07,2576.05,1104.02,Overdue
431,124,1,2025-06-14,2260.42,,678.13,PART_PAID
432,124,2,2025-07-14,2260.42,1582.29,678.13,Overdue
433,124,3,2025-08-13,2260.42,1582.29,678.13,OVERDUE
434,124,4,2025-09-12,2260.42,1582.29,678.13,OVERDUE
