assessment_id,application_id,net_income_zar,monthly_expenses_zar,existing_debt_zar,affordability_amount_zar,assessment_result,assessed_at,dsr_ratio
154,1841,49396.12,28820.67,800.14,19775.31,FAIL,2025-09-05 20:17:46,0.0162
155,701,43489.54,21085.67,,5570.22,PASS,2025-10-12 09:33:05,0.3871
156,911,34950.68,23430.28,1319.69,10200.71,,2025-11-21 20:57:35,0.0378
157,3196,13558.34,11848.17,2177.33,,REFER,2026-05-29 18:51:26,0.1606
158,39,57381.65,32036.57,11749.14,13595.94,PASS,2025-09-05 11:42:21,0.2048
159,2958,33805.63,17230.59,4615.96,11959.08,FAIL,2026-04-09 09:01:45,
160,292,5666.23,4292.41,2147.37,-773.55,pass,2026-02-05 10:24:54,0.379
161,2520,69690.17,44575.43,9080.94,16033.8,PASS,2025-04-07 16:53:48,0.1303
162,2936,45502.97,,12420.68,-7256.48,FAIL,2026-04-16 08:26:16,0.273
163,293,81126.58,62134.93,14306.9,,Fail,2026-02-12 21:42:06,0.1764
164,1856,89693.11,76381.08,35429.6,-22117.57,PASS,2025-11-07 10:49:54,0.395
165,563,15069.18,10013.71,2324.2,2731.27,FAIL,2026-04-13 10:15:46,0.1542
166,172,80825.23,66088.21,37125.15,-22388.13,PASS,2025-08-18 14:38:17,
167,2744,68100.91,48655.83,25134.63,-5689.55,,2025-12-26 10:10:55,0.3691
168,2551,17554.53,10350.85,3368.82,3834.86,Fail,2025-02-12 16:28:06,0.1919
169,1876,33153.58,17783.48,9599.52,5770.58,PASS,2025-07-16 14:13:01,0.2895
170,2429,7801.94,6540.67,76.24,1185.03,Fail,2025-06-11 18:48:21,0.0098
171,2545,52326.89,26410.71,10581.66,15334.52,FAIL,2026-04-15 14:25:10,
172,2482,9988.92,7970.32,295.72,1722.88,REFER,2025-03-22 11:30:46,0.0296
173,1855,38112.32,24567.25,1614.8,11930.27,Fail,2025-09-16 17:33:15,0.0424
174,2143,71341.98,58513.81,15380.17,-2552.0,FAIL,2025-11-16 19:54:12,0.2156
175,2519,19284.26,18148.23,2881.18,-1745.15,REFER,2026-03-02 11:42:30,0.1494
176,534,-10422.6,9612.03,284.12,,REFER,2026-01-08 22:30:45,0.0273
177,232,72629.83,64894.45,8133.55,-398.17,PASS,2025-07-19 14:06:28,0.112
178,803,44220.61,18087.57,11914.82,14218.22,FAIL,2026-06-02 12:04:20,0.2694
179,1963,70972.89,46514.81,18383.07,6075.01,Fail,2026-04-23 17:21:14,0.259
180,2681,8898.28,4641.81,2399.13,1857.34,FAIL,2025-08-30 07:34:54,0.2696
181,2035,56061.62,51376.08,3345.42,1340.12,PASS,2025-08-19 16:07:24,0.0597
182,2525,10515.04,9451.79,986.05,77.2,REFER,2025-08-21 14:02:47,0.0938
183,2035,64855.56,30769.69,23505.74,10580.13,Fail,2026-05-23 14:49:30,0.3624
184,3087,73519.16,68047.04,3256.88,,pass,2025-08-01 09:54:48,0.0443
185,1382,12075.77,8494.5,3623.13,-41.86,pass,2025-05-29 08:34:44,0.3
186,362,69249.25,33026.84,8765.16,27457.25,pass,2025-05-08 19:52:08,0.1266
187,2530,52044.55,36124.88,10550.05,5369.62,pass,2025-07-09 09:20:44,0.2027
188,1019,57161.77,26712.14,25303.05,5146.58,FAIL,2025-10-26 10:33:57,0.4427
189,417,42918.07,33505.56,14835.59,-5423.08,pass,2026-04-23 19:15:43,0.3457
190,2115,25493.87,11987.51,,6705.45,PASS,2025-06-19 15:28:02,0.2668
191,2241,62024.93,40823.1,14639.5,6562.33,REFER,2025-08-27 07:38:38,0.236
192,406,46524.77,24926.73,4461.16,,PASS,2025-03-02 19:52:07,0.0959
193,2645,46486.99,36061.44,,3290.61,,2025-12-26 15:41:23,0.1535
194,2270,8102.03,6009.4,3615.49,-1522.86,FAIL,2025-08-09 16:12:22,
195,1436,82816.57,33566.55,40843.23,8406.79,Fail,2025-06-10 10:29:14,0.4932
196,816,69039.29,59804.93,21617.61,-12383.25,PASS,2025-04-03 10:03:52,0.3131
197,469,23837.66,12989.09,4080.6,6767.97,pass,2026-02-21 20:32:15,0.1712
198,2960,41511.94,19353.52,19278.49,2879.93,Fail,2025-01-24 14:47:00,0.4644
199,1579,9603.3,7805.19,4307.65,-2509.54,FAIL,2025-08-23 12:01:36,0.4486
200,2457,45464.97,30904.76,16253.79,-1693.58,Fail,2026-01-31 14:35:22,0.3575
201,2385,62762.73,29211.08,2574.07,30977.58,Fail,2025-08-21 12:59:44,0.041
202,101,54611.76,28093.84,2967.84,23550.08,pass,2025-12-29 17:35:34,0.0543
203,3133,57179.03,48030.68,4169.32,4979.03,FAIL,2025-06-24 07:32:11,0.0729
204,2560,71750.03,38352.1,4064.39,-29333.54,REFER,2025-07-08 14:50:44,0.0566
205,678,11976.91,5420.99,332.3,6223.62,REFER,2025-07-17 07:32:31,0.0277
206,750,5952.81,3814.73,1241.14,896.94,FAIL,2026-04-09 17:06:19,0.2085
207,3042,5472.27,3289.71,2165.0,17.56,Fail,2025-01-27 08:30:08,0.3956
208,1103,5061.26,3972.37,1523.53,-434.64,REFER,2026-02-05 10:24:51,0.301
209,1734,66118.78,53821.06,11220.28,1077.44,FAIL,2025-12-08 19:17:54,0.1697
210,2505,81835.58,50526.28,2720.07,28589.23,Fail,2025-09-13 20:40:42,0.0332
211,459,87994.2,,4839.26,30522.33,pass,2025-02-15 22:21:00,0.055
212,261,41205.39,32818.41,10568.96,-2181.98,,2025-04-30 18:29:14,0.2565
213,2527,21645.1,11859.61,6610.75,3174.74,FAIL,2026-03-24 09:23:25,
214,880,12875.86,7846.86,577.39,-4451.61,REFER,2025-08-11 18:34:12,0.0448
215,2133,4626.0,2092.35,1112.64,1421.01,FAIL,2025-02-14 20:36:06,0.2405
216,2349,73427.98,52247.83,,-6846.77,Fail,2025-01-25 13:14:54,0.3817
217,2575,73497.8,49737.58,10600.03,,Fail,2025-08-30 15:53:12,0.1442
218,1576,82883.27,,23437.2,-2603.62,Fail,2026-01-08 16:42:06,0.2828
219,2723,45689.34,18777.98,4427.75,22483.61,REFER,2026-02-03 20:00:21,0.0969
220,929,11089.9,5757.34,2149.14,3183.42,Fail,2026-02-20 18:42:40,0.1938
221,4,17265.75,13730.69,2388.15,1146.91,PASS,2025-11-05 17:41:15,0.1383
222,1669,49822.06,42069.13,5769.43,1983.5,Fail,2026-05-27 07:50:36,
223,2965,9677.66,7038.65,2305.59,333.42,PASS,2026-05-19 07:29:17,0.2382
224,1321,67635.36,61039.69,,3444.59,pass,2026-04-16 08:33:48,0.0466
225,2314,40134.56,18363.08,8726.26,13045.22,pass,2026-03-07 10:44:14,
226,1956,46636.39,31069.81,,-4392.16,Fail,2025-12-06 11:15:56,0.428
227,2855,18744.5,11477.04,,-35.87,Fail,2025-11-15 10:17:16,0.3896
228,1204,34311.67,23589.72,16967.2,-6245.25,PASS,2025-09-26 14:52:32,0.4945
229,734,50111.88,32699.79,15611.35,1800.74,,2026-02-20 16:48:10,0.3115
230,620,83356.47,66282.22,21104.14,-4029.89,FAIL,2025-05-17 07:11:00,0.2532
231,1067,73172.44,46090.64,22008.86,5072.94,Fail,2025-04-11 13:36:14,0.3008
232,3105,44193.47,31277.17,13352.87,-436.57,REFER,2025-10-01 15:30:57,0.3021
233,1771,88342.6,56954.43,,8709.42,pass,2025-12-04 15:28:49,
234,2883,,21903.98,12589.28,-4904.87,PASS,2025-11-22 17:42:11,0.4255
235,2542,20769.11,12749.64,3145.51,4873.96,FAIL,2025-09-04 09:09:27,0.1515
236,662,18591.82,8257.84,5433.81,4900.17,pass,2026-04-22 10:41:40,0.2923
237,1104,59819.82,40918.97,12870.47,6030.38,PASS,2025-06-02 13:10:31,0.2152
238,1437,12066.55,5889.46,4038.46,2138.63,PASS,2026-01-23 16:33:02,0.3347
239,2634,49687.05,46492.19,11811.56,-8616.7,PASS,2025-05-05 20:48:37,0.2377
240,1712,48229.42,19728.32,6966.77,21534.33,pass,2026-04-10 20:46:05,0.1445
241,688,76787.66,58597.64,2820.78,15369.24,pass,2025-10-18 11:19:22,0.0367
242,2691,71374.44,33919.58,30982.37,6472.49,PASS,2025-05-20 15:26:25,
243,661,26661.86,11968.38,10674.2,4019.28,Fail,2025-03-08 16:19:10,
244,267,36002.35,18014.98,13931.26,4056.11,PASS,2025-05-09 08:12:56,0.387
245,1189,-47353.68,37025.4,20345.86,-10017.58,pass,2026-06-04 22:02:43,0.4297
246,1270,58313.14,41081.91,19357.39,-2126.16,pass,2025-04-14 16:33:25,0.332
247,381,18506.35,11836.09,2883.15,3787.11,Fail,2025-10-12 20:52:08,0.1558
248,2803,75272.15,49921.89,21963.31,3386.95,Fail,2025-09-07 14:15:27,0.2918
249,2806,53476.31,43102.79,23136.1,-12762.58,PASS,2025-03-04 07:06:36,0.4326
250,3013,42200.13,32003.8,1224.94,8971.39,Fail,2025-12-05 15:03:20,0.029
251,1396,49621.7,35516.96,21681.26,,Fail,2025-01-19 15:49:51,0.4369
252,832,63223.82,31210.2,,-26642.08,FAIL,2025-12-11 16:37:08,0.085
253,3009,69499.23,32790.74,,9907.7,,2026-04-25 15:57:20,0.3856
254,1572,85849.75,76517.19,8498.27,834.29,Fail,2025-05-26 18:03:14,0.099
255,1444,19232.09,7777.48,6929.59,,Fail,2025-04-26 15:43:45,0.3603
256,1946,56970.79,50233.42,12376.62,-5639.25,FAIL,2025-07-22 13:54:49,0.2172
257,2426,53139.29,33432.72,23695.24,-3988.67,pass,2026-06-10 10:54:53,
258,2622,34244.78,26374.04,12505.98,-4635.24,PASS,2026-06-12 13:17:45,0.3652
259,1246,66927.9,,9917.94,15294.47,FAIL,2025-10-22 14:22:36,0.1482
260,2558,24466.66,11158.03,9856.8,3451.83,Fail,2025-05-08 12:55:17,0.4029
261,1095,38072.2,18730.43,7583.67,11758.1,pass,2026-03-31 15:43:27,0.1992
262,2535,82439.56,68515.97,32526.88,-18603.29,pass,2025-11-23 22:21:52,
263,775,15823.55,9963.8,3782.06,2077.69,Fail,2025-01-11 16:54:59,0.239
264,142,42993.16,38308.52,6752.12,-2067.48,PASS,2025-12-25 07:12:47,
265,1574,24801.14,16703.05,508.03,7590.06,pass,2025-01-07 13:58:36,0.0205
266,3034,10413.97,,3997.69,-3471.79,Fail,2026-01-31 18:34:12,
267,1671,56215.57,,6717.13,-1072.04,pass,2025-05-05 09:58:52,0.1195
268,807,,34506.49,18151.85,5616.08,pass,2026-05-30 15:54:18,
269,2529,42177.42,33667.74,6384.72,2124.96,FAIL,2025-11-07 18:08:27,0.1514
270,872,26321.86,20188.11,8718.21,,pass,2025-10-17 15:08:58,0.3312
271,225,85991.52,73952.97,1776.97,10261.58,FAIL,2025-08-01 19:42:27,0.0207
272,98,7994.43,6671.25,3788.11,-2464.93,PASS,2025-09-16 21:18:02,0.4738
273,390,66645.62,46141.94,5865.06,14638.62,FAIL,2025-10-03 08:19:47,0.088
274,1576,45073.39,30537.2,1897.35,12638.84,PASS,2026-01-26 19:10:54,
275,319,65214.27,54823.31,27072.62,-16681.66,REFER,2025-06-30 09:32:01,0.4151
276,1322,79778.38,58463.09,31226.61,-9911.32,Fail,2025-01-31 12:13:42,0.3914
277,2223,54610.16,32478.66,6080.37,16051.13,pass,2025-06-21 17:50:42,0.1113
278,1703,59630.43,38015.7,22355.6,-740.87,FAIL,2025-01-15 16:54:15,0.3749
279,1538,21347.45,15471.86,8749.3,-2873.71,pass,2025-06-30 12:47:26,0.4099
280,2408,8089.67,3889.49,1785.04,2415.14,pass,2025-09-10 15:22:11,0.2207
281,2784,83859.89,49440.65,23549.25,10869.99,FAIL,2025-12-06 07:38:35,0.2808
282,2134,5172.63,4662.12,1144.38,-633.87,PASS,2025-01-07 08:28:13,
283,2124,40883.21,30564.47,15578.45,-5259.71,Fail,2026-01-06 11:52:52,0.381
284,1342,82760.79,77861.33,9709.73,-4810.27,pass,2025-02-13 16:52:27,
285,1699,27048.02,22268.51,3714.26,1065.25,Fail,2025-09-27 17:23:52,0.1373
286,2294,55343.62,39217.34,835.3,15290.98,REFER,2026-03-02 09:50:22,0.0151
287,2074,75280.21,69140.14,35077.22,-28937.15,pass,2025-08-25 14:32:24,0.466
288,389,71062.9,53311.77,11170.32,6580.81,PASS,2025-05-26 08:48:03,0.1572
289,1223,52302.79,37948.22,8263.99,6090.58,REFER,2025-04-16 15:50:58,0.158
290,2108,34011.49,14303.52,15484.54,4223.43,REFER,2025-05-04 12:28:16,0.4553
291,1183,57792.74,36065.36,,-5325.8,FAIL,2025-06-28 11:06:22,0.4681
292,2678,29454.39,27475.35,9521.59,-7542.55,,2026-04-22 16:32:45,0.3233
293,2563,30641.63,21814.69,2910.03,-5916.91,PASS,2025-08-29 16:14:41,0.095
294,771,35166.38,27019.27,791.29,7355.82,REFER,2026-06-11 08:57:46,0.0225
295,750,76197.97,41500.19,12892.23,21805.55,FAIL,2026-05-17 08:53:58,
296,2915,16446.34,14465.15,1063.23,917.96,PASS,2025-08-15 16:21:20,0.0646
297,2723,38115.67,20743.86,3784.43,13587.38,FAIL,2025-09-21 11:25:21,0.0993
298,2877,9599.6,5352.66,544.97,3701.97,pass,2026-06-02 13:30:30,0.0568
299,2490,27768.23,16952.98,8820.8,1994.45,PASS,2025-06-27 16:33:58,
300,483,13028.37,6794.7,822.12,5411.55,Fail,2026-04-27 17:25:11,0.0631
301,973,47598.65,27420.55,13916.71,,FAIL,2025-10-13 21:48:46,0.2924
302,1645,,47510.02,27647.11,115.34,pass,2026-02-07 20:25:23,0.3673
303,413,89370.55,45403.63,30181.75,-13785.17,FAIL,2025-04-30 20:42:22,0.3377
304,2199,20239.56,17610.89,5098.27,-2469.6,Fail,2025-10-29 22:20:27,0.2519
305,134,18666.64,16687.11,8481.96,-6502.43,REFER,2025-08-18 12:15:08,
306,860,84827.73,52829.75,11479.43,20518.55,pass,2025-05-15 20:12:18,0.1353
