session_id,customer_id,brand_name,campaign_id,session_started_at,device_type,landing_page,referrer_domain,gclid,fbclid,session_duration_seconds,page_views_count,is_bot
93,148,JustMoney,36,2026-06-04 07:38:04,MOBILE,https://debtbusters.co.za/apply,email,gclid_c4s4q8evos,,778,10,0
94,1633,FASTA,58,2025-07-08 16:34:04,Desktop,https://www.fasta.co.za/calculator,facebook.com,,,,24,0
95,658,JustMoney,,2025-02-27 14:33:52,Desktop,https://www.fasta.co.za/,bing.com,,,526,12,0
96,1912,DebtBusters,56,2025-07-05 12:15:07,MOBILE,https://www.fasta.co.za/apply,facebook.com,,,393,24,0
97,277,FASTA,,2025-09-17 19:35:20,Mobile,https://debtbusters.co.za/apply,facebook.com,gclid_71y3ovqzfw,,1021,22,0
98,975,FASTA,4,2026-04-20 07:08:02,mobile,https://www.fasta.co.za/calculator,email,,,1794,22,0
99,1108,DebtBusters,51,2025-09-30 11:18:21,Mobile,https://www.fasta.co.za/calculator,direct,,,378,5,0
100,224,FASTA,34,2025-08-08 16:20:33,desktop,https://www.fasta.co.za/calculator,email,gclid_ckxn90tpzk,,1752,18,0
101,,FASTA,5,2025-10-07 21:16:09,mobile,https://justmoney.co.za/loans,email,,,,23,0
102,,DebtBusters,21,2026-01-18 20:15:51,MOBILE,https://www.fasta.co.za/calculator,instagram.com,,fbclid_z2lx6ewkje,537,17,0
103,,FASTA,52,2026-04-04 20:35:50,desktop,https://www.fasta.co.za/calculator,instagram.com,gclid_2a0jq9q7fa,,1114,16,0
104,1996,JustMoney,29,2025-10-05 18:10:58,Mobile,https://www.fasta.co.za/apply,google.com,,,1530,19,0
105,897,FASTA,59,2025-04-14 21:29:01,mobile,https://www.fasta.co.za/,justmoney.co.za,,,702,,0
106,811,FASTA,12,2025-10-09 07:18:51,mobile,https://www.fasta.co.za/,direct,gclid_i0plkb0uzc,,523,17,0
107,833,FASTA,,2026-03-30 20:17:24,Tablet,https://debtbusters.co.za/apply,justmoney.co.za,,,734,,0
108,,FASTA,17,2025-08-25 14:08:30,mobile,https://www.fasta.co.za/,debtbusters.co.za,,,,,0
109,,FASTA,52,2025-02-24 08:45:31,MOBILE,https://justmoney.co.za/loans,,,,1001,6,0
110,1409,DebtBusters,59,2025-08-03 09:09:16,desktop,https://justmoney.co.za/loans,google.com,gclid_5k9it5cvtz,,720,8,0
111,927,JustMoney,8,2025-08-14 10:26:31,Mobile,https://www.fasta.co.za/apply,,,,1743,16,0
112,1876,JustMoney,31,2026-05-21 09:35:22,Tablet,https://www.fasta.co.za/apply,,,,621,20,0
113,,DebtBusters,,2025-06-17 10:03:19,MOBILE,https://www.fasta.co.za/,facebook.com,,,1651,9,0
114,1651,FASTA,59,2025-01-07 14:41:00,Mobile,https://www.fasta.co.za/,,gclid_9z1xed6awj,,,11,1
115,1852,FASTA,27,2025-12-15 07:38:39,Tablet,https://justmoney.co.za/loans,debtbusters.co.za,gclid_dxjcighdvv,,345,15,0
116,,JustMoney,7,2026-03-31 21:54:47,,https://debtbusters.co.za/apply,bing.com,,,1453,8,0
117,,DebtBusters,25,2026-03-22 16:16:06,Tablet,https://www.fasta.co.za/,,gclid_3whujabf8s,,1539,20,0
118,1972,DebtBusters,20,2025-03-10 17:29:06,mobile,https://www.fasta.co.za/apply,,gclid_aes7k9et3l,,565,,1
119,674,FASTA,58,2026-05-01 08:14:46,mobile,https://www.fasta.co.za/calculator,debtbusters.co.za,,,268,22,0
120,260,DebtBusters,44,2026-04-14 16:35:04,Tablet,https://www.fasta.co.za/calculator,facebook.com,,fbclid_3zfayg9rxb,1590,13,0
121,1483,JustMoney,16,2026-01-18 08:38:45,Mobile,https://justmoney.co.za/loans,email,,,1332,2,0
122,1059,FASTA,22,2025-05-28 21:32:22,mobile,https://www.fasta.co.za/apply,,,,1773,9,0
123,,FASTA,49,2026-03-16 18:05:23,Mobile,https://www.fasta.co.za/calculator,debtbusters.co.za,,,743,15,0
124,1447,FASTA,21,2025-01-04 20:45:48,Tablet,https://www.fasta.co.za/,,,,629,23,0
125,,DebtBusters,28,2026-02-13 08:50:08,mobile,https://justmoney.co.za/loans,facebook.com,,,944,19,1
126,,FASTA,,2025-03-13 08:59:33,Mobile,https://justmoney.co.za/loans,,,,,14,0
127,,FASTA,41,2025-08-05 12:17:25,desktop,https://debtbusters.co.za/apply,instagram.com,,,1156,18,0
128,,JustMoney,,2026-01-20 19:50:46,MOBILE,https://www.fasta.co.za/calculator,bing.com,,,988,22,0
129,411,FASTA,31,2025-08-10 19:19:01,Tablet,https://www.fasta.co.za/,instagram.com,,,31,21,1
130,1126,FASTA,,2025-05-23 18:58:39,Desktop,https://www.fasta.co.za/apply,,,fbclid_fi1l1sj7au,436,16,1
131,424,FASTA,12,2025-04-16 20:51:20,MOBILE,https://debtbusters.co.za/apply,instagram.com,,,481,4,0
132,1820,DebtBusters,56,2025-09-03 13:22:38,desktop,https://www.fasta.co.za/,,gclid_39xx936xy0,,549,3,0
133,1997,FASTA,53,2025-09-15 16:35:23,desktop,https://debtbusters.co.za/apply,direct,,,635,23,0
134,,JustMoney,,2026-03-05 09:19:20,Mobile,https://www.fasta.co.za/,,,,75,13,0
135,,FASTA,32,2025-07-14 16:45:17,Tablet,https://justmoney.co.za/loans,direct,,,276,15,0
136,700,FASTA,24,2025-11-01 14:06:43,desktop,https://debtbusters.co.za/apply,debtbusters.co.za,gclid_do3hg939ug,,273,4,0
137,1600,FASTA,48,2026-04-29 09:13:54,MOBILE,https://justmoney.co.za/loans,email,gclid_9tkwpjmwjd,,1560,15,0
138,759,FASTA,15,2025-05-08 20:00:20,Tablet,https://www.fasta.co.za/,instagram.com,gclid_sqc6i0gqir,,1022,9,0
139,1078,FASTA,19,2026-02-08 10:44:59,Tablet,https://debtbusters.co.za/apply,,,,1308,3,0
140,1551,JustMoney,,2025-05-05 14:12:03,MOBILE,https://www.fasta.co.za/apply,,,,532,1,0
141,603,FASTA,30,2025-06-14 11:22:12,mobile,https://justmoney.co.za/loans,bing.com,gclid_l3ksigmm1o,,,,0
142,410,DebtBusters,43,2026-03-23 14:23:18,mobile,https://www.fasta.co.za/calculator,instagram.com,,,1698,5,0
143,,JustMoney,11,2026-01-04 18:07:18,Tablet,https://www.fasta.co.za/calculator,,,,79,1,0
144,1784,FASTA,58,2025-06-30 22:03:12,Tablet,https://justmoney.co.za/loans,direct,,,662,6,0
145,,FASTA,46,2025-08-12 19:57:40,MOBILE,https://www.fasta.co.za/apply,debtbusters.co.za,,,804,10,0
146,,FASTA,19,2025-03-01 10:54:53,mobile,https://www.fasta.co.za/,direct,gclid_9ojo7bhokd,,1043,9,0
147,1290,JustMoney,38,2025-04-15 08:45:56,MOBILE,https://debtbusters.co.za/apply,email,,,1707,5,0
148,172,FASTA,8,2025-03-10 20:01:21,Mobile,https://www.fasta.co.za/,,,fbclid_xasog7y2ne,93,9,0
149,1155,FASTA,37,2025-08-10 17:36:14,Mobile,https://www.fasta.co.za/calculator,instagram.com,,,1740,20,0
150,,FASTA,,2026-06-10 18:25:38,,https://www.fasta.co.za/calculator,,,,1368,21,0
151,1736,FASTA,,2025-03-02 19:56:15,MOBILE,https://www.fasta.co.za/calculator,bing.com,,,1536,19,0
152,1803,DebtBusters,3,2025-10-17 14:13:11,Mobile,https://www.fasta.co.za/calculator,justmoney.co.za,,,174,15,0
153,439,FASTA,16,2026-04-21 13:32:23,Mobile,https://www.fasta.co.za/apply,instagram.com,,,,14,0
154,1800,JustMoney,38,2026-01-22 11:43:58,Desktop,https://debtbusters.co.za/apply,facebook.com,,,45,8,1
155,104,JustMoney,,2025-09-30 14:17:06,desktop,https://www.fasta.co.za/calculator,bing.com,gclid_551ndt6avu,,1388,21,0
156,,FASTA,35,2026-05-11 16:16:31,,https://debtbusters.co.za/apply,instagram.com,,,1555,8,0
157,226,FASTA,53,2026-03-31 17:14:01,Tablet,https://debtbusters.co.za/apply,email,,fbclid_1hhatxm5eq,1337,13,0
158,1279,FASTA,12,2025-12-14 20:42:26,Mobile,https://www.fasta.co.za/calculator,,,,1775,,0
159,1116,FASTA,,2025-08-27 20:21:41,,https://www.fasta.co.za/apply,facebook.com,,,1419,13,1
160,1246,JustMoney,55,2026-05-28 18:23:53,mobile,https://www.fasta.co.za/calculator,email,,,634,24,0
161,945,FASTA,53,2025-09-27 12:33:34,mobile,https://www.fasta.co.za/calculator,bing.com,,,140,12,0
162,134,FASTA,4,2025-12-20 14:10:06,MOBILE,https://www.fasta.co.za/apply,facebook.com,,,847,16,0
163,926,DebtBusters,56,2025-02-16 21:44:22,MOBILE,https://www.fasta.co.za/apply,,,,823,24,0
164,1972,FASTA,,2025-09-20 19:38:59,desktop,https://justmoney.co.za/loans,facebook.com,,,1323,1,0
165,1019,DebtBusters,,2025-02-03 08:34:02,Mobile,https://www.fasta.co.za/,direct,,,,21,1
166,981,DebtBusters,19,2025-05-25 11:00:10,Mobile,https://www.fasta.co.za/calculator,justmoney.co.za,,fbclid_4h3b2q3ldp,316,23,0
167,627,DebtBusters,34,2026-05-07 09:27:40,desktop,https://www.fasta.co.za/apply,debtbusters.co.za,,,470,19,0
168,349,JustMoney,27,2025-05-03 13:39:21,Tablet,https://www.fasta.co.za/,,gclid_pxwznu8mi1,fbclid_iakbzm3vlx,12,1,0
169,1147,JustMoney,42,2025-04-29 17:51:19,MOBILE,https://debtbusters.co.za/apply,,gclid_svz9e3etsg,,608,20,1
170,695,FASTA,19,2025-06-24 11:15:41,desktop,https://www.fasta.co.za/calculator,facebook.com,,,478,14,0
171,1702,FASTA,14,2026-01-21 13:16:22,MOBILE,https://www.fasta.co.za/apply,debtbusters.co.za,,,369,3,0
172,,FASTA,,2025-01-25 13:00:57,Mobile,https://www.fasta.co.za/apply,email,gclid_dwthkl4r2s,,381,3,0
173,207,FASTA,,2025-02-01 09:35:36,Mobile,https://www.fasta.co.za/calculator,email,,,68,6,0
174,688,FASTA,44,2025-08-05 11:32:31,desktop,https://justmoney.co.za/loans,,,,1598,11,0
175,1746,DebtBusters,,2025-03-27 18:54:16,Mobile,https://www.fasta.co.za/calculator,bing.com,,fbclid_fhyz3k8xl7,304,21,1
176,1761,FASTA,53,2025-01-08 21:59:44,mobile,https://www.fasta.co.za/apply,google.com,,,292,15,0
177,1221,FASTA,18,2025-11-09 19:45:20,,https://debtbusters.co.za/apply,justmoney.co.za,,,529,11,0
178,309,JustMoney,,2025-06-06 20:00:10,MOBILE,https://justmoney.co.za/loans,,,fbclid_vodb5qphb3,870,24,0
179,1331,FASTA,24,2025-03-20 18:52:54,mobile,https://www.fasta.co.za/,email,gclid_jotwu2myd1,,1584,16,0
180,,FASTA,,2026-03-02 14:40:07,desktop,https://www.fasta.co.za/,direct,,,660,19,0
181,210,DebtBusters,13,2025-07-12 10:59:49,Mobile,https://debtbusters.co.za/apply,,,,705,9,0
182,1539,FASTA,35,2026-05-29 13:31:09,Tablet,https://debtbusters.co.za/apply,facebook.com,gclid_t7u4yal71b,,291,6,0
183,1671,DebtBusters,,2025-11-10 22:30:35,desktop,https://justmoney.co.za/loans,bing.com,,,371,4,0
184,1317,DebtBusters,37,2025-06-12 22:16:08,desktop,https://www.fasta.co.za/calculator,facebook.com,,,,17,0
185,259,FASTA,33,2025-08-09 13:40:59,Mobile,https://www.fasta.co.za/calculator,bing.com,,,915,13,1
186,,DebtBusters,55,2025-09-03 20:34:10,Desktop,https://www.fasta.co.za/calculator,,,,1514,22,0
187,200,JustMoney,57,2025-01-19 11:58:54,Mobile,https://debtbusters.co.za/apply,,,,516,6,0
188,1509,FASTA,31,2025-04-16 18:34:47,MOBILE,https://debtbusters.co.za/apply,email,gclid_ofpizf46ps,,421,,0
189,,FASTA,38,2026-03-29 18:42:51,mobile,https://justmoney.co.za/loans,google.com,,,975,,0
190,,DebtBusters,46,2025-05-24 21:11:59,Desktop,https://www.fasta.co.za/calculator,justmoney.co.za,,,1071,6,0
191,127,FASTA,55,2025-03-13 19:45:48,mobile,https://www.fasta.co.za/,,,,1715,23,0
192,832,FASTA,40,2025-09-10 08:29:52,Tablet,https://www.fasta.co.za/calculator,justmoney.co.za,,,147,14,1
193,241,FASTA,60,2025-03-05 19:07:39,MOBILE,https://www.fasta.co.za/calculator,google.com,,,1542,10,0
194,1561,FASTA,,2025-12-18 19:51:19,MOBILE,https://debtbusters.co.za/apply,facebook.com,,fbclid_wr8a5n7ugd,97,11,0
195,,FASTA,56,2025-01-02 12:11:02,Mobile,https://www.fasta.co.za/apply,facebook.com,gclid_wuf75wga70,,1116,6,0
196,84,FASTA,,2026-05-10 16:47:33,mobile,https://debtbusters.co.za/apply,instagram.com,,fbclid_ozu336b8g4,1589,14,0
197,272,FASTA,11,2026-05-18 12:55:47,Tablet,https://www.fasta.co.za/calculator,,,,1577,6,0
198,800,DebtBusters,21,2025-12-12 21:15:16,desktop,https://justmoney.co.za/loans,instagram.com,,,578,2,0
199,,FASTA,42,2025-01-13 21:49:24,desktop,https://www.fasta.co.za/,direct,,,,6,0
200,1579,JustMoney,15,2025-03-02 08:00:42,Mobile,https://www.fasta.co.za/,facebook.com,gclid_ub835e8a4t,fbclid_rdekqufn92,811,10,0
201,1890,JustMoney,24,2026-06-07 22:03:36,mobile,https://www.fasta.co.za/,justmoney.co.za,,,644,20,0
202,377,FASTA,54,2025-04-20 16:14:50,Mobile,https://www.fasta.co.za/,debtbusters.co.za,,fbclid_7bzajghmkm,1558,4,0
203,513,FASTA,44,2025-04-26 18:05:42,Tablet,https://www.fasta.co.za/apply,,,,811,8,0
204,,FASTA,43,2025-11-24 14:09:37,Tablet,https://justmoney.co.za/loans,google.com,gclid_l2nydga45o,,82,16,0
205,1988,JustMoney,25,2026-02-28 22:18:13,Desktop,https://www.fasta.co.za/calculator,direct,,,1496,7,0
206,620,DebtBusters,22,2025-03-19 21:17:15,Mobile,https://www.fasta.co.za/apply,debtbusters.co.za,,,239,16,0
207,327,FASTA,41,2025-05-01 17:02:59,MOBILE,https://www.fasta.co.za/,,,fbclid_q9iqhd6vx6,,2,0
208,883,JustMoney,1,2026-04-29 09:48:22,MOBILE,https://justmoney.co.za/loans,debtbusters.co.za,,,1589,3,0
209,54,DebtBusters,,2025-06-24 08:33:48,Desktop,https://www.fasta.co.za/,,,,300,16,0
210,259,JustMoney,27,2025-06-04 07:00:48,desktop,https://www.fasta.co.za/calculator,google.com,,,855,6,0
211,,FASTA,16,2025-11-28 17:56:19,Mobile,https://justmoney.co.za/loans,,,,169,6,0
212,1983,FASTA,,2025-09-15 22:05:19,Desktop,https://www.fasta.co.za/,,,,861,3,0
213,293,DebtBusters,43,2026-01-06 18:38:00,MOBILE,https://www.fasta.co.za/calculator,,,,,6,0
214,1158,FASTA,57,2025-06-23 16:19:09,Mobile,https://www.fasta.co.za/,,,,1661,4,0
215,1514,FASTA,48,2025-04-12 07:18:20,mobile,https://www.fasta.co.za/calculator,bing.com,,,1254,2,0
216,1628,FASTA,40,2026-05-07 07:56:02,MOBILE,https://justmoney.co.za/loans,google.com,gclid_iurleau6ux,,1480,8,0
217,,FASTA,,2026-05-04 14:40:10,Mobile,https://justmoney.co.za/loans,facebook.com,,,1433,,0
218,178,FASTA,,2026-01-07 21:43:34,mobile,https://www.fasta.co.za/calculator,facebook.com,,fbclid_uqu5uojdy0,1212,24,0
219,119,DebtBusters,2,2025-12-05 14:01:19,Desktop,https://justmoney.co.za/loans,,,,328,1,0
220,690,FASTA,18,2025-05-03 17:23:06,Tablet,https://www.fasta.co.za/,,,,1396,19,0
221,1171,FASTA,18,2025-05-04 12:24:27,Desktop,https://www.fasta.co.za/calculator,,,,988,23,0
222,1220,FASTA,57,2025-05-07 18:11:02,MOBILE,https://justmoney.co.za/loans,debtbusters.co.za,,,115,9,1
223,737,FASTA,,2025-11-18 11:10:29,Mobile,https://debtbusters.co.za/apply,,,,1408,15,0
224,1987,FASTA,12,2025-04-19 18:57:54,Mobile,https://www.fasta.co.za/calculator,,,,1614,2,0
225,1415,FASTA,,2025-01-15 09:26:27,desktop,https://www.fasta.co.za/calculator,,,,874,,0
